time,magx,magy,magz,gyrx,gyry,gyrz,accx,accy,accz
0,3.53,-25.66,-37.89,-0.1,0.04,0,-0.06,-0.06,1.14
0.1,3.44,-26,-37.8,-0.05,0.01,0,-0.05,-0.07,1.28
0.2,3.02,-27.54,-37.39,0,0,0,-0.05,-0.07,1.21
0.3,2.86,-26.93,-37.83,0.05,-0.02,0,-0.05,-0.06,1.01
0.4,2.67,-26.17,-38.39,0.08,-0.04,0,-0.05,-0.04,0.89
0.5,2.8,-26.54,-38.03,0.09,-0.04,0,-0.03,-0.01,0.83
0.6,2.85,-26.69,-37.03,0.07,-0.02,0,-0.03,0,0.81
0.7,2.85,-25.34,-36.03,0.03,-0.01,0,-0.02,0.01,0.79
0.8,2.74,-25.46,-35.03,-0.01,0,0,-0.01,0.01,0.86
0.9,1.99,-26.52,-34.03,-0.05,0.02,0,-0.01,0,0.87
1,2.39,-26.25,-33.03,-0.07,0.03,0,-0.03,0,0.81
1.1,3.02,-25.83,-32.03,-0.07,0.03,0,-0.04,-0.01,0.83
1.2,4.03,-26.17,-31.03,-0.05,0.02,0,-0.02,-0.01,0.88
1.3,4.56,-26.35,-30.03,-0.02,0.01,0,-0.02,-0.01,0.87
1.4,3.6,-27.94,-29.03,0.01,0,0,-0.04,-0.03,0.91
1.5,3.5,-28.02,-28.03,0.05,-0.02,0,-0.06,-0.05,1.06
1.6,3.02,-27.54,-27.03,0.06,-0.03,0,-0.05,-0.07,1.16
1.7,3.07,-27.49,-26.03,0.06,-0.03,0,-0.06,-0.07,1.14
1.8,3.19,-27.37,-25.03,0.04,-0.02,0,-0.05,-0.05,1.03
1.9,3.91,-27.48,-24.03,0.01,0,0,-0.04,-0.03,0.91
2,4.39,-27.54,-23.03,-0.02,0.01,0,-0.03,0,0.88
2.1,3.64,-26.5,-22.03,-0.05,0.02,0,-0.03,0.01,0.84
2.2,3.54,-26.35,-21.03,-0.06,0.03,0,-0.03,0,0.8
2.3,4.73,-26.52,-20.03,-0.06,0.03,0,-0.03,-0.01,0.84
2.4,4.15,-26.71,-19.03,-0.03,0.02,0,-0.03,-0.01,0.86
2.5,2.67,-27.2,-18.03,0,0,0,-0.03,-0.01,0.83
2.6,3.33,-27.11,-17.03,0.04,-0.01,0,-0.03,0,0.82
2.7,3.87,-27.03,-16.03,0.06,-0.02,0,-0.02,0,0.86
2.8,3.31,-26.75,-15.03,0.06,-0.03,0,-0.03,-0.01,0.93
2.9,3.19,-26.69,-14.03,0.05,-0.02,0,-0.05,-0.03,1.01
3,2.85,-26,-13.03,0.02,-0.01,0,-0.05,-0.05,1.08
3.1,2.92,-26.08,-12.03,-0.02,0.01,0,-0.05,-0.06,1.1
3.2,3.19,-26.35,-11.03,-0.05,0.02,0,-0.05,-0.06,1.08
3.3,2.68,-25.67,-10.03,-0.06,0.03,0,-0.04,-0.04,0.96
3.4,2.16,-24.98,-9.03,-0.05,0.02,0,-0.04,-0.02,0.87
3.5,3.6,-25.89,-8.03,-0.03,0.01,0,-0.03,0,0.85
3.6,4.04,-26.17,-7.03,0,0,0,-0.03,0.01,0.86
3.7,2.85,-25.66,-6.03,0.03,-0.01,0,-0.02,0,0.86
3.8,3.02,-25.78,-5.03,0.05,-0.02,0,-0.03,-0.01,0.87
3.9,3.87,-26.35,-4.03,0.05,-0.02,0,-0.03,-0.01,0.87
4,3.87,-26.79,-3.03,0.03,-0.01,0,-0.03,-0.01,0.85
4.1,3.87,-27.37,-2.03,0.01,0,0,-0.03,-0.01,0.84
4.2,3.63,-27.13,-1.03,-0.02,0.01,0,-0.04,-0.01,0.91
4.3,3.53,-27.03,-0.03,-0.03,0.02,0,-0.04,-0.03,1.02
4.4,2.86,-27.37,0.97,-0.04,0.02,0,-0.05,-0.05,1.05
4.5,2.88,-27.15,1.97,-0.03,0.02,0,-0.05,-0.06,1.03
4.6,3.19,-25.32,2.97,-0.02,0.01,0,-0.05,-0.05,1.02
4.7,2.86,-26.03,3.97,0.01,0,0,-0.04,-0.03,0.97
4.8,2.33,-27.2,4.97,0.03,-0.01,0,-0.04,-0.01,0.89
4.9,2.55,-26.09,5.97,0.03,-0.02,0,-0.03,0,0.85
5,2.67,-25.49,6.97,0.03,-0.01,0,-0.02,0,0.84
5.1,3.93,-26.75,7.97,0.02,-0.01,0,-0.03,-0.01,0.86
5.2,3.99,-26.84,8.97,0.01,0,0,-0.03,-0.02,0.86
5.3,3.02,-26.52,9.97,-0.01,0,0,-0.03,-0.02,0.85
5.4,2.91,-26.63,10.97,-0.02,0.01,0,-0.04,-0.01,0.87
5.5,2.67,-26.86,11.97,-0.03,0.01,0,-0.04,-0.02,0.97
5.6,3.69,-27.06,12.97,-0.02,0.01,0,-0.04,-0.03,1.03
5.7,4.39,-27.2,13.97,-0.01,0.01,0,-0.04,-0.05,1.02
5.8,5.42,-27.35,14.97,0,0,0,-0.05,-0.05,1
5.9,5.58,-27.37,15.97,0.01,0,0,-0.05,-0.04,0.97
6,2.85,-28.06,16.97,0.02,-0.01,0,-0.04,-0.02,0.92
6.1,3.12,-27.69,17.97,0.02,-0.01,0,-0.04,0,0.86
6.2,3.87,-26.69,18.97,0.02,-0.01,0,-0.03,0,0.86
6.3,3.5,-26.5,19.97,0.01,0,0,-0.02,0,0.87
6.4,3.19,-26.35,20.97,0,0,0,-0.03,-0.01,0.88
6.5,3.88,-27.04,21.97,-0.01,0,0,-0.03,-0.02,0.87
6.6,4.04,-27.2,22.97,-0.02,0.01,0,-0.04,-0.02,0.91
6.7,3.19,-28.06,23.97,-0.02,0.01,0,-0.04,-0.03,0.97
6.8,3.15,-27.59,24.97,-0.01,0.01,0,-0.04,-0.03,0.99
6.9,3.02,-25.83,25.97,0,0,0,-0.04,-0.03,0.98
7,3.31,-26.51,26.97,0,0,0,-0.04,-0.04,0.97
7.1,3.53,-27.03,27.97,0.01,0,0,-0.04,-0.04,0.95
7.2,3.92,-27.42,28.97,0.02,-0.01,0,-0.04,-0.03,0.91
7.3,4.04,-27.54,29.97,0.02,-0.01,0,-0.03,-0.01,0.89
7.4,2.5,-26.35,30.97,0.01,0,0,-0.03,-0.01,0.89
7.5,2.56,-26.29,31.97,0,0,0,-0.03,-0.01,0.89
7.6,2.85,-26,32.97,-0.01,0,0,-0.03,-0.02,0.88
7.7,2.48,-26.66,33.97,-0.01,0.01,0,-0.03,-0.02,0.9
7.8,1.99,-27.54,34.97,-0.02,0.01,0,-0.04,-0.02,0.92
7.9,2.94,-26.36,35.97,-0.02,0.01,0,-0.05,-0.03,0.94
8,3.36,-25.83,36.97,-0.01,0,0,-0.04,-0.03,0.96
8.1,2.86,-26,37.97,0,0,0,-0.04,-0.03,0.97
8.2,2.93,-26.06,38.97,0.01,0,0,-0.04,-0.03,0.97
8.3,3.7,-26.52,39.97,0.02,-0.01,0,-0.04,-0.02,0.94
8.4,4.2,-26.77,40.97,0.02,-0.01,0,-0.04,-0.02,0.91
8.5,5.07,-27.2,41.97,0.01,0,0,-0.04,-0.01,0.9
8.6,3.43,-26.66,42.97,0,0,0,-0.03,-0.01,0.9
8.7,2.5,-26.35,43.97,-0.01,0,0,-0.03,-0.01,0.88
8.8,3.75,-26.66,44.97,-0.01,0,0,-0.03,-0.01,0.88
8.9,3.89,-26.69,45.97,-0.02,0.01,0,-0.03,-0.02,0.9
9,4.21,-26.69,46.97,-0.01,0.01,0,-0.04,-0.03,0.94
9.1,4.05,-26.96,47.97,-0.01,0,0,-0.04,-0.02,0.95
9.2,3.7,-27.54,48.97,0,0,0,-0.04,-0.03,0.97
9.3,3.7,-26.55,49.97,0.01,0,0,-0.04,-0.03,0.96
9.4,3.7,-25.83,50.97,0.02,-0.01,0,-0.04,-0.03,0.95
9.5,2.39,-25.4,51.97,0.02,-0.01,0,-0.04,-0.02,0.93
9.6,2.16,-25.32,52.97,0.01,0,0,-0.03,-0.02,0.9
9.7,3.19,-28.4,53.97,0,0,0,-0.03,-0.01,0.89
9.8,3.23,-27.66,54.97,0,0,0,-0.03,-0.01,0.89
9.9,3.36,-25.49,55.97,-0.01,0,0,-0.03,-0.01,0.9
10,3.18,-25.85,56.97,-0.01,0,0,-0.04,-0.02,0.91
10.1,3.02,-26.17,57.97,-0.01,0,0,-0.03,-0.02,0.93
10.2,3.7,-27.95,58.97,0,0,0,-0.04,-0.03,0.95
10.3,3.87,-28.4,59.97,0,0,0,-0.04,-0.03,0.95
10.4,2.85,-27.37,60.97,0.01,0,0,-0.04,-0.03,0.95
10.5,3.05,-27.24,61.97,0.01,0,0,-0.04,-0.02,0.95
10.6,3.87,-26.69,62.97,0.01,0,0,-0.03,-0.03,0.93
10.7,2.83,-26.61,63.97,0.01,0,0,-0.03,-0.02,0.91
10.8,1.65,-26.52,64.97,0,0,0,-0.03,-0.01,0.9
10.9,3.42,-26.77,65.97,0,0,0,-0.03,-0.01,0.9
11,4.04,-26.86,66.97,-0.01,0,0,-0.03,-0.02,0.9
11.1,3.02,-27.54,67.97,-0.01,0,0,-0.03,-0.02,0.91
11.2,3.04,-27.27,68.97,-0.01,0,0,-0.04,-0.02,0.92
11.3,3.19,-25.66,69.97,0,0,0,-0.04,-0.03,0.94
11.4,3.61,-26.8,70.97,0,0,0,-0.04,-0.03,0.94
11.5,4.21,-28.4,71.97,0.01,0,0,-0.04,-0.03,0.95
11.6,3.74,-27.46,72.97,0.01,0,0,-0.04,-0.03,0.94
11.7,3.53,-27.03,73.97,0.01,0,0,-0.04,-0.02,0.93
11.8,2.71,-28.18,74.97,0.01,0,0,-0.03,-0.02,0.91
11.9,2.8,-28.08,75.97,0,0,0,-0.03,-0.02,0.91
12,4.04,-26.52,76.97,0,0,0,-0.03,-0.01,0.91
12.1,3.61,-26.7,77.97,-0.01,0,0,-0.03,-0.02,0.91
12.2,2.85,-27.03,78.97,-0.01,0,0,-0.03,-0.02,0.92
12.3,3.38,-25.85,79.97,-0.01,0,0,-0.04,-0.02,0.92
12.4,3.7,-25.15,80.97,0,0,0,-0.04,-0.02,0.93
