Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,
0.000000,0.734230,,,,,,,,,-1.680944,,,,,,,,,1.292577,,,,,,,,,0.049703,,,,,,,,,-0.162748,,,,,,,,,-0.134914,,,,,,,,,0.000000,,,,,,,,,1.130451,,,,,,,,,-1.877369,,,,,,,,,
0.025000,0.788471,,,,,,,,,-1.671660,,,,,,,,,1.317803,,,,,,,,,0.108589,,,,,,,,,0.059424,,,,,,,,,-0.240797,,,,,,,,,0.000000,,,,,,,,,1.121969,,,,,,,,,-1.873093,,,,,,,,,
0.050000,0.793421,,,,,,,,,-1.638692,,,,,,,,,1.350156,,,,,,,,,0.341033,,,,,,,,,0.054843,,,,,,,,,-0.517356,,,,,,,,,0.000000,,,,,,,,,1.081800,,,,,,,,,-1.817859,,,,,,,,,
0.075000,0.721980,,,,,,,,,-1.535905,,,,,,,,,1.354141,,,,,,,,,0.669553,,,,,,,,,0.018196,,,,,,,,,-0.855549,,,,,,,,,0.000000,,,,,,,,,1.018661,,,,,,,,,-1.668689,,,,,,,,,
0.100000,0.576459,,,,,,,,,-1.350323,,,,,,,,,1.296132,,,,,,,,,1.032166,,,,,,,,,-0.013870,,,,,,,,,-1.138429,,,,,,,,,0.000000,,,,,,,,,0.945715,,,,,,,,,-1.438880,,,,,,,,,
0.125000,0.401069,,,,,,,,,-1.114208,,,,,,,,,1.132038,,,,,,,,,1.351389,,,,,,,,,0.031939,,,,,,,,,-1.305945,,,,,,,,,0.000000,,,,,,,,,0.875455,,,,,,,,,-1.143230,,,,,,,,,
0.150000,0.282380,,,,,,,,,-0.796901,,,,,,,,,0.944271,,,,,,,,,1.521848,,,,,,,,,-0.059679,,,,,,,,,-1.441855,,,,,,,,,0.000000,,,,,,,,,0.822547,,,,,,,,,-0.809048,,,,,,,,,
0.175000,0.073575,,,,,,,,,-0.497428,,,,,,,,,0.745235,,,,,,,,,1.534245,,,,,,,,,0.089200,,,,,,,,,-1.514550,,,,,,,,,0.000000,,,,,,,,,0.764584,,,,,,,,,-0.422883,,,,,,,,,
0.200000,-0.103766,,,,,,,,,-0.220041,,,,,,,,,0.524438,,,,,,,,,1.500153,,,,,,,,,0.277015,,,,,,,,,-1.550898,,,,,,,,,0.000000,,,,,,,,,0.708543,,,,,,,,,-0.045815,,,,,,,,,
0.218182,-0.342558,,,,,,,,,0.011406,,,,,,,,,0.329636,,,,,,,,,1.428870,,,,,,,,,0.313662,,,,,,,,,-1.508229,,,,,,,,,0.000000,,,,,,,,,0.656180,,,,,,,,,0.296689,,,,,,,,,
0.236364,-0.586591,,,,,,,,,0.201499,,,,,,,,,0.204270,,,,,,,,,1.202625,,,,,,,,,0.563320,,,,,,,,,-1.260116,,,,,,,,,0.000000,,,,,,,,,0.629162,,,,,,,,,0.572363,,,,,,,,,
0.254545,-0.823497,,,,,,,,,0.354875,,,,,,,,,0.096234,,,,,,,,,0.920593,,,,,,,,,0.957275,,,,,,,,,-0.887156,,,,,,,,,0.000000,,,,,,,,,0.621481,,,,,,,,,0.726453,,,,,,,,,
0.272727,-1.038851,,,,,,,,,0.434277,,,,,,,,,0.031475,,,,,,,,,0.499094,,,,,,,,,1.167995,,,,,,,,,-0.488910,,,,,,,,,0.000000,,,,,,,,,0.623694,,,,,,,,,0.789948,,,,,,,,,
0.290909,-1.181064,,,,,,,,,0.479824,,,,,,,,,0.065495,,,,,,,,,0.213963,,,,,,,,,1.076377,,,,,,,,,-0.104888,,,,,,,,,0.000000,,,,,,,,,0.626495,,,,,,,,,0.771540,,,,,,,,,
0.309091,-1.283506,,,,,,,,,0.453398,,,,,,,,,0.087253,,,,,,,,,0.229459,,,,,,,,,1.126767,,,,,,,,,0.293358,,,,,,,,,0.000000,,,,,,,,,0.624125,,,,,,,,,0.745928,,,,,,,,,
0.327273,-1.272752,,,,,,,,,0.492198,,,,,,,,,0.089259,,,,,,,,,0.424712,,,,,,,,,0.641195,,,,,,,,,0.652095,,,,,,,,,0.000000,,,,,,,,,0.620420,,,,,,,,,0.703373,,,,,,,,,
0.345455,-1.183785,,,,,,,,,0.553204,,,,,,,,,0.043778,,,,,,,,,0.747035,,,,,,,,,0.153332,,,,,,,,,0.988707,,,,,,,,,0.000000,,,,,,,,,0.612109,,,,,,,,,0.720955,,,,,,,,,
0.363636,-0.945324,,,,,,,,,0.679078,,,,,,,,,-0.072092,,,,,,,,,1.044563,,,,,,,,,-0.231461,,,,,,,,,1.233660,,,,,,,,,0.000000,,,,,,,,,0.581653,,,,,,,,,0.816144,,,,,,,,,
0.381818,-0.606170,,,,,,,,,0.808055,,,,,,,,,-0.331136,,,,,,,,,1.283205,,,,,,,,,-0.705581,,,,,,,,,1.383792,,,,,,,,,0.000000,,,,,,,,,0.295182,,,,,,,,,0.896937,,,,,,,,,
0.400000,-0.174531,,,,,,,,,0.899999,,,,,,,,,-0.637774,,,,,,,,,1.363786,,,,,,,,,-1.165959,,,,,,,,,1.413818,,,,,,,,,0.000000,,,,,,,,,0.004431,,,,,,,,,0.945475,,,,,,,,,
0.416667,0.298161,,,,,,,,,0.977985,,,,,,,,,-0.897324,,,,,,,,,1.431970,,,,,,,,,-1.440811,,,,,,,,,1.330060,,,,,,,,,0.000000,,,,,,,,,-0.286927,,,,,,,,,0.986266,,,,,,,,,
0.433333,0.750596,,,,,,,,,1.039955,,,,,,,,,-1.182041,,,,,,,,,1.400977,,,,,,,,,-1.509524,,,,,,,,,1.127777,,,,,,,,,0.000000,,,,,,,,,-0.574376,,,,,,,,,1.001443,,,,,,,,,
0.450000,1.104097,,,,,,,,,1.080228,,,,,,,,,-1.451090,,,,,,,,,1.239816,,,,,,,,,-1.491200,,,,,,,,,0.879664,,,,,,,,,0.000000,,,,,,,,,-0.857599,,,,,,,,,0.965869,,,,,,,,,
0.466667,1.417552,,,,,,,,,1.083833,,,,,,,,,-1.693702,,,,,,,,,0.998074,,,,,,,,,-1.090374,,,,,,,,,0.590462,,,,,,,,,0.000000,,,,,,,,,-1.136142,,,,,,,,,0.888503,,,,,,,,,
0.483333,1.595995,,,,,,,,,1.081950,,,,,,,,,-1.886917,,,,,,,,,0.545583,,,,,,,,,-0.664353,,,,,,,,,0.257010,,,,,,,,,0.000000,,,,,,,,,-1.410980,,,,,,,,,0.781238,,,,,,,,,
0.500000,1.639117,,,,,,,,,1.068657,,,,,,,,,-1.999500,,,,,,,,,-0.046374,,,,,,,,,-0.291013,,,,,,,,,-0.089084,,,,,,,,,0.000000,,,,,,,,,-1.664152,,,,,,,,,0.680787,,,,,,,,,
0.516667,1.564880,,,,,,,,,1.069431,,,,,,,,,-1.980369,,,,,,,,,-0.573247,,,,,,,,,0.547287,,,,,,,,,-0.446241,,,,,,,,,0.000000,,,,,,,,,-1.657629,,,,,,,,,0.680971,,,,,,,,,
0.533333,1.278920,,,,,,,,,1.069305,,,,,,,,,-1.831578,,,,,,,,,-0.870775,,,,,,,,,1.170285,,,,,,,,,-0.786014,,,,,,,,,0.000000,,,,,,,,,-1.375756,,,,,,,,,0.731202,,,,,,,,,
0.550000,0.957795,,,,,,,,,1.033054,,,,,,,,,-1.693557,,,,,,,,,-1.174502,,,,,,,,,1.186318,,,,,,,,,-1.068895,,,,,,,,,0.000000,,,,,,,,,-1.090899,,,,,,,,,0.763700,,,,,,,,,
0.566667,0.521263,,,,,,,,,0.987320,,,,,,,,,-1.504937,,,,,,,,,-1.317068,,,,,,,,,1.763508,,,,,,,,,-1.239571,,,,,,,,,0.000000,,,,,,,,,-0.807591,,,,,,,,,0.800689,,,,,,,,,
