Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,
0.000000,0.018128,,,,,,,,,,-0.031513,,,,,,,,,,0.023376,,,,,,,,,,-0.000491,,,,,,,,,,-0.000346,,,,,,,,,,-0.001919,,,,,,,,,,0.000000,,,,,,,,,,-0.054404,,,,,,,,,,-0.034639,,,,,,,,,,
0.142857,0.018246,,,,,,,,,,-0.031482,,,,,,,,,,0.023467,,,,,,,,,,0.000184,,,,,,,,,,0.001149,,,,,,,,,,-0.002832,,,,,,,,,,0.000000,,,,,,,,,,-0.042340,,,,,,,,,,-0.034637,,,,,,,,,,
0.285714,0.017952,,,,,,,,,,-0.031439,,,,,,,,,,0.023797,,,,,,,,,,0.000521,,,,,,,,,,0.001897,,,,,,,,,,-0.003875,,,,,,,,,,0.000000,,,,,,,,,,-0.030386,,,,,,,,,,-0.034512,,,,,,,,,,
0.428571,0.017334,,,,,,,,,,-0.031005,,,,,,,,,,0.024196,,,,,,,,,,0.000746,,,,,,,,,,0.001149,,,,,,,,,,-0.004266,,,,,,,,,,0.000000,,,,,,,,,,-0.018765,,,,,,,,,,-0.034233,,,,,,,,,,
0.571429,0.017149,,,,,,,,,,-0.030569,,,,,,,,,,0.023753,,,,,,,,,,0.000971,,,,,,,,,,-0.000026,,,,,,,,,,-0.004005,,,,,,,,,,0.000000,,,,,,,,,,-0.007177,,,,,,,,,,-0.034425,,,,,,,,,,
0.714286,0.016576,,,,,,,,,,-0.030186,,,,,,,,,,0.023852,,,,,,,,,,0.001084,,,,,,,,,,-0.000987,,,,,,,,,,-0.003744,,,,,,,,,,0.000000,,,,,,,,,,0.004494,,,,,,,,,,-0.034162,,,,,,,,,,
0.857143,0.016541,,,,,,,,,,-0.030078,,,,,,,,,,0.023970,,,,,,,,,,0.001309,,,,,,,,,,-0.001627,,,,,,,,,,-0.003549,,,,,,,,,,0.000000,,,,,,,,,,0.004456,,,,,,,,,,-0.034140,,,,,,,,,,
1.000000,0.016576,,,,,,,,,,-0.029439,,,,,,,,,,0.023947,,,,,,,,,,0.001421,,,,,,,,,,-0.003016,,,,,,,,,,-0.003418,,,,,,,,,,0.000000,,,,,,,,,,0.015849,,,,,,,,,,-0.034211,,,,,,,,,,
0.000000,,0.021963,,,,,,,,,,-0.025676,,,,,,,,,,0.024057,,,,,,,,,,0.002884,,,,,,,,,,-0.004618,,,,,,,,,,-0.005048,,,,,,,,,,0.000000,,,,,,,,,,0.036363,,,,,,,,,,-0.033542,,,,,,,,,
0.018868,,0.024060,,,,,,,,,,-0.025424,,,,,,,,,,0.024865,,,,,,,,,,0.005021,,,,,,,,,,0.005742,,,,,,,,,,-0.009415,,,,,,,,,,0.000000,,,,,,,,,,0.036174,,,,,,,,,,-0.033420,,,,,,,,,
