time,x,y,z
14:45:31:7,-0.02,-0.09,-0.04
14:45:31:7,-0.05,-0.10,-0.05
14:45:31:7,-0.04,-0.10,-0.05
14:45:31:7,-0.03,-0.11,-0.04
14:45:31:7,-0.01,-0.10,-0.02
14:45:31:7,-0.00,-0.09,-0.00
14:45:31:7,-0.01,-0.07,0.02
14:45:31:7,-0.02,-0.06,0.04
14:45:31:7,-0.03,-0.05,0.05
14:45:31:7,-0.04,-0.03,0.06
14:45:31:7,-0.04,-0.02,0.06
14:45:31:7,-0.03,-0.00,0.06
14:45:31:7,-0.02,0.01,0.05
14:45:31:7,-0.01,0.03,0.04
14:45:31:7,-0.01,0.05,0.03
14:45:31:7,-0.01,0.05,0.01
14:45:31:7,-0.01,0.06,-0.00
14:45:31:8,-0.01,0.06,-0.01
14:45:31:8,-0.00,0.06,-0.01
14:45:31:8,-0.00,0.05,-0.01
14:45:31:8,-0.00,0.04,-0.01
14:45:31:8,-0.00,0.03,-0.00
14:45:31:8,-0.00,0.02,0.01
14:45:31:8,-0.00,0.02,0.02
14:45:31:8,-0.01,0.01,0.02
14:45:31:8,-0.01,0.01,0.03
14:45:31:8,-0.01,0.01,0.03
14:45:31:8,-0.01,0.01,0.03
14:45:31:8,-0.01,0.01,0.03
14:45:31:8,-0.00,0.01,0.03
14:45:31:8,-0.00,0.01,0.02
14:45:31:8,-0.00,0.01,0.02
14:45:31:8,-0.00,0.01,0.02
14:45:31:8,-0.00,0.00,0.02
14:45:31:8,-0.01,0.00,0.02
14:45:31:8,-0.01,-0.00,0.02
14:45:31:8,-0.01,-0.01,0.02
14:45:31:9,-0.01,-0.01,0.02
14:45:31:9,-0.01,-0.02,0.02
14:45:31:9,-0.02,-0.02,0.02
14:45:31:9,-0.02,-0.02,0.02
14:45:31:9,-0.02,-0.03,0.02
14:45:31:9,-0.02,-0.03,0.02
14:45:31:9,-0.02,-0.03,0.02
14:45:31:9,-0.02,-0.02,0.01
14:45:31:9,-0.02,-0.02,0.01
14:45:31:9,-0.02,-0.02,0.01
14:45:31:9,-0.01,-0.01,0.02
14:45:31:9,-0.01,-0.01,0.01
14:45:31:9,-0.01,-0.01,0.01
14:45:31:9,-0.00,-0.00,0.01
14:45:31:9,-0.00,0.01,0.01
14:45:31:9,-0.00,0.01,0.01
14:45:31:9,0.00,0.01,0.01
14:45:31:9,0.00,0.02,0.01
14:45:31:9,0.01,0.02,0.01
14:45:31:9,0.00,0.02,0.01
14:45:32:0,0.00,0.02,0.01
14:45:32:0,0.01,0.01,0.01
14:45:32:0,0.01,0.01,0.01
14:45:32:0,0.01,0.01,0.01
14:45:32:0,0.01,0.01,0.01
14:45:32:0,0.01,0.01,0.01
14:45:32:0,0.01,0.00,0.01
14:45:32:0,0.01,0.00,0.02
14:45:32:0,0.01,-0.00,0.02
14:45:32:0,0.01,-0.01,0.02
14:45:32:0,0.01,-0.01,0.02
14:45:32:0,0.01,-0.02,0.02
14:45:32:0,0.01,-0.02,0.02
14:45:32:0,0.01,-0.02,0.02
14:45:32:0,0.01,-0.03,0.02
14:45:32:0,0.01,-0.03,0.02
14:45:32:0,0.01,-0.03,0.02
14:45:32:0,0.01,-0.02,0.02
14:45:32:0,0.01,-0.02,0.01
14:45:32:0,0.01,-0.02,0.01
14:45:32:1,0.01,-0.01,0.01
14:45:32:1,0.01,-0.01,0.01
14:45:32:1,0.01,-0.00,0.01
14:45:32:1,0.01,0.00,0.01
14:45:32:1,0.01,0.01,0.01
14:45:32:1,0.01,0.01,0.01
14:45:32:1,0.01,0.01,0.01
14:45:32:1,0.01,0.01,0.01
14:45:32:1,0.01,0.01,0.01
14:45:32:1,0.01,0.01,0.01
14:45:32:1,0.01,0.01,0.01
14:45:32:1,0.01,0.01,0.02
14:45:32:1,0.01,0.00,0.02
14:45:32:1,0.01,0.00,0.02
14:45:32:1,0.01,-0.00,0.02
14:45:32:1,0.01,-0.01,0.02
14:45:32:1,0.00,-0.01,0.02
14:45:32:1,0.00,-0.01,0.02
14:45:32:1,0.01,-0.02,0.02
14:45:32:1,0.01,-0.02,0.02
14:45:32:2,0.01,-0.03,0.02
14:45:32:2,0.01,-0.03,0.02
14:45:32:2,0.01,-0.03,0.02
14:45:32:2,0.02,-0.03,0.02
14:45:32:2,0.02,-0.03,0.02
14:45:32:2,0.02,-0.02,0.03
14:45:32:2,0.02,-0.02,0.03
14:45:32:2,0.02,-0.02,0.03
14:45:32:2,0.02,-0.01,0.03
14:45:32:2,0.02,-0.01,0.04
14:45:32:2,0.02,-0.00,0.04
14:45:32:2,0.02,0.01,0.05
14:45:32:2,0.02,0.01,0.05
14:45:32:2,0.02,0.01,0.05
