Clock Time (s),Elapsed Time (s),ar,atheta,aphi,gx,gy,gz,mx,my,mz,
53131.7,0.0,0.933648756224738,3.3865713167166573,0.08843765119245343,-0.02,-0.09,-0.04,23.16,-32.86,-23.46,
53131.8,0.10000000000582077,0.9413288479590967,3.4198923125949046,0.15530080665473633,-0.01,0.06,-0.01,22.18,-31.69,-23.22,
53131.9,0.20000000000436557,0.929623579735368,3.368391501643679,0.14401413685502806,-0.01,-0.01,0.02,23.38,-31.86,-23.39,
53132.0,0.3000000000029104,0.9183681179135086,3.3865713167166573,0.1350985907234132,0.00,0.02,0.01,22.20,-33.66,-24.35,
53132.1,0.4000000000014552,0.9280086206496145,3.30674133100442,0.13147121473144063,0.01,-0.01,0.01,22.70,-34.25,-24.39,
53132.2,0.5,0.9183681179135086,3.3865713167166573,0.1350985907234132,0.01,-0.03,0.02,22.39,-32.85,-23.84,
53132.3,0.6000000000058208,0.9180958555619343,3.30674133100442,0.13289909228927693,-0.01,0.02,0.06,24.24,-33.74,-22.55,
53132.4,0.7000000000043656,0.93,3.4400915851759724,0.1467788381808557,-0.03,-0.08,0.12,21.50,-34.77,-24.56,
53132.5,0.8000000000029104,0.9282779756085997,3.3865713167166573,0.13364764548039665,0.08,0.03,0.10,21.88,-33.63,-23.73,
53132.6,0.9000000000014552,0.9246080250571049,3.360261599463735,0.0998789844533044,0.07,-0.06,0.08,23.04,-34.60,-23.39,
53132.7,1.0,0.9140021881811882,3.5003633238603653,0.09361570933134027,-0.00,-0.08,0.13,23.04,-33.91,-23.72,
53132.8,1.1000000000058208,0.9235258523723091,3.2659476481365544,0.08740993547306354,0.04,-0.04,0.20,21.80,-33.45,-23.25,
53132.9,1.2000000000043656,0.9037698822156003,2.896613990462929,0.09136945527796672,0.03,-0.15,0.21,19.44,-35.80,-24.23,
53133.0,1.3000000000029104,0.9326842981416595,2.999695598985629,0.07588697739151913,0.05,-0.15,0.22,19.62,-35.99,-23.75,
53133.1,1.4000000000014552,0.9319871243745806,2.976443976175166,0.06531301941955567,-0.07,-0.16,0.15,18.52,-35.42,-24.33,
53133.2,1.5,0.9305374790947435,3.4633432079864352,0.03398988989180027,-0.21,-0.18,0.13,16.32,-36.42,-25.25,
53133.3,1.6000000000058208,0.9516827202382104,3.9269908169872414,0.05947560620157161,-0.12,-0.06,0.22,16.54,-36.11,-26.64,
53133.4,1.7000000000043656,0.9002777349240622,4.2487413713838835,0.02484008946154509,-0.15,-0.09,0.17,16.88,-36.31,-26.41,
53133.5,1.8000000000029104,0.9121951545584969,5.034139534781332,0.06938902739238179,-0.15,-0.20,0.28,14.14,-34.25,-28.08,
53133.6,1.9000000000014552,0.892972563968233,4.990688639389801,0.08161727543748368,-0.09,-0.22,0.35,14.33,-35.77,-27.94,
53133.7,2.0,0.8762419757121888,5.003845774862556,0.11943239909548507,-0.11,-0.39,0.34,11.77,-34.92,-29.09,
53133.8,2.1000000000058208,0.8500588214941364,5.279118197908196,0.1539902574117376,-0.10,-0.42,0.42,8.47,-34.84,-30.33,
53133.9,2.2000000000043656,0.8720665112249179,5.407127256581393,0.27202316485267847,0.05,-0.61,0.51,7.52,-33.86,-30.50,
53134.0,2.3000000000029104,0.9210320298447824,5.80067201215711,0.2603213000540381,0.35,-0.68,0.58,3.70,-36.14,-31.27,
53134.1,2.400000000001455,0.9343446901438462,6.1064764511095495,0.30932502369157466,0.41,-0.44,0.71,2.62,-36.41,-30.49,
53134.2,2.5,0.8927485648266258,6.233226911457644,0.22623196282356717,0.29,-0.47,0.61,-2.14,-37.87,-28.59,
53134.3,2.6000000000058208,0.9332202312423366,0.06442683942555355,0.33934945945793155,0.15,-0.74,0.29,-3.31,-39.05,-29.09,
53134.4,2.7000000000043656,1.0114346246792225,0.13432144195296852,0.3780857479979446,0.06,-0.56,0.02,-8.33,-39.59,-28.12,
53134.5,2.8000000000029104,1.0207840124139875,0.08314123188844123,0.4913954801095665,0.13,-0.12,-0.02,-10.84,-39.73,-27.75,
53134.6,2.900000000001455,0.9398936110007344,0.06807645825799948,0.48841291563476574,0.19,0.27,0.03,-9.49,-40.05,-26.44,
53134.7,3.0,0.8821564487096379,6.236707175828584,0.5097612289312292,0.07,0.01,-0.01,-9.27,-40.84,-27.94,
53134.8,3.1000000000058208,0.9717509969122748,6.219441994646899,0.505959875634197,-0.04,-0.24,0.13,-10.15,-41.44,-24.39,
53134.9,3.2000000000043656,0.9259589623736032,6.234443455869655,0.45928877432685544,-0.06,0.15,-0.13,-9.52,-40.91,-27.15,
53135.0,3.3000000000029104,0.9217917335276988,-0.0,0.49761512167922917,0.03,0.13,-0.16,-8.96,-39.90,-26.91,
53135.1,3.400000000001455,0.8682165628459296,0.02777063659342104,0.4277263220699805,0.07,0.24,-0.13,-7.08,-41.44,-27.41,
53135.2,3.5,0.9892926766129425,6.219441994646899,0.49616186455110645,0.02,-0.22,0.03,-7.36,-40.97,-27.21,
53135.3,3.6000000000058208,0.9124691775616315,0.023805026185069945,0.47846823812841355,0.07,0.12,0.09,-7.76,-42.47,-25.74,
53135.4,3.7000000000043656,0.9354143466934853,0.02221856532671906,0.5020105631341873,0.03,-0.12,0.04,-6.81,-41.39,-25.90,
53135.5,3.8000000000029104,0.9218459741193211,0.022723360841641067,0.49772342832461713,0.04,0.02,0.02,-8.61,-42.98,-26.91,
53135.6,3.900000000001455,0.9171150418568,0.023251622810462915,0.4881449892996046,-0.01,-0.04,0.02,-9.07,-41.51,-26.73,
53135.7,4.0,0.9261209424259879,0.046478131351002934,0.4834134115107063,0.00,0.01,-0.01,-8.29,-43.06,-26.74,
53135.8,4.100000000005821,0.912633551870629,0.0475831032769834,0.4788153782974434,0.05,0.04,0.03,-8.25,-42.01,-25.70,
53135.9,4.200000000004366,0.9084602357836034,0.046478131351002934,0.49364638048046156,0.02,-0.07,0.04,-6.39,-42.81,-26.41,
53136.0,4.30000000000291,0.9179324593890338,0.02221856532671906,0.5124949471281159,-0.00,-0.01,0.03,-9.47,-41.78,-26.74,
53136.1,4.400000000001455,0.9130717386930778,0.022723360841641067,0.5029522463203994,0.00,0.01,0.02,-10.15,-42.81,-25.74,
53136.2,4.5,0.9220086767487604,0.04542327942157701,0.49804810421778667,-0.01,0.01,0.01,-8.74,-41.50,-26.13,
53136.3,4.600000000005821,0.9306449376641984,0.022723360841641067,0.4925933460218555,-0.01,0.02,0.01,-8.67,-41.21,-25.62,
53136.4,4.700000000004366,0.9259589623736032,0.023251622810462915,0.4830800742575718,-0.02,-0.01,0.01,-10.15,-41.10,-26.07,
53136.5,4.80000000000291,0.9259589623736032,0.023251622810462915,0.4830800742575718,-0.01,-0.02,0.02,-8.62,-41.61,-25.57,
53136.6,4.900000000001455,0.9172785836374903,0.046478131351002934,0.48848064141855213,0.04,0.06,0.00,-8.06,-40.77,-26.35,
53136.7,5.0,0.9261209424259879,0.046478131351002934,0.4834134115107063,-0.02,-0.02,0.00,-8.62,-41.27,-25.90,
53136.8,5.100000000005821,0.8990550594930213,0.02563540852167748,0.448851805614444,-0.00,0.09,0.03,-8.50,-41.94,-26.31,
53136.9,5.200000000004366,0.9079096871385391,0.024385409172718538,0.4686935025845618,0.01,0.11,0.02,-8.27,-40.24,-28.92,
53137.0,5.30000000000291,0.9348261870529729,0.023251622810462915,0.4781111195046126,-0.04,0.00,-0.01,-7.59,-42.64,-26.24,
53137.1,5.400000000001455,0.9171150418567999,0.02563540852167748,0.43938869976560496,-0.03,0.00,-0.01,-7.75,-41.93,-26.85,
53137.2,5.5,0.9167878707749136,0.0,0.4636476090008061,-0.00,0.02,0.01,-7.08,-41.10,-26.41,
53137.3,5.600000000005821,0.9123595782365634,0.0,0.45384400152151017,-0.02,-0.00,0.01,-8.28,-41.72,-27.53,
53137.4,5.700000000004366,0.9167878707749136,0.0,0.4636476090008061,-0.01,-0.01,0.01,-9.13,-42.47,-25.74,
53137.5,5.80000000000291,0.9168424073961674,0.024385409172718538,0.4637665610354676,0.00,0.03,-0.00,-8.27,-40.93,-27.58,
53137.6,5.900000000001455,0.9167878707749136,0.0,0.4636476090008061,-0.05,-0.03,0.01,-8.65,-41.71,-26.94,
53137.7,6.0,0.9261209424259879,0.0,0.4346702151492448,-0.03,-0.04,-0.01,-7.80,-41.14,-27.87,
53137.8,6.100000000005821,0.9033825324855469,-0.0,0.4586971543919626,0.00,-0.06,0.03,-7.76,-40.76,-27.75,
53137.9,6.200000000004366,0.9170605214488301,-0.0,0.48803301817352457,-0.00,-0.04,0.03,-8.27,-42.26,-27.58,
53138.0,6.30000000000291,0.9170605214488301,-0.0,0.48803301817352457,-0.01,0.02,0.01,-8.27,-40.93,-27.58,
53138.1,6.400000000001455,0.9168424073961674,6.258799898006868,0.4637665610354676,-0.02,-0.01,0.01,-8.32,-40.66,-27.53,
53138.2,6.5,0.9213576938409967,6.259380280994517,0.4734710270702622,-0.01,-0.02,0.01,-7.48,-41.24,-26.54,
53138.3,6.600000000005821,0.9213034245024816,-0.0,0.47335604183491503,-0.00,-0.02,0.01,-9.28,-41.58,-26.56,
53138.4,6.700000000004366,0.9348261870529729,6.259933684369123,0.4781111195046126,-0.01,-0.02,0.02,-8.62,-41.67,-27.24,
53138.5,6.80000000000291,0.9213034245024816,-0.0,0.47335604183491503,0.01,0.01,0.00,-10.15,-40.76,-27.75,
53138.6,6.900000000001455,0.9171150418568,6.259933684369123,0.4881449892996046,0.01,-0.01,0.01,-8.96,-40.93,-27.58,
53138.7,7.0,0.9124691775616315,6.259380280994517,0.47846823812841355,0.00,-0.03,0.02,-7.93,-40.70,-27.52,
53138.8,7.100000000005821,0.9124691775616315,6.259380280994517,0.47846823812841355,-0.02,-0.01,0.01,-9.76,-40.50,-27.05,
53138.9,7.200000000004366,0.912633551870629,6.2356022039026024,0.4788153782974434,0.00,-0.01,0.01,-8.32,-41.35,-26.53,
53139.0,7.30000000000291,0.9171150418568,6.259933684369123,0.4881449892996046,-0.01,-0.01,0.00,-8.25,-41.02,-28.37,
53139.1,7.400000000001455,0.9172785836374903,6.236707175828584,0.48848064141855213,-0.01,-0.01,0.01,-9.64,-41.27,-26.91,
53139.2,7.5,0.9213576938409967,6.259380280994517,0.4734710270702622,-0.00,-0.00,0.01,-8.35,-41.29,-26.94,
53139.3,7.600000000005821,0.9172785836374903,6.236707175828584,0.48848064141855213,-0.00,0.00,0.01,-7.25,-40.93,-26.91,
53139.4,7.700000000004366,0.9124691775616315,6.259380280994517,0.47846823812841355,0.00,-0.01,0.01,-8.94,-42.24,-27.28,
53139.5,7.80000000000291,0.9215204826806618,6.2356022039026024,0.47381570627223063,-0.00,0.01,0.00,-8.38,-39.60,-26.74,
53139.6,7.900000000001455,0.9124691775616315,6.259380280994517,0.47846823812841355,-0.01,-0.03,0.01,-8.96,-41.95,-28.25,
53139.7,8.0,0.9124691775616315,6.259380280994517,0.47846823812841355,0.01,0.01,0.01,-8.13,-40.79,-27.11,
53139.8,8.10000000000582,0.9171150418568,6.259933684369123,0.4881449892996046,-0.00,-0.03,0.02,-8.53,-41.26,-27.55,
53139.9,8.200000000004366,0.9172785836374903,6.236707175828584,0.48848064141855213,-0.00,0.01,0.01,-9.33,-40.90,-26.82,
53140.0,8.30000000000291,0.9263908462414769,6.213530733451018,0.4839681158233607,0.01,-0.00,0.01,-9.34,-40.97,-27.12,
53140.1,8.400000000001455,0.9172785836374903,6.236707175828584,0.48848064141855213,0.02,-0.03,0.02,-8.67,-41.65,-26.36,
53140.2,8.5,0.9261209424259879,6.236707175828584,0.4834134115107063,0.05,-0.04,0.03,-9.13,-41.78,-27.41,
53140.3,8.60000000000582,0.9394147114027968,-0.0,0.4874526351858761,0.06,-0.03,0.06,-7.96,-40.94,-26.59,
53140.4,8.700000000004366,0.9167878707749136,-0.0,0.4636476090008061,0.04,0.06,0.05,-9.64,-40.93,-24.90,
53140.5,8.80000000000291,0.9348261870529729,0.023251622810462915,0.4781111195046126,0.06,0.10,0.03,-10.57,-41.12,-25.90,
53140.6,8.900000000001455,0.9407443861113389,0.12435499454676144,0.4428365979812985,0.11,0.33,-0.03,-9.50,-41.62,-26.53,
53140.7,9.0,0.9184225606985055,0.12750955821523827,0.442407846915532,0.03,0.10,-0.06,-8.44,-40.41,-24.73,
