Time,Column,Value,Is Positive Peak
0.100000,aclx,-0.023575,0
0.100000,gyrz,0.013205,0
0.100000,magtheta,-0.061771,1
0.200000,aclx,-0.023354,1
0.300000,gyrx,-0.009599,0
0.300000,gyrz,0.020706,1
0.300000,magr,-0.019764,0
0.300000,magtheta,-0.064319,0
0.400000,acly,-0.021547,1
0.400000,aclz,-0.029414,1
0.400000,gyrx,-0.008418,1
0.400000,gyrz,0.019550,0
0.400000,magr,0.015811,1
0.400000,magtheta,-0.064149,1
0.500000,aclx,-0.024229,0
0.500000,aclz,-0.029473,0
0.500000,gyry,-0.002929,1
0.500000,magphi,0.029118,1
0.600000,gyrx,-0.013008,0
0.600000,gyrz,0.021014,1
0.600000,magr,-0.011294,0
0.700000,gyry,-0.009226,0
0.800000,magr,-0.008784,1
0.900000,gyrx,-0.005392,1
0.900000,magr,-0.015811,0
0.900000,magtheta,-0.068251,0
1.000000,aclx,-0.018772,1
1.000000,acly,-0.034462,0
1.000000,gyrx,-0.005522,0
1.100000,aclx,-0.019435,0
1.100000,acly,-0.027217,1
1.100000,aclz,-0.010995,1
1.100000,gyry,-0.000626,1
1.200000,acly,-0.035275,0
1.200000,aclz,-0.013754,0
1.200000,gyry,-0.000775,0
1.300000,acly,-0.030642,1
1.300000,magr,0.000000,1
1.400000,gyry,0.004741,1
1.500000,acly,-0.035566,0
1.500000,gyrx,0.022368,1
1.500000,gyry,0.003431,0
1.500000,gyrz,-0.011822,0
1.600000,acly,-0.035014,1
1.600000,gyrz,-0.009590,1
1.700000,acly,-0.035399,0
1.700000,gyry,0.006199,1
1.700000,gyrz,-0.010572,0
1.800000,acly,-0.035065,1
1.800000,magr,0.000000,0
1.800000,magphi,0.028339,0
1.900000,magr,0.007906,1
2.000000,acly,-0.035759,0
2.000000,magtheta,-0.017221,1
2.100000,acly,-0.035506,1
2.100000,magphi,0.028414,1
2.200000,acly,-0.036960,0
2.200000,gyry,0.000027,0
2.300000,gyry,0.000213,1
2.300000,gyrz,0.003563,1
2.300000,magr,-0.003593,0
2.400000,aclz,0.027650,1
2.400000,gyrz,0.002124,0
2.500000,gyrx,-0.003230,0
2.500000,gyry,-0.011673,0
2.500000,gyrz,0.005002,1
2.600000,aclx,0.020033,1
2.600000,magr,-0.003125,1
2.700000,acly,-0.032669,1
2.800000,acly,-0.032887,0
2.800000,gyrz,0.004520,0
2.800000,magr,-0.009871,0
2.800000,magphi,-0.022012,0
3.000000,gyrz,0.005619,1
3.000000,magtheta,-0.035740,0
3.400000,gyry,0.004596,1
3.500000,acly,-0.018789,1
3.500000,gyry,0.000388,0
3.500000,gyrz,-0.011808,0
3.600000,aclx,-0.012706,0
3.600000,gyrx,0.022745,1
3.600000,gyry,0.002301,1
3.800000,acly,-0.043137,0
3.800000,aclz,-0.015719,0
4.100000,gyry,-0.004954,0
4.100000,magr,-0.005392,1
4.100000,magtheta,-0.001595,1
4.200000,magr,-0.008740,0
4.400000,gyrx,-0.007225,0
4.400000,gyry,0.003452,1
4.400000,gyrz,0.015149,1
4.500000,gyry,0.001365,0
4.600000,acly,-0.032561,1
4.600000,aclz,0.005148,1
4.700000,acly,-0.033480,0
4.800000,aclx,0.020325,1
4.800000,magr,-0.000914,1
4.900000,magr,-0.004466,0
5.100000,magr,-0.004060,1
5.200000,gyry,0.011036,1
5.200000,magtheta,-0.025667,0
5.300000,gyry,0.009549,0
5.300000,magr,-0.010723,0
5.400000,gyry,0.011984,1
5.500000,gyrx,0.017203,1
5.500000,gyry,0.009997,0
5.600000,gyry,0.012285,1
5.600000,gyrz,-0.017108,0
5.700000,acly,-0.009693,1
5.700000,gyry,0.010423,0
5.800000,aclx,-0.012641,0
5.800000,aclz,-0.027371,0
5.800000,gyry,0.010730,1
5.800000,magr,-0.008478,1
5.900000,aclx,-0.011975,1
5.900000,acly,-0.010241,0
5.900000,magr,-0.011686,0
6.000000,aclx,-0.013134,0
6.300000,acly,-0.003368,1
6.300000,gyry,0.000754,0
6.300000,magr,0.004055,1
6.300000,magtheta,0.008638,1
6.400000,acly,-0.003740,0
6.400000,gyry,0.002764,1
6.400000,gyrz,0.012783,1
6.400000,magphi,0.019150,1
6.500000,gyrx,-0.010105,0
6.500000,gyrz,0.011506,0
6.600000,gyry,-0.000580,0
6.700000,gyrz,0.011957,1
6.800000,magphi,-0.010060,0
6.900000,aclz,0.007390,1
7.100000,magr,-0.000798,0
7.200000,aclx,0.013838,1
7.200000,acly,0.003072,1
7.300000,acly,0.002615,0
7.400000,magr,-0.000694,1
7.400000,magtheta,-0.022214,0
7.500000,magr,-0.004256,0
7.600000,gyrx,0.010537,1
7.600000,gyry,0.022289,1
7.600000,gyrz,-0.019733,0
7.800000,gyry,0.017632,0
7.800000,magr,0.003485,1
7.900000,gyry,0.017743,1
8.000000,acly,0.016521,1
8.200000,aclz,-0.022979,0
8.300000,aclx,-0.015789,0
8.300000,aclz,-0.022252,1
8.300000,magr,-0.000832,0
8.400000,aclx,-0.014936,1
8.400000,acly,0.009936,0
8.400000,aclz,-0.022656,0
8.400000,gyrz,0.005325,1
8.400000,magr,-0.000792,1
8.500000,aclx,-0.015324,0
8.500000,acly,0.013485,1
8.500000,gyrx,-0.013986,0
8.500000,gyrz,0.002258,0
8.500000,magr,-0.004350,0
8.500000,magphi,0.010905,1
8.600000,magr,-0.004152,1
8.600000,magtheta,0.012413,1
8.700000,gyry,-0.009750,0
8.700000,gyrz,0.007077,1
8.800000,magr,-0.010807,0
9.000000,magphi,-0.023395,0
9.100000,magphi,-0.020973,1
9.200000,acly,0.001219,0
9.200000,aclz,0.002636,1
9.200000,magr,-0.002091,1
9.300000,acly,0.001605,1
9.300000,magphi,-0.032743,0
9.400000,aclx,0.004491,1
9.400000,magr,-0.012853,0
9.500000,acly,0.000218,0
