time,aax,aay,aaz,ggx,ggy,ggz,mmx,mmy,mmz,
0.0,2.697164,-4.784684,-8.149555,0.011983,-0.063213,0.055023,8.939156,-1.188309,-33.384415,
0.1,2.691478,-4.597331,-8.019665,-0.105134,-0.055295,0.003151,9.005959,-0.885597,-33.515205,
0.2,2.713027,-4.67724,-8.072489,-0.184032,-0.038791,0.041567,8.822258,-0.666973,-34.872139,
0.3,2.597502,-4.506647,-7.96295,-0.394526,-0.045638,0.138114,8.237755,-0.582886,-34.888481,
0.4,2.579695,-4.440505,-7.991083,-0.081355,0.022745,0.036071,9.005966,-0.75106,-34.561508,
0.5,2.630573,-4.654943,-8.054083,-0.232588,0.059353,0.069599,8.037354,-0.347439,-34.038361,
0.6,2.90861,-4.873721,-7.870022,-0.539673,-0.058487,0.081458,7.603149,-0.885597,-34.038376,
0.7,2.755226,-4.967248,-7.905487,0.336545,-0.185133,0.006731,6.851646,-0.734241,-33.760452,
0.8,2.918786,-4.980267,-7.578218,0.01807,0.131667,-0.265655,7.085457,-1.205124,-34.545197,
0.9,3.156718,-5.430692,-7.612636,0.108334,0.027221,-0.061713,7.66996,-1.726467,-34.430756,
1.0,4.206314,-5.300054,-7.660222,-0.127277,0.020779,-0.023789,8.705383,-1.894638,-34.594254,
1.1,2.574607,-3.336289,-3.822031,0.174557,0.054659,-0.080226,10.4422,-3.172768,-34.13649,
1.2,7.008827,-6.662403,-8.412926,1.085937,-0.018662,-0.261363,16.320679,-3.946373,-32.207352,
1.3,5.672665,-3.778335,-3.225554,2.021774,0.160797,-0.204525,24.253296,-4.602257,-28.038445,
1.4,5.871989,-6.041834,-5.856576,0.932968,0.150354,-0.24062,27.827145,-4.972233,-25.161079,
1.5,7.11223,-5.091601,-4.956773,1.786569,-0.073841,-0.450152,28.177849,-4.551804,-25.11203,
1.6,6.76865,-4.766128,-4.900657,0.136764,0.171433,0.081343,27.743641,-4.148186,-25.013947,
1.7,6.834942,-5.043865,-5.106715,-0.042895,0.040746,-0.134761,27.693542,-3.9632,-25.095688,
1.8,6.691135,-4.793213,-4.813714,-0.273049,-0.037415,0.000314,27.559937,-3.155956,-25.226471,
1.9,6.700113,-4.982811,-5.003013,-0.26996,-0.165751,-0.000946,26.090317,-1.74329,-27.12291,
2.0,6.617959,-5.002115,-5.106117,-0.245348,-0.200543,0.004956,22.182461,-1.440582,-29.248222,
2.1,6.765807,-4.751612,-5.064666,-0.800867,-0.060121,0.220011,15.919876,-0.650162,-31.978462,
2.2,6.716424,-5.377868,-5.740453,-1.138582,-0.024803,0.277563,7.937157,0.897049,-33.090164,
2.3,6.645344,-4.789173,-6.157358,-1.821401,0.00827,0.413695,5.799522,2.006989,-34.038383,
2.4,5.949205,-4.176984,-6.380925,-1.702217,-0.885811,-0.138161,5.365318,2.410606,-33.907608,
2.5,5.845951,-4.445144,-8.190707,-0.119051,-0.224489,0.240686,6.283836,2.057446,-33.825874,
2.6,4.777052,-4.66467,-8.01338,0.135211,0.208737,-0.021678,6.333939,1.939724,-34.103806,
2.7,0.140664,-4.109794,-8.334364,0.23394,0.080281,-0.029675,6.751442,1.653824,-33.498886,
2.8,2.363461,-4.841698,-8.239041,0.102942,0.00973,-0.006707,7.40274,0.829769,-33.77681,
2.9,-0.278336,-4.263328,-8.53713,0.281738,0.144501,0.056,8.722061,0.375698,-33.662369,
3.0,-0.211146,-3.664008,-8.546109,0.26108,0.160001,0.03253,11.678017,-1.28923,-33.482552,
3.1,0.927038,-3.56644,-8.205671,0.349274,0.272135,-0.017468,15.853073,-2.062832,-32.076569,
3.2,0.108491,-4.41731,-8.995636,0.711307,0.142582,-0.247152,22.933975,-2.264641,-28.577957,
3.3,1.009042,-3.8557,-8.653852,1.286223,0.016566,-0.449256,27.64344,-3.542767,-25.013962,
3.4,0.588845,-3.743618,-8.980821,1.769409,0.188577,-0.337588,27.910645,-3.643669,-24.261917,
3.5,0.761832,-4.045597,-7.702122,2.916759,-0.363457,-0.599176,27.576649,-3.879112,-24.78508,
3.6,2.62369,-5.340757,-8.594443,0.628378,0.163135,0.057065,27.793747,-3.458675,-24.964912,
3.7,5.752724,-5.099981,-8.282587,-0.166623,-0.111267,-0.066165,27.910648,-3.172775,-25.406326,
3.8,18.296693,-13.087922,-11.916666,-0.178636,-0.090022,0.018124,27.610046,-3.273678,-25.373627,
3.9,6.162745,-4.282631,-6.053805,-0.227684,-0.184941,0.065913,27.058945,-2.046005,-26.174698,
4.0,6.178907,-4.397857,-5.158043,-0.14804,-0.221425,0.082519,25.555916,-1.373306,-27.253716,
4.1,6.227242,-4.697142,-5.932744,-0.899438,-0.08932,0.169338,20.195145,-1.423767,-29.755058,
4.2,6.17322,-4.619478,-5.640342,-1.771387,0.131262,0.377641,10.976616,-1.423767,-33.842209,
4.3,6.591921,-4.575782,-5.580934,-1.729464,0.066177,0.499499,6.46756,0.291611,-33.940277,
4.4,5.635104,-4.451279,-6.024775,-2.966854,0.482645,0.764223,6.834961,-0.381084,-34.07106,
4.5,6.365661,-3.805869,-5.974345,0.076491,-0.171344,0.029374,7.619865,-0.86879,-33.793137,
4.6,6.065627,-4.378702,-6.338576,0.036699,0.142201,-0.060671,8.371384,-1.625565,-33.744087,
4.7,6.321068,-5.176299,-9.302105,0.049189,0.166514,-0.094572,8.137589,-1.356491,-33.842171,
4.8,5.996193,-4.300589,-8.999078,0.126514,0.067891,-0.061626,8.371391,-1.356491,-34.528824,
4.9,2.665739,-4.637136,-8.857216,0.143176,0.077824,-0.019413,8.00399,-1.121048,-34.234543,
5.0,-1.228718,-3.429816,-10.109429,0.242718,0.152004,-0.082287,8.655289,-1.978733,-33.662338,
5.1,-0.447881,-3.892213,-8.291117,0.103086,0.158811,-0.08973,10.542427,-2.230991,-33.809464,
5.2,0.49442,-3.290948,-9.232671,0.66256,0.182151,-0.290595,14.550484,-2.735512,-32.730453,
5.3,0.283723,-3.726109,-8.995486,1.712397,-0.095841,-0.727914,19.410244,-3.458664,-30.752266,
5.4,0.250502,-3.212385,-8.742291,1.575465,0.246461,-0.681226,26.390945,-3.525932,-25.913078,
5.5,0.612189,-3.543096,-8.719844,2.356946,-0.128333,-0.603033,28.762379,-3.425026,-23.755051,
5.6,1.555538,-3.606694,-9.100685,-0.079166,0.235162,-0.154627,29.213284,-4.047272,-24.163765,
5.7,1.732865,-3.924536,-8.1099,-0.069575,-0.124069,0.03248,28.311474,-3.61002,-24.261856,
5.8,2.478087,-4.513082,-9.179098,-0.097003,0.061005,-0.008444,28.394974,-2.920506,-24.605179,
5.9,4.343387,-4.584461,-6.852151,-0.215672,-0.118115,0.057804,28.294769,-2.886868,-24.572502,
6.0,2.530612,-3.20625,-1.943114,-0.10454,-0.24997,0.036961,28.060966,-2.214172,-25.193756,
6.1,6.086278,-3.41979,-5.289429,-0.467771,-0.213422,0.190457,27.726959,-1.507843,-25.095673,
6.2,6.102739,-3.981999,-5.814227,-1.340085,-0.149332,0.389271,25.906635,-0.280174,-26.55069,
6.3,6.314783,-4.063554,-5.74614,-1.856884,-0.062125,0.558733,23.234596,0.291622,-28.610626,
6.4,6.534459,-4.386334,-5.870194,-2.815762,0.173242,0.871001,15.068184,0.51025,-32.32177,
6.5,6.304158,-4.180725,-5.675957,-0.606814,-0.251289,-0.086343,5.749451,1.653835,-33.695061,
6.6,6.659859,-3.832655,-5.869296,-0.155901,-0.051504,0.052181,3.57843,2.259262,-33.662361,
6.7,6.59237,-3.895056,-5.751676,-0.079157,0.079573,0.033779,3.712036,2.124725,-33.531563,
6.8,6.551368,-4.039013,-6.040786,0.023442,-0.000905,-0.015153,5.348656,0.98114,-33.662346,
6.9,6.647888,-3.835947,-6.361621,0.177827,0.054855,-0.041574,5.78286,0.510254,-33.564255,
7.0,6.516501,-3.925134,-7.290904,0.261508,0.123009,-0.108014,6.684685,-0.532433,-34.022018,
7.1,5.697356,-3.87261,-8.031038,0.317755,0.196269,-0.131206,7.519691,-1.642376,-33.564255,
7.2,4.711658,-3.43266,-8.579629,0.242633,0.212423,-0.219244,9.807632,-2.668243,-33.678696,
7.3,3.324019,-4.410427,-10.710245,0.694414,0.21269,-0.421624,10.676041,-3.408211,-33.319016,
7.4,1.401556,-2.031852,-9.156353,2.056537,0.341865,-0.566111,11.511047,-3.64365,-33.384392,
7.5,-0.568494,-3.272991,-8.299347,1.781289,0.388831,-0.62897,15.018089,-3.979996,-32.141914,
7.6,0.287015,-3.302021,-8.821152,0.289404,0.559682,-0.751628,22.132385,-4.38361,-29.591522,
7.7,0.866133,-3.601307,-8.917373,-0.305476,-0.254324,0.038691,28.14447,-4.585423,-24.621529,
7.8,0.859399,-3.496407,-8.598035,-0.068189,-0.011189,-0.035345,30.198593,-3.963181,-23.26458,
7.9,0.964,-3.936208,-8.900014,-0.049461,0.072727,0.009273,29.530586,-3.996819,-23.951241,
8.0,1.430886,-3.531125,-8.385542,-0.16896,-0.22784,0.094161,29.380276,-3.340935,-24.00029,
8.1,1.371627,-4.355358,-8.601776,-0.507951,-0.445685,0.157369,28.578663,-2.870041,-24.621529,
8.2,2.014942,-4.76538,-7.99243,-1.225184,-0.20973,0.326339,28.344864,-2.80278,-24.52343,
