Clock Time (s),Elapsed Time (s),aar,aatheta,aaphi,ggx,ggy,ggz,mmx,mmy,mmz,
0.0,0.0,9.827672222900853,5.225695514046413,2.5485530156443312,0.011983,-0.063213,0.055023,8.939156,-1.188309,-33.384415,
0.1,0.1,9.62780000105268,5.242036480423627,2.5552494711371256,-0.105134,-0.055295,0.003151,9.005959,-0.885597,-33.515205,
0.2,0.2,9.716077818515554,5.23800921729684,2.5514085564961615,-0.184032,-0.038791,0.041567,8.822258,-0.666973,-34.872139,
0.3,0.3,9.511333057206702,5.235253219508067,2.562951421393842,-0.394526,-0.045638,0.138114,8.237755,-0.582886,-34.888481,
0.4,0.4,9.498964073041808,5.2386805879421745,2.5704029300832993,-0.081355,0.022745,0.036071,9.005966,-0.75106,-34.561508,
0.5,0.5,9.667298568497147,5.226761857150946,2.5555331109360253,-0.232588,0.059353,0.069599,8.037354,-0.347439,-34.038361,
0.6,0.6,9.703113665129612,5.250448178841888,2.5167960677244077,-0.539673,-0.058487,0.081458,7.603149,-0.885597,-34.038376,
0.7,0.7,9.734554315003281,5.2188170832544625,2.518548101005379,0.336545,-0.185133,0.006731,6.851646,-0.734241,-33.760452,
0.8,0.8,9.526371773167842,5.242502999517884,2.4906267441630234,0.01807,0.131667,-0.265655,7.085457,-1.205124,-34.545197,
0.9,0.9,9.869625676735872,5.238925270482399,2.4517083068586505,0.108334,0.027221,-0.061713,7.66996,-1.726467,-34.430756,
1.0,1.0,10.220697185554222,5.383237410183952,2.418074640027038,-0.127277,0.020779,-0.023789,8.705383,-1.894638,-34.594254,
1.1,1.1,5.689230744215865,5.369632700933655,2.307433844506917,0.174557,0.054659,-0.080226,10.4422,-3.172768,-34.13649,
1.2,1.2,12.817511206619404,5.523121358962053,2.286782697254186,1.085937,-0.018662,-0.261363,16.320679,-3.946373,-32.207352,
1.3,1.3,7.540500128066175,5.695602851755806,2.0128138275268688,2.021774,0.160797,-0.204525,24.253296,-4.602257,-28.038445,
1.4,1.4,10.260774597634088,5.483531980252539,2.1782436295833585,0.932968,0.150354,-0.24062,27.827145,-4.972233,-25.161079,
1.5,1.5,10.05374631118321,5.661871850921135,2.086362445733023,1.786569,-0.073841,-0.450152,28.177849,-4.551804,-25.11203,
1.6,1.6,9.62013710747061,5.669681203693242,2.1053029539327497,0.136764,0.171433,0.081343,27.743641,-4.148186,-25.013947,
1.7,1.7,9.911384584043441,5.647439056583855,2.112080829982677,-0.042895,0.040746,-0.134761,27.693542,-3.9632,-25.095688,
1.8,1.8,9.535094174961777,5.661568441868106,2.099995000334226,-0.273049,-0.037415,0.000314,27.559937,-3.155956,-25.226471,
1.9,1.9,9.733964184886803,5.643734464048506,2.1106084889259273,-0.26996,-0.165751,-0.000946,26.090317,-1.74329,-27.12291,
2.0,2.0,9.741199444452157,5.635957364648905,2.12254526478531,-0.245348,-0.200543,0.004956,22.182461,-1.440582,-29.248222,
2.1,2.1,9.695607389501134,5.670918797088828,2.1204208249207204,-0.800867,-0.060121,0.220011,15.919876,-0.650162,-31.978462,
2.2,2.2,10.343336802908865,5.60801520436421,2.1591477954896456,-1.138582,-0.024803,0.277563,7.937157,0.897049,-33.090164,
2.3,2.3,10.247430528792522,5.658713916369025,2.2153834774088796,-1.821401,0.00827,0.413695,5.799522,2.006989,-34.038383,
2.4,2.4,9.672457770593057,5.671046026090146,2.2912164655388114,-1.702217,-0.885811,-0.138161,5.365318,2.410606,-33.907608,
2.5,2.5,11.001005837421685,5.633074053643393,2.4106443111254836,-0.119051,-0.224489,0.240686,6.283836,2.057446,-33.825874,
2.6,2.6,10.430418545964683,5.509689283374589,2.4469308355915653,0.135211,0.208737,-0.021678,6.333939,1.939724,-34.103806,
2.7,2.7,9.29364386921664,4.746602157825265,2.683236528158242,0.23394,0.080281,-0.029675,6.751442,1.653824,-33.498886,
2.8,2.8,9.844276713979855,5.166509413346849,2.5624590839800097,0.102942,0.00973,-0.006707,7.40274,0.829769,-33.77681,
