time,mx,my,mz
0.006344,8.939156,-1.188309,-33.384415
0.056186,9.005959,-0.885597,-33.515205
0.058525,8.922462,-0.633335,-33.956612
0.073639,8.905762,-0.717422,-34.201836
0.12184,8.855667,-0.566067,-34.577866
0.127656,9.056068,-0.498795,-34.97023
0.153035,8.822258,-0.666973,-34.872139
0.197453,8.772163,-0.582886,-34.724991
0.206078,8.755463,-0.532433,-34.741341
0.231655,8.388054,-0.666973,-34.839432
0.258693,8.237755,-0.582886,-34.888481
0.283283,8.538353,-0.75106,-34.953873
0.30785,8.671959,-0.851963,-34.888481
0.334414,8.838959,-0.919235,-34.724991
0.361737,9.005966,-0.75106,-34.561508
0.386531,8.788864,-1.070591,-34.152786
0.413776,8.588463,-0.599701,-34.218185
0.438393,8.488258,-0.498795,-34.054703
0.464396,8.037354,-0.347439,-34.038361
0.491519,8.070755,-0.414707,-34.038361
0.515832,8.237755,-0.246532,-34.07106
0.54146,8.037354,-0.683788,-33.809494
0.568206,7.603149,-0.885597,-34.038376
0.593432,7.486252,-1.003319,-33.662346
0.619441,7.135551,-1.020142,-33.482513
0.64651,6.951851,-0.93605,-33.564262
0.671726,6.851646,-0.734241,-33.760452
0.697165,7.018654,-0.835144,-33.825851
0.724287,7.185661,-0.666969,-34.414398
0.748552,7.185661,-0.835144,-34.512497
0.774244,7.085457,-1.205124,-34.545197
0.800269,7.219055,-1.406937,-34.610588
0.826397,7.419456,-1.541473,-34.577896
0.852824,7.66996,-1.726467,-34.430756
0.878391,8.003967,-1.760101,-34.659637
0.904286,8.371376,-1.894638,-34.626945
0.931608,8.504982,-1.96191,-34.561554
0.956149,8.705383,-1.894638,-34.594254
0.981832,8.705383,-2.163719,-34.496162
1.00887,9.172989,-2.634609,-34.10379
1.033231,9.673988,-2.970959,-34.13649
1.059548,10.4422,-3.172768,-34.13649
1.085454,11.394112,-3.795013,-33.695084
1.112093,12.930534,-3.89592,-33.466202
1.137482,14.567162,-4.03046,-33.008438
1.163506,16.320679,-3.946373,-32.207352
1.189394,18.324707,-4.249088,-31.488022
1.215654,20.462341,-4.18182,-30.670586
1.24093,22.48307,-4.501354,-29.313644
1.266245,24.253296,-4.602257,-28.038445
1.293086,25.889919,-4.804062,-26.926743
1.319491,27.058937,-5.039505,-25.978508
1.345049,27.710243,-4.955414,-25.308212
1.37242,27.827145,-4.972233,-25.161079
1.397516,28.21125,-4.955418,-25.11203
1.422299,28.227951,-4.904968,-25.389961
1.447973,28.227951,-4.703159,-25.030289
1.474902,28.177849,-4.551804,-25.11203
1.500604,28.261353,-4.568619,-25.259171
1.52576,27.743641,-4.383629,-25.210129
1.552308,27.743641,-4.148186,-25.013947
1.57917,27.710243,-3.980015,-25.210136
1.603739,27.559937,-4.064102,-25.062996
1.630663,27.64344,-3.980019,-24.850456
1.656502,27.693542,-3.9632,-25.095688
1.680863,27.526539,-3.895927,-25.128387
1.707711,27.660141,-3.828655,-25.030289
1.733862,27.726944,-3.626846,-25.030289
1.758558,27.559937,-3.155956,-25.226471
1.785088,27.509834,-2.76915,-25.373604
1.811507,27.109028,-2.39917,-25.962151
1.836632,26.608021,-2.06282,-26.485306
1.863508,26.090317,-1.74329,-27.12291
