time,x,y,z
11:16:21:7,-0.06,-0.02,0.95
11:16:21:7,-0.05,-0.01,0.96
11:16:21:7,-0.03,-0.01,0.94
11:16:21:7,-0.02,-0.00,0.93
11:16:21:7,-0.01,-0.00,0.91
11:16:21:7,-0.00,-0.00,0.90
11:16:21:8,0.00,-0.00,0.90
11:16:21:8,0.01,0.00,0.91
11:16:21:8,0.01,0.00,0.92
11:16:21:8,0.01,-0.00,0.94
11:16:21:8,0.01,-0.00,0.95
11:16:21:8,0.01,-0.00,0.95
11:16:21:8,0.00,-0.01,0.94
11:16:21:8,-0.01,-0.02,0.94
11:16:21:8,-0.02,-0.02,0.93
11:16:21:8,-0.02,-0.03,0.93
11:16:21:8,-0.04,-0.03,0.92
11:16:21:8,-0.06,-0.03,0.91
11:16:21:8,-0.07,-0.03,0.92
11:16:21:8,-0.08,-0.03,0.90
11:16:21:8,-0.09,-0.04,0.90
11:16:21:8,-0.09,-0.04,0.91
11:16:21:8,-0.09,-0.03,0.90
11:16:21:8,-0.10,-0.04,0.89
11:16:21:8,-0.09,-0.03,0.89
11:16:21:8,-0.09,-0.03,0.89
11:16:21:9,-0.09,-0.03,0.90
11:16:21:9,-0.08,-0.02,0.90
11:16:21:9,-0.07,-0.02,0.90
11:16:21:9,-0.07,-0.02,0.91
11:16:21:9,-0.06,-0.02,0.92
11:16:21:9,-0.05,-0.02,0.92
11:16:21:9,-0.05,-0.02,0.92
11:16:21:9,-0.03,-0.02,0.93
11:16:21:9,-0.03,-0.02,0.93
11:16:21:9,-0.03,-0.02,0.94
11:16:21:9,-0.03,-0.02,0.94
11:16:21:9,-0.03,-0.02,0.94
11:16:21:9,-0.04,-0.02,0.94
11:16:21:9,-0.04,-0.02,0.94
11:16:21:9,-0.05,-0.02,0.93
11:16:21:9,-0.05,-0.02,0.93
11:16:21:9,-0.06,-0.02,0.92
11:16:21:9,-0.06,-0.02,0.92
11:16:21:9,-0.07,-0.02,0.91
11:16:21:9,-0.06,-0.02,0.90
11:16:21:9,-0.07,-0.03,0.89
11:16:22:0,-0.07,-0.03,0.90
11:16:22:0,-0.07,-0.02,0.90
11:16:22:0,-0.07,-0.03,0.90
11:16:22:0,-0.07,-0.03,0.90
11:16:22:0,-0.07,-0.03,0.90
11:16:22:0,-0.06,-0.03,0.90
11:16:22:0,-0.06,-0.03,0.91
11:16:22:0,-0.06,-0.03,0.91
11:16:22:0,-0.06,-0.03,0.91
11:16:22:0,-0.05,-0.03,0.91
11:16:22:0,-0.05,-0.03,0.92
11:16:22:0,-0.05,-0.02,0.92
11:16:22:0,-0.05,-0.02,0.92
11:16:22:0,-0.05,-0.02,0.92
11:16:22:0,-0.05,-0.02,0.92
11:16:22:0,-0.05,-0.02,0.92
11:16:22:0,-0.04,-0.02,0.91
11:16:22:0,-0.05,-0.02,0.91
11:16:22:0,-0.04,-0.02,0.91
11:16:22:0,-0.04,-0.03,0.91
11:16:22:1,-0.04,-0.03,0.90
11:16:22:1,-0.04,-0.03,0.91
11:16:22:1,-0.04,-0.03,0.90
11:16:22:1,-0.04,-0.03,0.91
11:16:22:1,-0.04,-0.04,0.92
11:16:22:1,-0.04,-0.04,0.92
11:16:22:1,-0.05,-0.04,0.93
11:16:22:1,-0.05,-0.04,0.93
11:16:22:1,-0.06,-0.04,0.94
11:16:22:1,-0.06,-0.04,0.94
11:16:22:1,-0.06,-0.04,0.94
11:16:22:1,-0.06,-0.04,0.94
11:16:22:1,-0.06,-0.04,0.94
11:16:22:1,-0.07,-0.04,0.94
11:16:22:1,-0.07,-0.04,0.93
