Relative Time (to start of segment),aclx 1 - Value,aclx 1 - Is positive Peak,aclx 2 - Value,aclx 2 - Is positive Peak,acly 1 - Value,acly 1 - Is positive Peak,acly 2 - Value,acly 2 - Is positive Peak,aclz 1 - Value,aclz 1 - Is positive Peak,aclz 2 - Value,aclz 2 - Is positive Peak,gyrx 1 - Value,gyrx 1 - Is positive Peak,gyrx 2 - Value,gyrx 2 - Is positive Peak,gyry 1 - Value,gyry 1 - Is positive Peak,gyry 2 - Value,gyry 2 - Is positive Peak,gyrz 1 - Value,gyrz 1 - Is positive Peak,gyrz 2 - Value,gyrz 2 - Is positive Peak,magr 1 - Value,magr 1 - Is positive Peak,magr 2 - Value,magr 2 - Is positive Peak,magphi 1 - Value,magphi 1 - Is positive Peak,magphi 2 - Value,magphi 2 - Is positive Peak,magtheta 1 - Value,magtheta 1 - Is positive Peak,magtheta 2 - Value,magtheta 2 - Is positive Peak,
121762.400000,-0.090940,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121762.100000,,,,,0.069754,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121762.700000,,,,,,,,,-0.123800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
121763.000000,,,,,,,,,,,,,,,,,-0.061284,0,,,,,,,,,,,,,,,,,,,
121762.700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293412,1,,,,,,,
121762.700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068603,1,,,
121776.500000,,,-0.102906,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121776.500000,,,,,,,,,,,-0.120093,0,,,,,,,,,,,,,,,,,,,,,,,,,
121775.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294739,1,,,,,
121776.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067162,1,
