Time,Column,Value,Is Positive Peak
40425.900000,acly,0.095674,1
40425.900000,aclz,-0.019557,1
40425.900000,gyrx,0.001913,1
40425.900000,gyry,0.002909,1
40425.900000,gyrz,0.011452,1
40425.900000,magphi,-0.096717,0
40425.900000,magtheta,0.043646,0
40426.300000,aclx,-0.065846,0
40426.300000,aclz,-0.022415,0
40426.300000,magtheta,0.045209,1
40426.700000,acly,0.084373,0
40426.800000,gyrx,0.003776,1
40426.900000,gyry,-0.009243,0
40427.000000,acly,0.086917,1
40427.400000,aclz,0.011692,1
40427.500000,magtheta,0.016215,0
40427.600000,aclx,-0.034735,1
40427.600000,gyrz,-0.222423,0
40427.700000,gyrx,-0.051022,0
40427.700000,gyry,0.039054,1
40428.400000,acly,-0.088566,0
40428.400000,magphi,0.035721,1
40428.500000,aclx,-0.061184,0
40428.500000,aclz,-0.147490,0
40428.500000,magtheta,0.103821,1
40428.700000,gyrz,0.123726,1
40428.800000,gyrx,0.063852,1
40428.800000,gyrz,0.123726,1
40428.900000,magphi,0.026130,0
40429.200000,acly,-0.046954,1
40429.200000,gyry,-0.065293,0
40429.400000,aclz,0.006723,1
40429.500000,magtheta,-0.019209,0
40429.600000,gyrx,-0.023545,0
40429.900000,aclx,0.050041,1
40429.900000,acly,-0.090455,0
40429.900000,aclz,-0.012253,0
40429.900000,magphi,0.097074,1
40430.300000,aclz,-0.000888,1
40430.400000,gyrx,0.054072,1
40430.400000,gyrz,-0.064549,0
40430.500000,gyry,0.057911,1
40430.600000,gyrz,-0.064549,0
40431.100000,aclx,-0.088327,0
40431.100000,acly,0.100170,1
40431.100000,aclz,-0.064744,0
40431.100000,magphi,-0.104275,0
40431.100000,magtheta,0.072978,1
40431.500000,gyrx,-0.052730,0
40431.500000,gyry,-0.079227,0
40431.900000,gyrz,0.079507,1
40432.100000,acly,-0.048701,0
40432.100000,gyrx,0.016661,1
40432.100000,magphi,0.075158,1
40432.300000,aclx,0.075912,1
40432.600000,aclz,0.062820,1
40432.600000,magtheta,-0.071348,0
40432.700000,acly,0.001633,1
40432.800000,gyrx,-0.083001,0
40432.800000,magphi,0.014668,0
40433.000000,gyry,0.087874,1
40433.000000,gyrz,-0.047967,0
40433.500000,magphi,0.011630,0
40433.600000,aclx,-0.054737,0
40433.600000,acly,-0.050632,0
40433.600000,aclz,-0.094847,0
40433.600000,magtheta,0.076342,1
40433.900000,gyrz,0.072598,1
40434.000000,gyrx,0.083722,1
40434.200000,gyry,-0.054502,0
40434.400000,acly,-0.025146,1
40434.500000,aclz,0.033977,1
40434.700000,gyrx,-0.013766,0
40434.800000,aclx,0.065201,1
40434.800000,magtheta,-0.048428,0
40434.900000,acly,-0.054019,0
40434.900000,magphi,0.075678,1
40435.200000,gyry,0.088398,1
40435.300000,gyrx,0.061213,1
40435.300000,gyrz,-0.068003,0
40435.800000,acly,0.077568,1
40435.900000,aclx,-0.073999,0
40435.900000,aclz,-0.045448,0
40435.900000,magphi,-0.084259,0
40435.900000,magtheta,0.058957,1
40436.100000,gyry,-0.079960,0
40436.200000,gyrx,-0.051177,0
40436.300000,gyrz,0.067071,1
40436.800000,acly,-0.042592,0
40436.800000,magphi,0.059122,1
40436.900000,aclx,0.056474,1
40437.000000,gyrx,0.026440,1
40437.400000,aclz,0.062898,1
40437.400000,magtheta,-0.054939,0
40437.500000,acly,0.014032,1
40437.500000,magphi,-0.000016,0
40437.700000,gyry,0.050473,1
40437.800000,gyrx,-0.091694,0
40438.000000,gyrz,-0.024130,0
40438.500000,aclx,-0.053888,0
40438.500000,acly,-0.073006,0
40438.500000,aclz,-0.115723,0
40438.500000,magtheta,0.086358,1
40438.600000,magphi,0.028839,1
40439.000000,gyrx,0.098780,1
40439.100000,gyry,-0.051255,0
40439.100000,gyrz,0.042198,1
40439.200000,magphi,0.007082,0
40439.400000,acly,0.000244,1
40439.500000,aclz,0.054473,1
40439.600000,magtheta,-0.056546,0
40439.700000,gyrx,-0.024632,0
40439.900000,aclx,0.060427,1
40439.900000,acly,-0.037191,0
40439.900000,magphi,0.057916,1
40440.100000,gyry,0.062102,1
40440.200000,gyrz,-0.090458,0
40440.300000,gyrx,0.058109,1
40440.800000,acly,0.114155,1
40440.800000,magphi,-0.112501,0
40440.900000,aclx,-0.082478,0
40440.900000,aclz,-0.050996,0
40440.900000,magtheta,0.064503,1
40441.100000,gyry,-0.071474,0
40441.200000,gyrx,-0.062354,0
40441.200000,gyrz,0.064653,1
