Time,Column,Value,Is Positive Peak
40291.500000,aclx,-0.015119,1
40291.500000,gyry,-0.003268,0
40291.500000,gyrz,-0.003484,1
40291.500000,magtheta,0.008221,1
40291.600000,aclz,0.024596,0
40291.600000,magphi,-0.021275,1
40291.700000,aclx,-0.017906,0
40291.700000,aclz,0.027429,1
40291.700000,gyry,-0.000239,1
40291.700000,gyrz,-0.013632,0
40291.700000,magr,-0.018791,0
40291.700000,magphi,-0.022134,0
40291.700000,magtheta,0.006522,0
40291.800000,aclz,0.026020,0
40291.800000,gyry,-0.000845,0
40291.800000,gyrz,-0.010081,1
40291.800000,magr,0.015033,1
40291.900000,aclx,-0.016274,1
40291.900000,acly,-0.001002,0
40291.900000,aclz,0.028589,1
40291.900000,gyry,-0.000698,1
40291.900000,magphi,-0.017806,1
40291.900000,magtheta,0.008202,1
40292.000000,aclx,-0.017290,0
40292.000000,acly,0.000129,1
40292.000000,gyrx,0.000502,1
40292.000000,gyrz,-0.017982,0
40292.000000,magphi,-0.018165,0
40292.100000,gyry,-0.003268,0
40292.200000,aclz,0.026224,0
40292.300000,magtheta,0.003411,0
40292.400000,aclz,0.027871,1
40292.400000,gyrx,-0.005144,0
40292.500000,gyrx,-0.004379,1
40292.500000,gyry,-0.001707,1
40292.500000,magtheta,0.004271,1
40292.600000,acly,-0.003302,0
40292.600000,aclz,0.026325,0
40292.600000,gyrx,-0.004841,0
40292.600000,magphi,-0.010094,1
40292.700000,acly,-0.003076,1
40292.700000,gyrx,-0.004649,1
40292.700000,magr,0.000000,0
40292.700000,magphi,-0.010169,0
40292.800000,gyrx,-0.005031,0
40292.800000,gyry,-0.002827,0
40292.800000,magr,0.010022,1
40292.900000,magtheta,0.001008,0
40293.000000,aclz,0.029395,1
40293.000000,gyrx,-0.004328,1
40293.000000,gyry,-0.001842,1
40293.000000,magphi,-0.008906,1
40293.100000,aclz,0.027825,0
40293.100000,gyry,-0.006144,0
40293.100000,magtheta,0.002420,1
40293.200000,magphi,-0.009329,0
40293.200000,magtheta,0.001682,0
40293.300000,aclx,-0.010852,1
40293.300000,gyry,-0.001781,1
40293.300000,magphi,-0.008845,1
40293.400000,aclz,0.030584,1
40293.500000,aclx,-0.011785,0
40293.500000,magphi,-0.010297,0
40293.600000,gyry,-0.012276,0
40293.600000,gyrz,0.028947,1
40293.600000,magr,0.003106,0
40293.700000,magr,0.009798,1
40293.800000,gyrx,-0.026648,0
40293.800000,gyry,-0.008788,1
40294.000000,gyry,-0.013129,0
40294.100000,gyry,-0.011580,1
40294.200000,acly,-0.045063,0
40294.200000,gyrz,-0.007981,0
40294.200000,magtheta,0.036229,1
40294.300000,gyry,-0.012425,0
40294.400000,gyry,-0.009806,1
40294.600000,gyrx,0.004409,1
40294.600000,gyry,-0.010939,0
40294.700000,aclz,-0.016370,0
40294.800000,gyrx,0.003278,0
40294.800000,gyry,-0.009932,1
40294.800000,gyrz,-0.000114,1
40294.800000,magr,-0.000128,0
40294.800000,magphi,0.009030,1
40294.900000,aclz,-0.014358,1
40294.900000,gyrx,0.004061,1
40294.900000,gyry,-0.010080,0
40294.900000,gyrz,-0.000383,0
40295.000000,aclz,-0.014457,0
40295.000000,magphi,0.008836,0
40295.100000,gyrx,0.003127,0
40295.100000,gyry,-0.009422,1
40295.100000,gyrz,0.000243,1
40295.200000,gyry,-0.009543,0
40295.200000,magphi,0.010065,1
40295.300000,gyrz,-0.000759,0
40295.300000,magphi,0.010058,0
40295.400000,aclz,-0.013749,1
40295.400000,magr,-0.000096,1
40295.400000,magphi,0.010215,1
40295.600000,aclz,-0.015354,0
40295.600000,magr,-0.006766,0
40295.700000,aclx,0.023502,1
40295.700000,magr,-0.006458,1
40295.800000,aclz,-0.013811,1
40295.800000,gyry,0.000451,1
40295.800000,magr,-0.009581,0
40295.900000,aclx,0.022989,0
40295.900000,gyrz,0.003854,1
40296.000000,gyry,-0.003568,0
40296.100000,aclx,0.024195,1
40296.100000,aclz,-0.018087,0
40296.100000,gyrx,0.021527,1
40296.200000,aclz,-0.016997,1
40296.200000,magtheta,-0.005881,0
40296.300000,aclz,-0.017480,0
40296.300000,magr,-0.001920,1
40296.300000,magtheta,-0.005563,1
40296.400000,magr,-0.005249,0
40296.500000,gyry,0.013585,1
40296.500000,magtheta,-0.006412,0
40296.600000,gyrz,-0.023580,0
40296.600000,magtheta,-0.006148,1
40296.700000,gyry,0.010301,0
40296.700000,gyrz,-0.020706,1
40296.800000,gyry,0.010786,1
40296.800000,gyrz,-0.022921,0
40296.800000,magtheta,-0.006718,0
40296.900000,acly,0.022410,1
40296.900000,magtheta,-0.006603,1
40297.000000,gyry,0.009326,0
40297.100000,acly,0.022043,0
40297.100000,gyrx,-0.007157,0
40297.100000,gyrz,-0.019123,1
40297.200000,acly,0.022178,1
40297.200000,gyry,0.010276,1
40297.200000,gyrz,-0.019796,0
40297.200000,magtheta,-0.008126,0
40297.300000,gyrx,-0.005358,1
40297.300000,magr,-0.003454,1
40297.400000,gyry,0.009525,0
40297.500000,magr,-0.009825,0
40297.600000,magr,-0.009378,1
40297.700000,aclz,0.018125,1
40297.700000,gyry,0.012441,1
40297.700000,magr,-0.012368,0
40297.800000,gyrz,0.001408,1
40297.900000,magphi,-0.031443,0
40298.000000,gyrx,-0.028488,0
40298.300000,aclx,-0.020201,0
40298.300000,magr,-0.009356,1
40298.400000,gyrz,-0.017766,0
40298.500000,magr,-0.015203,0
40298.600000,magr,-0.014512,1
40298.700000,gyrx,-0.001104,1
40298.700000,gyry,-0.007572,0
40298.700000,magr,-0.017269,0
40298.700000,magtheta,0.041898,1
40298.800000,gyry,-0.007026,1
40298.900000,aclz,-0.024676,0
40298.900000,gyrx,-0.002205,0
40298.900000,gyry,-0.007656,0
40299.000000,aclz,-0.024616,1
40299.100000,aclz,-0.024852,0
40299.100000,gyrx,-0.000540,1
40299.200000,gyrx,-0.000707,0
40299.200000,gyry,-0.005611,1
40299.300000,aclz,-0.023304,1
40299.300000,gyrx,-0.000023,1
40299.300000,gyry,-0.005654,0
40299.400000,aclz,-0.023312,0
40299.400000,gyrz,-0.005985,1
40299.500000,gyrx,-0.001667,0
40299.600000,aclz,-0.019824,1
40299.600000,gyry,-0.003006,1
40299.700000,gyrx,0.000495,1
40299.700000,gyry,-0.003669,0
40299.800000,acly,-0.035411,0
40299.800000,aclz,-0.021728,0
40299.800000,gyrx,-0.000187,0
40299.900000,aclx,0.002018,1
40299.900000,aclz,-0.021567,1
40299.900000,gyrz,-0.006965,0
40299.900000,magr,-0.009881,1
40300.000000,magphi,0.004907,1
40300.000000,magtheta,0.029313,0
40300.100000,aclz,-0.026892,0
40300.100000,magr,-0.015681,0
40300.100000,magtheta,0.029702,1
40300.200000,aclz,-0.026146,1
40300.200000,gyry,0.003651,1
40300.200000,magtheta,0.028901,0
40300.300000,aclx,-0.000543,0
40300.300000,magtheta,0.029199,1
40300.400000,aclx,-0.000443,1
40300.400000,gyry,0.000929,0
40300.400000,gyrz,0.004211,1
40300.400000,magtheta,0.028662,0
40300.600000,aclz,-0.032556,0
40300.600000,gyry,0.013832,1
40300.700000,gyrx,0.019134,1
40300.700000,magtheta,0.030201,1
40300.800000,gyry,0.009024,0
40301.000000,gyry,0.012190,1
40301.100000,gyry,0.010436,0
40301.200000,gyrz,-0.011895,0
40301.200000,magtheta,0.024527,0
40301.300000,acly,0.003265,1
40301.300000,gyry,0.012291,1
40301.400000,gyrx,-0.001063,0
40301.400000,gyry,0.010082,0
40301.400000,magr,-0.008565,1
40301.500000,gyrx,-0.000644,1
40301.500000,gyry,0.010526,1
40301.600000,gyrx,-0.001930,0
40301.600000,gyry,0.009499,0
40301.700000,aclz,-0.002344,1
40301.700000,gyry,0.009569,1
40301.700000,magr,-0.017240,0
40301.800000,aclz,-0.002483,0
40301.800000,gyrx,-0.001672,1
40301.900000,magr,-0.008876,1
40302.000000,gyrx,-0.002353,0
40302.100000,magr,-0.014765,0
40302.100000,magtheta,0.026993,1
40302.200000,gyrx,-0.000419,1
40302.200000,magtheta,0.026627,0
40302.300000,magr,-0.013453,1
40302.400000,aclx,-0.032207,0
40302.400000,gyrz,0.004336,1
40302.400000,magr,-0.016258,0
40302.400000,magphi,-0.031851,0
40302.400000,magtheta,0.027395,1
40302.500000,aclx,-0.031690,1
40302.500000,aclz,0.008625,1
40302.500000,gyry,-0.002228,0
