Time,Column,Value,Is Positive Peak
40122.500000,acly,-0.012021,1
40122.500000,gyrx,-0.002493,1
40122.500000,gyry,0.006730,1
40122.500000,gyrz,-0.021460,0
40122.600000,acly,-0.013310,0
40122.600000,gyrx,-0.002645,0
40122.600000,magr,-0.045049,0
40122.600000,magphi,-0.081188,1
40122.700000,aclx,-0.067916,0
40122.700000,acly,-0.013093,1
40122.700000,aclz,-0.005210,0
40122.700000,magphi,-0.082438,0
40122.700000,magtheta,0.064050,1
40122.800000,aclx,-0.067547,1
40122.800000,aclz,-0.002749,1
40122.800000,magphi,-0.082163,1
40122.800000,magtheta,0.062915,0
40122.900000,aclx,-0.067761,0
40122.900000,gyry,0.002886,0
40122.900000,magphi,-0.082432,0
40123.000000,aclz,-0.005312,0
40123.000000,gyry,0.003069,1
40123.000000,magtheta,0.063755,1
40123.100000,aclx,-0.066899,1
40123.100000,acly,-0.014047,0
40123.100000,aclz,-0.004629,1
40123.100000,magr,0.000000,1
40123.100000,magphi,-0.081026,1
40123.100000,magtheta,0.063556,0
40123.200000,magr,-0.007508,0
40123.300000,acly,-0.013657,1
40123.300000,magphi,-0.081936,0
40123.400000,aclx,-0.068025,0
40123.400000,gyry,0.001953,0
40123.500000,acly,-0.014022,0
40123.500000,aclz,-0.010548,0
40123.500000,gyry,0.002352,1
40123.500000,magphi,-0.081363,1
40123.500000,magtheta,0.064764,1
40123.600000,aclx,-0.067152,1
40123.600000,aclz,-0.009485,1
40123.600000,gyrx,0.000711,1
40123.600000,magtheta,0.064180,0
40123.700000,gyry,0.002062,0
40123.700000,magphi,-0.081858,0
40123.800000,aclz,-0.010746,0
40123.800000,gyry,0.002373,1
40123.800000,magphi,-0.081834,1
40123.800000,magtheta,0.064581,1
40123.900000,aclx,-0.068050,0
40124.000000,aclx,-0.068044,1
40124.000000,gyrx,0.000603,0
40124.000000,gyrz,0.004863,1
40124.000000,magtheta,0.064301,0
40124.100000,aclz,-0.010166,1
40124.100000,gyrz,0.004722,0
40124.200000,aclx,-0.068348,0
40124.200000,aclz,-0.010432,0
40124.200000,gyry,0.001941,0
40124.200000,gyrz,0.004823,1
40124.200000,magtheta,0.064554,1
40124.300000,aclx,-0.068303,1
40124.300000,gyrx,0.000665,1
40124.300000,gyry,0.001988,1
40124.400000,aclz,-0.009494,1
40124.400000,gyrx,0.000580,0
40124.400000,magr,0.003218,1
40124.400000,magtheta,0.064151,0
40124.500000,gyrx,0.000586,1
40124.500000,gyry,0.001779,0
40124.500000,gyrz,0.004678,0
40124.600000,gyry,0.001887,1
40124.600000,magphi,-0.083996,0
40124.700000,acly,-0.012181,1
40124.700000,gyrz,0.005237,1
40124.700000,magtheta,0.064540,1
40124.800000,gyry,0.001581,0
40124.800000,gyrz,0.005203,0
40124.800000,magr,0.002671,0
40124.800000,magtheta,0.064529,0
40124.900000,aclx,-0.068733,0
40124.900000,acly,-0.012382,0
40124.900000,aclz,-0.010477,0
40124.900000,gyrx,0.000334,0
40124.900000,gyry,0.001582,1
40124.900000,gyrz,0.005268,1
40124.900000,magr,0.008693,1
40124.900000,magphi,-0.083755,1
40124.900000,magtheta,0.064609,1
40125.000000,aclx,-0.068567,1
40125.000000,acly,-0.012270,1
40125.000000,aclz,-0.010191,1
40125.000000,gyrx,0.000393,1
40125.000000,gyrz,0.005232,0
40125.000000,magtheta,0.064487,0
40125.100000,acly,-0.012278,0
40125.100000,aclz,-0.010658,0
40125.200000,aclx,-0.068789,0
40125.200000,acly,-0.012210,1
40125.200000,gyrx,0.000298,0
40125.200000,gyrz,0.005746,1
40125.200000,magtheta,0.064711,1
40125.300000,aclx,-0.068622,1
40125.300000,acly,-0.012229,0
40125.300000,gyry,0.000989,0
40125.300000,magphi,-0.084161,0
40125.400000,acly,-0.012208,1
40125.400000,aclz,-0.009901,1
40125.400000,magtheta,0.064363,0
40125.500000,aclx,-0.068797,0
40125.500000,acly,-0.012303,0
40125.500000,aclz,-0.010154,0
40125.500000,gyry,0.001269,1
40125.500000,magphi,-0.083872,1
40125.500000,magtheta,0.064526,1
40125.600000,aclx,-0.068626,1
40125.600000,aclz,-0.009776,1
40125.600000,gyrx,0.000726,1
40125.600000,gyrz,0.004811,0
40125.600000,magtheta,0.064357,0
40125.700000,aclx,-0.068786,0
40125.700000,acly,-0.011901,1
40125.700000,magphi,-0.084465,0
40125.800000,aclx,-0.068772,1
40125.800000,acly,-0.012096,0
40125.800000,gyrz,0.005260,1
40125.800000,magphi,-0.084181,1
40125.900000,aclz,-0.010128,0
40125.900000,gyrx,0.000522,0
40125.900000,gyry,0.001050,0
40125.900000,magtheta,0.064873,1
40126.000000,aclx,-0.069003,0
40126.000000,gyry,0.001250,1
40126.000000,gyrz,0.004418,0
40126.000000,magphi,-0.084646,0
40126.100000,magr,-0.002373,0
40126.200000,gyrx,0.000669,1
40126.200000,magphi,-0.084638,1
40126.300000,gyry,0.000517,0
40126.300000,gyrz,0.004895,1
