time,ax,ay,az,gx,gy,gz,mx,my,mz,
40122.4,0.09,-0.01,0.93,-0.07,-0.00,-0.09,24.08,13.70,-30.52,
40122.5,0.03,0.01,0.92,-0.00,0.10,-0.17,24.75,14.37,-30.85,
40122.6,0.04,-0.01,0.92,-0.04,-0.01,-0.05,25.42,14.96,-30.17,
40122.7,0.03,-0.01,0.93,-0.01,0.01,0.01,25.43,13.69,-29.84,
40122.8,0.04,-0.01,0.93,0.01,0.01,0.04,23.55,13.86,-30.35,
40122.9,0.05,-0.01,0.93,-0.00,0.01,0.03,26.46,14.72,-31.52,
40123.0,0.06,-0.01,0.91,-0.01,0.03,0.01,25.09,15.40,-30.52,
40123.1,0.06,-0.01,0.93,-0.00,-0.00,-0.02,24.40,14.72,-30.52,
40123.2,0.04,-0.01,0.91,-0.00,-0.02,-0.02,25.71,13.67,-29.78,
40123.3,0.04,0.00,0.92,0.00,0.00,-0.02,26.12,14.37,-30.52,
40123.4,0.04,-0.00,0.92,-0.00,0.01,0.01,25.60,15.23,-31.02,
40123.5,0.06,-0.02,0.87,0.10,0.05,0.06,25.13,14.84,-30.05,
40123.6,0.08,-0.01,0.92,0.02,-0.00,0.02,23.55,13.86,-30.68,
40123.7,0.04,0.00,0.91,0.00,-0.00,0.01,25.36,13.26,-29.34,
40123.8,0.04,0.01,0.91,0.00,0.05,0.01,24.23,13.86,-29.01,
40123.9,0.03,0.00,0.91,-0.00,0.00,0.02,25.09,12.32,-30.18,
40124.0,0.04,-0.00,0.92,-0.02,0.01,0.01,24.43,13.96,-30.52,
40124.1,0.05,-0.00,0.93,0.01,-0.00,-0.02,25.43,13.35,-29.51,
40124.2,0.04,-0.00,0.91,-0.00,-0.01,-0.00,25.49,13.52,-30.36,
40124.3,0.04,-0.00,0.92,-0.00,0.02,-0.02,24.06,12.66,-30.85,
40124.4,0.05,0.00,0.92,-0.02,-0.01,-0.01,25.77,13.69,-31.19,
40124.5,0.03,-0.00,0.92,-0.00,0.00,-0.01,24.87,13.67,-29.77,
40124.6,0.05,0.01,0.92,-0.01,0.03,0.02,25.43,13.35,-29.51,
40124.7,0.05,0.00,0.91,-0.02,-0.03,0.02,25.16,13.93,-29.48,
40124.8,0.04,-0.01,0.91,-0.03,0.00,-0.01,25.09,14.37,-30.52,
40124.9,0.04,-0.01,0.92,-0.01,0.01,-0.00,24.40,14.03,-29.17,
40125.0,0.06,0.01,0.92,0.01,-0.02,-0.01,24.37,13.67,-30.18,
40125.1,0.04,-0.01,0.91,-0.01,-0.02,0.01,25.98,13.91,-30.19,
40125.2,0.05,-0.01,0.92,-0.02,-0.01,0.03,24.40,12.66,-28.84,
40125.3,0.06,-0.01,0.93,0.01,-0.02,-0.02,24.23,13.52,-30.01,
40125.4,0.03,-0.00,0.91,0.02,0.04,-0.06,23.92,13.73,-30.31,
40125.5,0.03,0.00,0.92,0.02,0.02,-0.03,24.46,14.31,-28.89,
40125.6,0.06,0.01,0.92,0.04,-0.00,-0.01,24.38,13.32,-30.38,
40125.7,0.04,0.00,0.91,-0.00,-0.00,0.02,25.60,12.49,-30.35,
40125.8,0.05,-0.01,0.93,-0.03,-0.00,0.01,24.32,14.38,-28.74,
40125.9,0.05,0.00,0.93,-0.02,-0.01,-0.04,26.46,13.35,-29.51,
40126.0,0.04,0.01,0.91,0.00,0.04,-0.06,24.26,12.87,-29.73,
40126.1,0.05,0.02,0.93,0.01,-0.04,-0.00,24.45,13.56,-29.68,
40126.2,0.07,0.01,0.91,0.02,-0.03,0.02,24.23,13.86,-32.36,
40126.3,0.06,0.01,0.92,-0.03,-0.04,0.00,25.56,13.56,-30.87,
40126.4,0.06,0.02,0.91,-0.01,0.01,-0.02,23.72,13.35,-30.52,
40126.5,0.06,0.01,0.92,-0.03,-0.01,-0.00,24.92,14.89,-30.35,
40126.6,0.06,-0.00,0.92,-0.02,0.02,-0.01,25.19,13.79,-29.87,
40126.7,0.05,0.00,0.92,-0.01,0.04,-0.01,24.23,14.20,-31.02,
40126.8,0.04,0.01,0.92,0.02,0.01,0.00,24.44,14.54,-31.01,
40126.9,0.04,-0.01,0.92,0.02,0.00,0.03,24.58,14.52,-30.67,
40127.0,0.07,0.02,0.89,0.04,0.01,-0.01,25.09,12.32,-29.51,
40127.1,0.08,0.01,0.91,-0.03,0.02,0.04,24.40,13.01,-30.18,
40127.2,0.05,0.01,0.93,-0.02,0.01,0.00,23.89,14.20,-29.68,
40127.3,0.05,0.01,0.92,0.01,-0.01,0.02,25.60,14.20,-30.35,
40127.4,0.06,0.00,0.91,0.01,0.03,0.00,25.26,14.21,-31.62,
40127.5,0.06,0.01,0.90,-0.03,0.06,-0.00,24.92,13.86,-31.02,
40127.6,0.06,0.01,0.92,-0.06,0.03,-0.07,25.53,14.18,-30.18,
40127.7,0.10,0.01,0.91,-0.12,0.07,-0.16,24.61,14.43,-30.22,
40127.8,0.08,-0.03,0.94,-0.00,0.21,-0.29,24.40,13.69,-29.51,
40127.9,-0.01,-0.04,0.95,-0.07,-0.09,-0.30,25.30,14.84,-28.13,
40128.0,0.04,-0.03,0.95,0.07,-0.20,-0.28,24.10,14.41,-28.05,
40128.1,0.02,-0.04,0.91,0.11,0.01,-0.33,23.03,15.74,-28.17,
40128.2,0.01,-0.05,0.88,-0.04,-0.05,-0.34,24.02,14.76,-28.28,
40128.3,0.07,-0.06,0.89,-0.01,-0.21,-0.31,24.60,15.73,-29.39,
40128.4,0.04,-0.07,0.91,0.04,-0.10,-0.15,22.90,15.44,-28.44,
40128.5,-0.01,-0.04,0.85,0.05,0.10,0.09,23.48,14.00,-30.55,
40128.6,0.07,0.15,0.80,-0.15,-0.45,0.20,24.40,13.01,-31.19,
40128.7,0.06,0.07,0.90,-0.19,-0.13,-0.09,23.44,11.51,-30.32,
40128.8,0.09,0.03,0.93,-0.20,-0.14,-0.19,21.84,13.18,-30.69,
40128.9,0.13,0.06,0.97,-0.08,-0.15,-0.61,20.30,13.69,-30.18,
40129.0,0.05,0.13,0.97,0.03,0.21,-0.91,21.68,13.93,-30.64,
40129.1,0.01,0.13,0.88,0.24,-0.11,-1.11,20.47,16.26,-31.69,
40129.2,-0.00,0.05,0.83,0.17,-0.36,-1.32,19.44,16.60,-31.35,
40129.3,0.09,-0.03,0.94,-0.55,0.27,-1.62,14.38,19.61,-30.44,
40129.4,0.07,-0.02,0.91,-0.42,0.40,-1.04,13.11,22.24,-30.18,
40129.5,0.14,-0.01,0.93,-0.38,0.02,-0.81,12.89,23.25,-29.05,
40129.6,0.08,0.03,0.93,-0.20,0.12,-0.72,10.54,25.15,-29.75,
40129.7,0.03,0.02,0.97,-0.05,-0.05,-0.48,11.06,26.35,-29.17,
40129.8,0.03,0.03,0.92,0.04,-0.08,-0.22,9.53,27.86,-28.68,
40129.9,0.04,0.01,0.91,0.08,-0.10,-0.06,9.18,25.84,-29.01,
40130.0,0.04,0.00,0.95,0.06,-0.09,0.03,10.03,26.35,-30.18,
40130.1,-0.07,0.04,0.92,0.27,0.14,0.04,8.43,25.53,-28.93,
40130.2,-0.05,0.08,0.88,0.26,0.01,0.08,10.72,23.95,-29.84,
40130.3,-0.07,0.02,0.87,-0.03,0.03,-0.10,8.31,22.98,-30.17,
40130.4,-0.02,0.01,0.94,-0.17,-0.20,-0.24,8.66,23.92,-30.65,
40130.5,-0.04,0.01,0.86,-0.11,0.11,-0.50,7.30,23.61,-29.84,
40130.6,0.04,0.06,0.91,-0.15,-0.03,-0.17,5.99,25.41,-30.70,
40130.7,0.08,0.04,0.96,-0.15,-0.00,-0.20,6.30,25.83,-28.91,
40130.8,0.06,0.02,0.95,-0.02,0.15,-0.05,5.41,27.55,-29.34,
40130.9,0.03,0.02,0.94,-0.03,-0.03,-0.11,5.49,26.66,-29.34,
40131.0,-0.01,-0.00,0.92,-0.03,-0.02,-0.11,3.53,26.69,-29.17,
40131.1,-0.02,0.00,0.91,-0.05,-0.06,-0.03,4.07,25.87,-29.11,
40131.2,0.01,0.04,0.92,-0.03,0.02,0.09,4.56,27.69,-28.86,
40131.3,-0.01,0.01,0.95,0.03,-0.15,0.08,5.75,25.50,-29.68,
40131.4,0.04,0.04,0.93,0.07,-0.05,0.14,4.37,26.45,-29.41,
40131.5,0.03,0.03,0.98,0.14,0.04,0.12,4.56,26.01,-30.18,
40131.6,0.03,0.08,1.05,0.22,0.18,0.17,4.99,25.04,-29.88,
40131.7,-0.02,0.13,1.11,0.47,0.13,0.32,6.43,24.51,-29.35,
40131.8,-0.03,0.20,1.00,0.63,-0.35,0.55,5.75,23.10,-28.67,
40131.9,0.04,0.26,1.00,0.66,-0.86,0.45,5.91,21.20,-29.58,
40132.0,0.16,0.26,0.89,0.74,-0.66,0.28,5.59,20.20,-29.83,
40132.1,0.31,0.26,0.85,0.61,0.11,-0.31,1.65,20.70,-28.34,
40132.2,0.11,0.27,0.79,0.50,0.72,-0.49,5.32,19.70,-31.07,
40132.3,0.03,0.33,0.71,0.54,-0.38,-0.25,6.78,17.28,-32.36,
40132.4,0.06,0.40,0.66,0.31,-1.20,-0.14,2.85,17.45,-35.21,
40132.5,0.26,0.45,0.66,-0.14,0.23,-0.18,0.02,16.54,-34.39,
40132.6,0.14,0.38,0.65,-0.12,0.42,-0.06,1.14,14.72,-35.21,
40132.7,0.18,0.43,0.75,-0.14,-0.06,-0.03,0.42,14.75,-34.76,
40132.8,0.24,0.37,0.79,0.04,0.22,0.00,0.20,16.49,-33.82,
