Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,
0.000000,0.525304,,,,,,1.216274,,,,,,-1.096690,,,,,,-0.238103,,,,,,0.659339,,,,,,0.609094,,,,,,0.000000,,,,,,-0.652883,,,,,,-0.785983,,,,,,
0.100000,0.448702,,,,,,1.121011,,,,,,-0.972349,,,,,,-0.690406,,,,,,0.951745,,,,,,0.176653,,,,,,0.000000,,,,,,-0.625807,,,,,,-0.712533,,,,,,
0.200000,0.343811,,,,,,0.956885,,,,,,-0.726707,,,,,,-1.158636,,,,,,1.179172,,,,,,-0.174196,,,,,,0.000000,,,,,,-0.495417,,,,,,-0.609022,,,,,,
0.300000,0.145733,,,,,,0.675007,,,,,,-0.627088,,,,,,-1.626866,,,,,,1.038384,,,,,,-0.370019,,,,,,0.000000,,,,,,-0.319203,,,,,,-0.396834,,,,,,
0.400000,0.042707,,,,,,0.265680,,,,,,0.009007,,,,,,-2.181097,,,,,,0.957160,,,,,,-0.810620,,,,,,0.000000,,,,,,-0.042787,,,,,,-0.184619,,,,,,
0.500000,-0.031260,,,,,,-0.243260,,,,,,0.736788,,,,,,-2.528288,,,,,,0.978820,,,,,,-1.145150,,,,,,0.000000,,,,,,0.302229,,,,,,0.042964,,,,,,
0.600000,-0.073041,,,,,,-0.809046,,,,,,1.078894,,,,,,-2.639771,,,,,,1.011309,,,,,,-0.949328,,,,,,0.000000,,,,,,0.734053,,,,,,0.296852,,,,,,
0.700000,-0.093695,,,,,,-1.313870,,,,,,0.857954,,,,,,-2.515547,,,,,,0.940915,,,,,,-0.810620,,,,,,0.000000,,,,,,1.122453,,,,,,0.550600,,,,,,
0.800000,-0.151708,,,,,,-1.793258,,,,,,0.369578,,,,,,-2.292580,,,,,,1.119608,,,,,,-0.729027,,,,,,0.000000,,,,,,1.466804,,,,,,0.831424,,,,,,
0.900000,-0.273032,,,,,,-2.208479,,,,,,-0.147212,,,,,,-1.977242,,,,,,1.049214,,,,,,-0.574001,,,,,,0.000000,,,,,,1.739932,,,,,,1.117106,,,,,,
1.000000,-0.347252,,,,,,-2.530517,,,,,,-0.431347,,,,,,-1.537679,,,,,,0.675584,,,,,,-0.402656,,,,,,0.000000,,,,,,1.895974,,,,,,1.385216,,,,,,
1.100000,-0.393458,,,,,,-2.759051,,,,,,-0.440451,,,,,,-0.986633,,,,,,0.551041,,,,,,-0.272108,,,,,,0.000000,,,,,,2.026300,,,,,,1.568655,,,,,,
1.200000,-0.466196,,,,,,-2.874620,,,,,,-0.681795,,,,,,-0.279511,,,,,,0.431912,,,,,,0.095060,,,,,,0.000000,,,,,,2.089155,,,,,,1.677796,,,,,,
1.300000,-0.496959,,,,,,-2.854480,,,,,,-0.880104,,,,,,0.398945,,,,,,-0.022941,,,,,,0.445909,,,,,,0.000000,,,,,,2.090287,,,,,,1.705298,,,,,,
1.400000,-0.545090,,,,,,-2.735169,,,,,,-0.800582,,,,,,0.994584,,,,,,-0.396571,,,,,,0.715165,,,,,,0.000000,,,,,,2.004184,,,,,,1.664004,,,,,,
1.500000,-0.586927,,,,,,-2.528268,,,,,,-0.805833,,,,,,1.450073,,,,,,-0.651072,,,,,,0.992581,,,,,,0.000000,,,,,,1.864730,,,,,,1.593933,,,,,,
1.600000,-0.548637,,,,,,-2.258022,,,,,,-0.699748,,,,,,1.752670,,,,,,-0.954308,,,,,,1.245518,,,,,,0.000000,,,,,,1.742930,,,,,,1.459592,,,,,,
1.700000,-0.408482,,,,,,-1.950151,,,,,,-0.648122,,,,,,2.023415,,,,,,-1.430822,,,,,,1.229200,,,,,,0.000000,,,,,,1.625258,,,,,,1.305436,,,,,,
1.800000,-0.274533,,,,,,-1.607885,,,,,,-0.531638,,,,,,2.179492,,,,,,-1.577024,,,,,,0.984421,,,,,,0.000000,,,,,,1.457382,,,,,,1.060306,,,,,,
1.900000,-0.156002,,,,,,-1.249709,,,,,,-0.507370,,,,,,2.224085,,,,,,-1.463311,,,,,,0.690687,,,,,,0.000000,,,,,,1.276212,,,,,,0.783630,,,,,,
2.000000,-0.040808,,,,,,-0.851402,,,,,,-1.027536,,,,,,2.109417,,,,,,-1.398332,,,,,,0.372475,,,,,,0.000000,,,,,,1.087654,,,,,,0.546791,,,,,,
2.100000,0.110251,,,,,,-0.461467,,,,,,-1.481750,,,,,,1.816375,,,,,,-1.311693,,,,,,0.192971,,,,,,0.000000,,,,,,0.864695,,,,,,0.280355,,,,,,
2.200000,0.305585,,,,,,-0.147396,,,,,,-1.639033,,,,,,1.421406,,,,,,-1.116756,,,,,,-0.076285,,,,,,0.000000,,,,,,0.717226,,,,,,0.026195,,,,,,
2.300000,0.490931,,,,,,0.091607,,,,,,-1.420746,,,,,,1.102882,,,,,,-1.035532,,,,,,-0.329223,,,,,,0.000000,,,,,,0.607074,,,,,,-0.217690,,,,,,
2.400000,0.673232,,,,,,0.299891,,,,,,-1.013351,,,,,,0.892656,,,,,,-0.808105,,,,,,-0.614797,,,,,,0.000000,,,,,,0.491353,,,,,,-0.436433,,,,,,
0.000000,,1.062336,,,,,,1.311841,,,,,,-0.961062,,,,,,0.137755,,,,,,-0.299102,,,,,,1.408704,,,,,,0.000000,,,,,,-0.693240,,,,,,-1.169153,,,,,
0.100000,,1.136226,,,,,,1.296542,,,,,,-1.365408,,,,,,-0.234917,,,,,,0.388593,,,,,,1.318952,,,,,,0.000000,,,,,,-0.639880,,,,,,-1.131203,,,,,
0.200000,,1.084681,,,,,,1.226803,,,,,,-1.537453,,,,,,-0.559811,,,,,,1.000479,,,,,,0.837554,,,,,,0.000000,,,,,,-0.566133,,,,,,-1.035882,,,,,
0.300000,,0.782414,,,,,,1.051210,,,,,,-1.524553,,,,,,-0.865594,,,,,,0.924670,,,,,,0.454068,,,,,,0.000000,,,,,,-0.496740,,,,,,-0.858172,,,,,
