Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,
0.000000,1.598400,,,,,,1.665235,,,,,,-0.795945,,,,,,-0.083949,,,,,,0.661298,,,,,,0.831333,,,,,,0.000000,,,,,,-1.836255,,,,,,-1.618439,,,,,,
0.033333,1.393423,,,,,,1.595604,,,,,,-0.617817,,,,,,-0.342872,,,,,,0.943904,,,,,,0.221413,,,,,,0.000000,,,,,,-1.806226,,,,,,-1.531549,,,,,,
0.066667,1.112747,,,,,,1.475641,,,,,,-0.265913,,,,,,-0.610912,,,,,,1.163709,,,,,,-0.273428,,,,,,0.000000,,,,,,-1.661614,,,,,,-1.409098,,,,,,
0.100000,0.582713,,,,,,1.269610,,,,,,-0.123201,,,,,,-0.878952,,,,,,1.027639,,,,,,-0.549619,,,,,,0.000000,,,,,,-1.466182,,,,,,-1.158083,,,,,,
0.133333,0.307030,,,,,,0.970423,,,,,,0.788059,,,,,,-1.196224,,,,,,0.949138,,,,,,-1.171047,,,,,,0.000000,,,,,,-1.159617,,,,,,-0.907038,,,,,,
0.166667,0.109104,,,,,,0.598427,,,,,,1.830668,,,,,,-1.394975,,,,,,0.970071,,,,,,-1.642872,,,,,,0.000000,,,,,,-0.776972,,,,,,-0.637813,,,,,,
0.200000,-0.002698,,,,,,0.184881,,,,,,2.320765,,,,,,-1.458794,,,,,,1.001472,,,,,,-1.366681,,,,,,0.000000,,,,,,-0.298049,,,,,,-0.337468,,,,,,
0.233333,-0.057964,,,,,,-0.184106,,,,,,2.004250,,,,,,-1.387681,,,,,,0.933437,,,,,,-1.171047,,,,,,0.000000,,,,,,0.132713,,,,,,-0.037290,,,,,,
0.266667,-0.213199,,,,,,-0.534502,,,,,,1.304609,,,,,,-1.260043,,,,,,1.106141,,,,,,-1.055967,,,,,,0.000000,,,,,,0.514621,,,,,,0.294920,,,,,,
0.300000,-0.537849,,,,,,-0.837997,,,,,,0.564263,,,,,,-1.079527,,,,,,1.038106,,,,,,-0.837317,,,,,,0.000000,,,,,,0.817539,,,,,,0.632876,,,,,,
0.333333,-0.736453,,,,,,-1.073382,,,,,,0.157215,,,,,,-0.827897,,,,,,0.676999,,,,,,-0.595650,,,,,,0.000000,,,,,,0.990600,,,,,,0.950044,,,,,,
0.366667,-0.860094,,,,,,-1.240423,,,,,,0.144172,,,,,,-0.512449,,,,,,0.556629,,,,,,-0.411523,,,,,,0.000000,,,,,,1.135140,,,,,,1.167049,,,,,,
0.400000,-1.054731,,,,,,-1.324895,,,,,,-0.201573,,,,,,-0.107654,,,,,,0.441493,,,,,,0.106333,,,,,,0.000000,,,,,,1.204850,,,,,,1.296160,,,,,,
0.433333,-1.137048,,,,,,-1.310174,,,,,,-0.485668,,,,,,0.280731,,,,,,0.001884,,,,,,0.601174,,,,,,0.000000,,,,,,1.206106,,,,,,1.328694,,,,,,
0.466667,-1.265843,,,,,,-1.222967,,,,,,-0.371745,,,,,,0.621707,,,,,,-0.359224,,,,,,0.980936,,,,,,0.000000,,,,,,1.110612,,,,,,1.279844,,,,,,
0.500000,-1.377792,,,,,,-1.071738,,,,,,-0.379268,,,,,,0.882453,,,,,,-0.605196,,,,,,1.372205,,,,,,0.000000,,,,,,0.955948,,,,,,1.196952,,,,,,
0.555556,-1.275334,,,,,,-0.874209,,,,,,-0.227292,,,,,,1.055676,,,,,,-0.898269,,,,,,1.728951,,,,,,0.000000,,,,,,0.820864,,,,,,1.038030,,,,,,
0.611111,-0.900296,,,,,,-0.649179,,,,,,-0.153333,,,,,,1.210666,,,,,,-1.358812,,,,,,1.705935,,,,,,0.000000,,,,,,0.690358,,,,,,0.855666,,,,,,
0.666667,-0.541865,,,,,,-0.399009,,,,,,0.013539,,,,,,1.300012,,,,,,-1.500115,,,,,,1.360697,,,,,,0.000000,,,,,,0.504172,,,,,,0.565682,,,,,,
0.722222,-0.224691,,,,,,-0.137210,,,,,,0.048306,,,,,,1.325540,,,,,,-1.390212,,,,,,0.946412,,,,,,0.000000,,,,,,0.303242,,,,,,0.238380,,,,,,
0.777778,0.083554,,,,,,0.153922,,,,,,-0.696876,,,,,,1.259897,,,,,,-1.327411,,,,,,0.497603,,,,,,0.000000,,,,,,0.094119,,,,,,-0.041795,,,,,,
0.833333,0.487769,,,,,,0.438934,,,,,,-1.347578,,,,,,1.092145,,,,,,-1.243676,,,,,,0.244428,,,,,,0.000000,,,,,,-0.153159,,,,,,-0.356984,,,,,,
0.888889,1.010459,,,,,,0.668496,,,,,,-1.572899,,,,,,0.866043,,,,,,-1.055272,,,,,,-0.135333,,,,,,0.000000,,,,,,-0.316712,,,,,,-0.657649,,,,,,
0.944444,1.506422,,,,,,0.843189,,,,,,-1.260184,,,,,,0.683703,,,,,,-0.976770,,,,,,-0.492079,,,,,,0.000000,,,,,,-0.438878,,,,,,-0.946160,,,,,,
1.000000,1.994237,,,,,,0.995429,,,,,,-0.676555,,,,,,0.563358,,,,,,-0.756966,,,,,,-0.894856,,,,,,0.000000,,,,,,-0.567220,,,,,,-1.204929,,,,,,
0.000000,,1.482944,,,,,,1.545345,,,,,,-0.653681,,,,,,0.145743,,,,,,-0.203268,,,,,,2.767622,,,,,,0.000000,,,,,,-1.828534,,,,,,-1.568283,,,,,
0.033333,,1.638780,,,,,,1.533973,,,,,,-1.231064,,,,,,-0.104495,,,,,,0.386309,,,,,,2.590806,,,,,,0.000000,,,,,,-1.768363,,,,,,-1.526832,,,,,
0.066667,,1.530071,,,,,,1.482131,,,,,,-1.476735,,,,,,-0.322651,,,,,,0.910892,,,,,,1.642432,,,,,,0.000000,,,,,,-1.685205,,,,,,-1.422719,,,,,
0.100000,,0.892581,,,,,,1.351601,,,,,,-1.458315,,,,,,-0.527974,,,,,,0.845900,,,,,,0.886948,,,,,,0.000000,,,,,,-1.606955,,,,,,-1.228618,,,,,
0.133333,,0.690280,,,,,,1.220327,,,,,,-0.957654,,,,,,-0.690522,,,,,,0.381666,,,,,,0.565465,,,,,,0.000000,,,,,,-1.424318,,,,,,-1.031563,,,,,
0.166667,,0.603338,,,,,,1.042133,,,,,,-0.226630,,,,,,-0.868041,,,,,,0.330600,,,,,,0.629762,,,,,,0.000000,,,,,,-1.109281,,,,,,-0.884552,,,,,
0.200000,,0.482884,,,,,,0.800387,,,,,,0.276172,,,,,,-1.066948,,,,,,0.483798,,,,,,0.581539,,,,,,0.000000,,,,,,-0.815244,,,,,,-0.680022,,,,,
0.233333,,0.259071,,,,,,0.534574,,,,,,0.627436,,,,,,-1.220941,,,,,,1.231213,,,,,,-0.640095,,,,,,0.000000,,,,,,-0.495358,,,,,,-0.449093,,,,,
0.266667,,-0.177138,,,,,,0.241510,,,,,,0.878282,,,,,,-1.235912,,,,,,1.351914,,,,,,-1.106245,,,,,,0.000000,,,,,,-0.198433,,,,,,-0.184338,,,,,
0.300000,,-0.521247,,,,,,-0.058927,,,,,,1.477872,,,,,,-1.210247,,,,,,0.822688,,,,,,-1.218764,,,,,,0.000000,,,,,,0.050553,,,,,,0.070004,,,,,
0.333333,,-0.588988,,,,,,-0.332704,,,,,,1.874751,,,,,,-1.107585,,,,,,0.590571,,,,,,-0.736540,,,,,,0.000000,,,,,,0.310383,,,,,,0.287034,,,,,
0.366667,,-0.520299,,,,,,-0.559842,,,,,,1.463036,,,,,,-1.030589,,,,,,0.794834,,,,,,-0.463280,,,,,,0.000000,,,,,,0.539247,,,,,,0.482251,,,,,
0.400000,,-0.761363,,,,,,-0.794027,,,,,,0.720457,,,,,,-0.974981,,,,,,1.082659,,,,,,-0.270390,,,,,,0.000000,,,,,,0.738972,,,,,,0.697427,,,,,
0.433333,,-0.954223,,,,,,-1.000981,,,,,,-0.057161,,,,,,-0.842376,,,,,,0.938746,,,,,,-0.366835,,,,,,0.000000,,,,,,0.874661,,,,,,0.942537,,,,,
0.466667,,-1.088462,,,,,,-1.153920,,,,,,-0.453234,,,,,,-0.619942,,,,,,0.920177,,,,,,-0.688318,,,,,,0.000000,,,,,,0.999119,,,,,,1.108123,,,,,
0.500000,,-1.258051,,,,,,-1.271036,,,,,,-0.637900,,,,,,-0.367566,,,,,,0.794834,,,,,,-0.350761,,,,,,0.000000,,,,,,1.059622,,,,,,1.244351,,,,,
0.541667,,-1.209173,,,,,,-1.347732,,,,,,-0.499988,,,,,,-0.076691,,,,,,0.214542,,,,,,0.083241,,,,,,0.000000,,,,,,1.139571,,,,,,1.339487,,,,,
0.583333,,-1.194947,,,,,,-1.319535,,,,,,-0.267174,,,,,,0.256960,,,,,,0.144907,,,,,,0.211834,,,,,,0.000000,,,,,,1.149344,,,,,,1.361939,,,,,
