time,x,y,z
11:08:37:5,0.05,0.19,-0.00
11:08:37:5,0.01,0.18,-0.04
11:08:37:5,-0.02,0.17,-0.08
11:08:37:5,-0.04,0.16,-0.12
11:08:37:5,-0.03,0.15,-0.15
11:08:37:5,-0.01,0.14,-0.16
11:08:37:5,0.01,0.13,-0.17
11:08:37:5,0.02,0.13,-0.17
11:08:37:5,0.03,0.13,-0.16
11:08:37:5,0.03,0.13,-0.14
11:08:37:5,0.02,0.13,-0.13
11:08:37:5,0.00,0.12,-0.11
11:08:37:5,-0.01,0.11,-0.10
11:08:37:5,-0.02,0.10,-0.08
11:08:37:5,-0.01,0.08,-0.07
11:08:37:5,-0.01,0.07,-0.06
11:08:37:5,0.00,0.06,-0.06
11:08:37:6,0.01,0.05,-0.05
11:08:37:6,0.02,0.05,-0.05
11:08:37:6,0.02,0.04,-0.05
11:08:37:6,0.01,0.04,-0.05
11:08:37:6,0.01,0.04,-0.06
11:08:37:6,0.01,0.04,-0.06
11:08:37:6,0.00,0.04,-0.06
11:08:37:6,-0.00,0.03,-0.06
11:08:37:6,-0.00,0.02,-0.06
11:08:37:6,-0.00,0.01,-0.05
11:08:37:6,-0.01,-0.00,-0.05
11:08:37:6,-0.01,-0.01,-0.04
11:08:37:6,-0.01,-0.02,-0.03
11:08:37:6,-0.01,-0.02,-0.03
11:08:37:6,-0.01,-0.02,-0.03
11:08:37:6,-0.01,-0.02,-0.03
11:08:37:6,-0.01,-0.02,-0.03
11:08:37:6,-0.01,-0.01,-0.03
11:08:37:6,-0.01,-0.01,-0.03
11:08:37:7,-0.01,0.00,-0.04
11:08:37:7,-0.01,0.01,-0.04
11:08:37:7,-0.01,0.03,-0.04
11:08:37:7,-0.01,0.04,-0.04
11:08:37:7,-0.01,0.04,-0.05
11:08:37:7,-0.01,0.04,-0.04
11:08:37:7,-0.01,0.05,-0.04
11:08:37:7,-0.01,0.04,-0.04
11:08:37:7,-0.01,0.04,-0.03
11:08:37:7,-0.01,0.04,-0.03
11:08:37:7,-0.01,0.03,-0.02
11:08:37:7,-0.01,0.03,-0.02
11:08:37:7,-0.01,0.02,-0.01
11:08:37:7,-0.00,0.01,-0.00
11:08:37:7,-0.00,0.01,0.00
11:08:37:7,-0.00,0.01,0.01
11:08:37:7,0.00,0.00,0.01
11:08:37:7,0.00,0.00,0.01
11:08:37:7,0.00,0.00,0.01
11:08:37:7,0.01,0.00,0.01
11:08:37:7,0.01,0.00,0.01
11:08:37:8,0.01,0.00,0.01
11:08:37:8,0.01,0.00,0.01
11:08:37:8,0.01,0.01,0.01
11:08:37:8,0.01,0.00,0.01
11:08:37:8,0.01,0.00,0.01
11:08:37:8,0.01,0.00,0.01
11:08:37:8,0.01,-0.00,0.01
11:08:37:8,0.01,-0.00,0.01
11:08:37:8,0.01,-0.01,0.02
11:08:37:8,0.00,-0.01,0.02
11:08:37:8,-0.00,-0.02,0.02
11:08:37:8,-0.01,-0.02,0.03
11:08:37:8,-0.01,-0.02,0.03
11:08:37:8,-0.02,-0.03,0.03
11:08:37:8,-0.02,-0.04,0.03
11:08:37:8,-0.02,-0.04,0.03
11:08:37:8,-0.02,-0.05,0.03
11:08:37:8,-0.02,-0.05,0.03
11:08:37:8,-0.03,-0.05,0.03
11:08:37:8,-0.03,-0.05,0.03
11:08:37:9,-0.03,-0.05,0.03
11:08:37:9,-0.03,-0.05,0.03
11:08:37:9,-0.03,-0.05,0.03
