Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,
0.000000,-0.067242,,,,,,,,,-0.013127,,,,,,,,,-0.028260,,,,,,,,,-0.007653,,,,,,,,,-0.027963,,,,,,,,,-0.043693,,,,,,,,,0.000000,,,,,,,,,-0.085225,,,,,,,,,0.062410,,,,,,,,,
0.076923,-0.065031,,,,,,,,,-0.008991,,,,,,,,,-0.009908,,,,,,,,,-0.006618,,,,,,,,,-0.021427,,,,,,,,,-0.065283,,,,,,,,,0.000000,,,,,,,,,-0.085433,,,,,,,,,0.059828,,,,,,,,,
0.153846,-0.064420,,,,,,,,,-0.005398,,,,,,,,,-0.003492,,,,,,,,,-0.002921,,,,,,,,,-0.018913,,,,,,,,,-0.095586,,,,,,,,,0.000000,,,,,,,,,-0.083800,,,,,,,,,0.056701,,,,,,,,,
0.230769,-0.063299,,,,,,,,,-0.003348,,,,,,,,,-0.006418,,,,,,,,,-0.000998,,,,,,,,,-0.025449,,,,,,,,,-0.139904,,,,,,,,,0.000000,,,,,,,,,-0.081928,,,,,,,,,0.053678,,,,,,,,,
0.307692,-0.056542,,,,,,,,,-0.006364,,,,,,,,,0.009738,,,,,,,,,-0.009871,,,,,,,,,-0.021176,,,,,,,,,-0.204676,,,,,,,,,0.000000,,,,,,,,,-0.073171,,,,,,,,,0.050219,,,,,,,,,
0.384615,-0.051014,,,,,,,,,-0.014805,,,,,,,,,0.025552,,,,,,,,,-0.013863,,,,,,,,,0.000192,,,,,,,,,-0.251646,,,,,,,,,0.000000,,,,,,,,,-0.060320,,,,,,,,,0.047149,,,,,,,,,
0.461538,-0.043508,,,,,,,,,-0.022457,,,,,,,,,0.027448,,,,,,,,,-0.016673,,,,,,,,,0.003963,,,,,,,,,-0.278918,,,,,,,,,0.000000,,,,,,,,,-0.045314,,,,,,,,,0.045268,,,,,,,,,
0.538462,-0.037511,,,,,,,,,-0.028276,,,,,,,,,0.024190,,,,,,,,,-0.016673,,,,,,,,,0.010499,,,,,,,,,-0.298994,,,,,,,,,0.000000,,,,,,,,,-0.029707,,,,,,,,,0.043392,,,,,,,,,
0.615385,-0.034372,,,,,,,,,-0.034913,,,,,,,,,0.017153,,,,,,,,,-0.016229,,,,,,,,,0.013012,,,,,,,,,-0.294070,,,,,,,,,0.000000,,,,,,,,,-0.014529,,,,,,,,,0.043093,,,,,,,,,
0.692308,-0.028070,,,,,,,,,-0.043529,,,,,,,,,0.003270,,,,,,,,,-0.016081,,,,,,,,,0.005722,,,,,,,,,-0.267933,,,,,,,,,0.000000,,,,,,,,,0.003081,,,,,,,,,0.042409,,,,,,,,,
0.769231,-0.021496,,,,,,,,,-0.051021,,,,,,,,,0.002193,,,,,,,,,-0.018447,,,,,,,,,0.005974,,,,,,,,,-0.228161,,,,,,,,,0.000000,,,,,,,,,0.017273,,,,,,,,,0.041149,,,,,,,,,
0.846154,-0.015351,,,,,,,,,-0.056587,,,,,,,,,0.012448,,,,,,,,,-0.020074,,,,,,,,,0.012761,,,,,,,,,-0.177025,,,,,,,,,0.000000,,,,,,,,,0.030060,,,,,,,,,0.040201,,,,,,,,,
0.923077,-0.015711,,,,,,,,,-0.057992,,,,,,,,,0.004327,,,,,,,,,-0.007948,,,,,,,,,0.009493,,,,,,,,,-0.114147,,,,,,,,,0.000000,,,,,,,,,0.038651,,,,,,,,,0.040273,,,,,,,,,
1.000000,-0.017229,,,,,,,,,-0.056780,,,,,,,,,-0.000409,,,,,,,,,0.002107,,,,,,,,,-0.000311,,,,,,,,,-0.071723,,,,,,,,,0.000000,,,,,,,,,0.041460,,,,,,,,,0.039902,,,,,,,,,
0.000000,,0.003580,,,,,,,,,-0.060967,,,,,,,,,0.038889,,,,,,,,,0.005656,,,,,,,,,-0.001316,,,,,,,,,0.022595,,,,,,,,,0.000000,,,,,,,,,0.075035,,,,,,,,,0.020397,,,,,,,,
0.013158,,0.001755,,,,,,,,,-0.058013,,,,,,,,,0.063174,,,,,,,,,0.013049,,,,,,,,,0.002706,,,,,,,,,0.038882,,,,,,,,,0.000000,,,,,,,,,0.072974,,,,,,,,,0.019766,,,,,,,,
0.026316,,-0.000170,,,,,,,,,-0.052819,,,,,,,,,0.077327,,,,,,,,,0.022809,,,,,,,,,-0.005590,,,,,,,,,0.063882,,,,,,,,,0.000000,,,,,,,,,0.069200,,,,,,,,,0.019221,,,,,,,,
0.039474,,-0.000022,,,,,,,,,-0.045736,,,,,,,,,0.095759,,,,,,,,,0.033308,,,,,,,,,-0.025700,,,,,,,,,0.082064,,,,,,,,,0.000000,,,,,,,,,0.064265,,,,,,,,,0.017457,,,,,,,,
