time,ax,ay,az,gx,gy,gz,mx,my,mz,
61322.3,-0.20,0.90,0.31,0.12,0.12,-0.12,43.67,-55.15,58.30,
61322.4,-0.23,0.89,0.37,-0.08,-0.46,0.05,44.72,-56.64,60.12,
61322.5,-0.18,0.89,0.30,0.16,0.22,-0.14,44.47,-54.00,61.51,
61322.6,-0.15,0.89,0.39,0.23,0.34,-0.18,43.00,-54.82,60.26,
61322.7,-0.16,0.90,0.35,0.13,0.16,-0.12,44.84,-56.66,60.09,
61322.8,-0.08,0.87,0.43,0.37,0.80,-0.21,44.17,-55.66,56.82,
61322.9,-0.01,0.83,0.50,0.46,1.09,-0.20,45.34,-55.15,57.97,
61323.1,-0.04,0.86,0.52,-0.12,0.12,-0.05,42.00,-58.51,55.03,
61323.2,-0.07,0.85,0.50,-0.10,0.12,-0.05,42.40,-58.71,55.01,
61323.3,-0.08,0.84,0.49,-0.07,0.10,-0.03,42.77,-57.40,55.49,
61323.4,-0.10,0.84,0.47,-0.07,0.06,-0.00,42.87,-57.49,55.59,
61323.5,-0.08,0.84,0.48,-0.07,0.03,0.01,41.13,-59.05,55.22,
61323.6,-0.06,0.84,0.48,-0.15,0.07,-0.02,41.76,-58.51,55.18,
61323.7,-0.02,0.83,0.47,-0.08,-0.09,0.01,43.33,-57.17,56.01,
61323.8,-0.01,0.88,0.55,-0.08,-0.10,0.01,39.02,-61.11,46.56,
61323.9,-0.03,0.87,0.53,-0.13,0.10,-0.04,42.64,-57.86,55.50,
61324.0,,,,0.06,-3.41,-1.76,,,,
61324.1,-1.35,0.93,0.76,0.03,-3.19,-1.38,41.00,-55.49,37.37,
61324.2,-0.48,0.71,1.82,0.22,-2.74,-0.25,41.21,-57.35,43.33,
61324.3,-0.11,0.65,1.23,0.72,-0.86,0.37,41.33,-55.82,41.62,
61324.4,-1.25,0.91,0.52,0.91,-1.38,0.58,43.17,-39.13,27.73,
61324.5,0.70,1.06,0.37,0.03,-3.24,-1.73,41.16,-58.01,44.07,
61324.6,-0.36,0.47,0.62,0.65,-2.25,-0.36,42.16,-56.67,39.50,
61324.7,0.55,0.96,0.47,0.56,-2.36,-0.83,49.21,-39.26,35.84,
61324.8,0.38,0.88,0.57,0.59,-2.17,-1.01,40.85,-56.67,39.50,
61324.9,-0.02,0.84,0.43,0.62,-1.94,-0.98,40.49,-56.67,39.50,
61325.1,0.37,0.65,0.38,-3.41,4.45,1.54,34.32,-56.16,32.79,
61325.2,0.47,0.63,0.88,-2.69,4.52,1.72,31.31,-59.52,35.08,
61325.3,0.49,0.77,0.99,-3.60,4.05,1.23,31.44,-59.39,36.27,
61325.4,0.54,0.72,0.05,-3.30,3.94,0.93,44.33,-51.45,39.99,
61325.5,0.40,0.93,1.00,-2.91,3.32,0.71,31.48,-59.36,36.55,
61325.6,0.44,0.68,0.20,-2.37,2.44,0.54,48.17,-28.77,39.49,
61325.7,-0.38,-0.89,0.15,-1.73,1.64,0.34,32.82,-59.02,34.45,
61325.8,0.51,0.83,1.06,-3.10,4.53,1.62,32.98,-56.83,34.43,
