Clock Time (s),Elapsed Time (s),ar,atheta,aphi,gx,gy,gz,mx,my,mz,
61322.3,0.0,0.9726767191621274,1.7894652726688387,1.2464300723362567,0.12,0.12,-0.12,43.67,-55.15,58.30,
61322.4,0.09999999999854481,0.9909086738948246,1.8236903918904943,1.1881306670853322,-0.08,-0.46,0.05,44.72,-56.64,60.12,
61322.5,0.19999999999708962,0.9562949335848224,1.7703517105001838,1.2516977720855584,0.16,0.22,-0.14,44.47,-54.00,61.51,
61322.6,0.2999999999956344,0.9832090316916338,1.7377664958198256,1.1629204956217676,0.23,0.34,-0.18,43.00,-54.82,60.26,
61322.7,0.39999999999417923,0.9788258272031853,1.7467359522474246,1.205130397154114,0.13,0.16,-0.12,44.84,-56.66,60.09,
61322.8,0.5,0.973755616158387,1.6624924830547598,1.1134271279325203,0.37,0.80,-0.21,44.17,-55.66,56.82,
61322.9,0.5999999999985448,0.9690201236300513,1.5828439366490827,1.0286389946027115,0.46,1.09,-0.20,45.34,-55.15,57.97,
61323.1,0.7999999999956344,1.0057832768544126,1.6172744581458998,1.027442164685982,-0.12,0.12,-0.05,42.00,-58.51,55.03,
61323.2,0.8999999999941792,0.9886354231970448,1.6529638491565968,1.040547972413052,-0.10,0.12,-0.05,42.40,-58.71,55.01,
61323.3,1.0,0.975756117070244,1.665748033137653,1.0446846402370842,-0.07,0.10,-0.03,42.77,-57.40,55.49,
61323.4,1.0999999999985448,0.9677293009927931,1.6892862859530344,1.0636634160678702,-0.07,0.06,-0.00,42.87,-57.49,55.59,
61323.5,1.1999999999970896,0.9707728879609278,1.665748033137653,1.0535927758405899,-0.07,0.03,0.01,41.13,-59.05,55.22,
61323.6,1.2999999999956344,0.9693296652842107,1.642103791580187,1.0527456112571436,-0.15,0.07,-0.02,41.76,-58.51,55.18,
61323.7,1.3999999999941792,0.9540440241414438,1.594888050219818,1.0556757989112249,-0.08,-0.09,0.01,43.33,-57.17,56.01,
61323.8,1.5,1.0377861051295685,1.5821594740591876,1.0122260276463828,-0.08,-0.10,0.01,39.02,-61.11,46.56,
61323.9,1.5999999999985448,1.0191663259743229,1.6052654277944047,1.0239068816211878,-0.13,0.10,-0.04,42.64,-57.86,55.50,
61324.0,1.6999999999970896,r,theta,phi,0.06,-3.41,-1.76,
61324.1,1.7999999999956344,1.8069310999592652,2.538362800665108,1.1366868506033123,0.03,-3.19,-1.38,41.00,-55.49,37.37,
61324.2,1.8999999999941792,2.011690831116949,2.16527133186976,0.44009408470635814,0.22,-2.74,-0.25,41.21,-57.35,43.33,
61324.3,2.0,1.3955285736952863,1.7384387646261124,0.49200714490020364,0.72,-0.86,0.37,41.33,-55.82,41.62,
