time,x,y,z,MF
17:01:55:761,44.29,-55.87,60.21,93.31
17:01:55:777,44.17,-55.99,59.11,92.63
17:01:55:792,43.42,-55.74,59.52,92.38
17:01:55:811,42.67,-55.49,59.93,92.15
17:01:55:827,44.27,-56.11,60.54,93.66
17:01:55:836,44.84,-56.33,60.75,94.20
17:01:55:859,44.34,-56.49,58.35,92.53
17:01:55:882,44.23,-56.56,58.24,92.45
17:01:55:896,43.50,-57.00,57.80,92.10
17:01:55:912,43.80,-56.57,57.87,92.02
17:01:55:929,44.33,-55.82,57.97,91.88
17:01:55:964,43.83,-56.33,58.86,92.51
17:01:55:966,43.50,-56.67,59.44,92.93
17:01:55:971,43.08,-55.67,57.09,90.63
17:01:55:986,43.00,-55.49,56.66,90.21
17:01:56:24,44.67,-56.16,59.28,93.07
17:01:56:32,44.59,-56.08,58.97,92.80
17:01:56:49,44.33,-55.82,57.97,91.88
17:01:56:64,44.73,-56.22,58.05,92.36
17:01:56:76,45.17,-56.67,58.13,92.90
17:01:56:91,44.69,-56.90,56.74,91.95
17:01:56:105,44.50,-57.00,56.17,91.57
17:01:56:138,44.98,-55.24,56.64,91.01
17:01:56:153,44.89,-55.26,56.68,91.00
17:01:56:168,43.83,-56.33,56.82,91.23
17:01:56:185,44.17,-56.10,56.49,91.05
17:01:56:201,44.84,-55.66,55.84,90.70
17:01:56:210,45.41,-55.46,56.60,91.34
17:01:56:224,45.84,-55.32,57.15,91.80
17:01:56:250,44.74,-55.87,56.88,91.43
17:01:56:255,44.50,-55.99,56.82,91.35
17:01:56:291,45.50,-55.99,56.50,91.64
17:01:56:302,45.33,-56.17,56.33,91.56
17:01:56:320,44.67,-56.83,55.68,91.24
17:01:56:331,43.85,-57.06,55.90,91.12
17:01:56:353,42.83,-57.34,56.17,90.98
17:01:56:359,44.20,-56.65,56.39,91.34
17:01:56:374,44.84,-56.33,56.50,91.52
17:01:56:390,45.14,-56.64,56.50,91.86
17:01:56:437,45.07,-56.64,56.40,91.77
17:01:56:439,43.83,-56.33,55.19,90.22
17:01:56:449,44.15,-56.65,55.60,90.82
17:01:56:465,44.84,-57.34,56.50,92.14
17:01:56:479,44.47,-57.52,55.95,91.74
17:01:56:495,44.17,-57.67,55.52,91.43
17:01:56:509,44.70,-56.61,56.30,91.50
17:01:56:539,44.84,-56.33,56.50,91.52
17:01:56:558,44.17,-57.34,55.52,91.22
17:01:56:573,43.96,-57.31,55.55,91.12
17:01:56:601,43.00,-57.17,55.68,90.65
17:01:56:603,43.63,-57.10,55.75,90.95
17:01:56:616,44.50,-57.00,55.84,91.37
17:01:56:676,43.95,-56.89,55.52,90.83
17:01:56:679,43.67,-56.83,55.35,90.56
17:01:56:681,43.67,-56.53,54.76,90.01
17:01:56:699,43.66,-56.55,54.74,90.00
17:01:56:703,43.50,-57.67,55.52,91.11
17:01:56:719,43.26,-58.11,55.47,91.24
17:01:56:732,42.67,-59.19,55.35,91.58
17:01:56:747,43.20,-58.47,54.83,91.06
17:01:56:763,43.67,-57.84,54.37,90.60
17:01:56:778,43.80,-57.45,54.25,90.34
17:01:56:794,43.83,-57.34,54.21,90.26
17:01:56:822,43.67,-57.17,55.03,90.57
17:01:56:837,43.59,-57.09,55.00,90.47
17:01:56:852,43.17,-56.67,54.86,89.91
17:01:56:867,43.63,-57.00,55.19,90.55
17:01:56:881,44.33,-57.51,55.68,91.50
17:01:56:897,44.33,-58.15,55.47,91.78
17:01:56:913,44.33,-58.51,55.35,91.94
17:01:56:927,43.60,-57.48,54.63,90.50
17:01:56:957,43.55,-57.34,54.58,90.35
17:01:56:972,45.34,-57.51,56.33,92.39
17:01:56:987,45.07,-57.60,56.07,92.16
17:01:57:2,44.33,-57.84,55.35,91.52
17:01:57:17,43.83,-57.16,54.53,90.34
17:01:57:32,43.33,-56.50,53.72,89.19
17:01:57:50,44.57,-56.75,55.18,90.84
17:01:57:61,45.00,-56.83,55.68,91.41
17:01:57:81,44.84,-57.00,54.87,90.94
17:01:57:106,44.75,-57.05,54.99,91.00
17:01:57:121,44.17,-57.34,55.84,91.42
17:01:57:136,44.23,-57.78,55.42,91.46
17:01:57:151,44.33,-58.51,54.70,91.55
17:01:57:166,42.90,-57.48,54.90,90.33
17:01:57:180,42.00,-56.83,55.03,89.56
17:01:57:197,42.99,-56.40,54.61,89.51
17:01:57:210,43.17,-56.33,54.53,89.50
17:01:57:240,44.50,-58.35,53.56,90.85
17:01:57:255,44.42,-58.27,53.40,90.66
17:01:57:270,44.17,-58.01,52.90,90.08
17:01:57:288,43.85,-57.53,53.37,89.89
17:01:57:300,43.50,-57.00,53.88,89.69
17:01:57:316,43.98,-56.76,52.94,89.21
17:01:57:331,44.17,-56.67,52.57,89.03
17:01:57:345,44.01,-56.83,54.30,90.08
17:01:57:376,43.88,-56.74,54.18,89.89
17:01:57:390,42.83,-55.99,52.57,87.94
17:01:57:405,43.18,-55.76,53.14,88.30
17:01:57:422,43.83,-55.32,54.21,89.00
17:01:57:491,44.03,-55.52,54.21,89.22
17:01:57:493,44.17,-55.66,54.21,89.37
17:01:57:495,44.03,-57.18,53.81,90.02
17:01:57:498,44.00,-57.51,53.72,90.16
17:01:57:511,43.67,-57.17,53.39,89.59
17:01:57:525,43.81,-56.96,53.81,89.77
17:01:57:541,44.33,-56.16,55.35,90.46
17:01:57:557,44.18,-55.86,54.17,89.48
17:01:57:570,44.00,-55.49,52.74,88.30
17:01:57:584,44.12,-56.07,53.53,89.20
17:01:57:599,44.17,-56.33,53.88,89.59
17:01:57:614,43.39,-57.74,54.03,90.20
17:01:57:644,43.33,-57.84,54.10,90.28
17:01:57:662,43.33,-57.84,54.70,90.64
17:01:57:674,43.33,-57.84,54.80,90.70
17:01:57:689,43.33,-57.84,55.03,90.84
17:01:57:704,43.15,-58.60,54.29,90.79
17:01:57:719,43.00,-59.19,53.72,90.76
17:01:57:734,42.46,-58.65,53.98,90.31
17:01:57:749,42.33,-58.51,54.05,90.20
17:01:57:781,45.17,-57.00,54.53,90.90
17:01:57:802,44.70,-57.10,54.75,90.86
17:01:57:808,42.67,-57.51,55.68,90.71
17:01:57:823,43.16,-57.44,55.47,90.77
17:01:57:838,43.83,-57.34,55.19,90.86
17:01:57:853,44.06,-57.56,54.97,90.97
17:01:57:868,44.17,-57.67,54.86,91.03
17:01:57:883,43.11,-57.22,55.01,90.32
17:01:57:913,43.06,-57.18,54.98,90.26
17:01:57:928,44.17,-57.34,54.21,90.43
17:01:57:943,43.87,-57.34,54.30,90.34
17:01:57:958,43.17,-57.34,54.53,90.14
17:01:57:973,43.70,-57.34,53.84,89.98
17:01:57:988,44.17,-57.34,53.23,89.84
17:01:58:3,44.56,-57.47,53.86,90.49
17:01:58:17,44.67,-57.51,54.05,90.68
17:01:58:48,43.83,-57.00,53.88,89.85
17:01:58:63,43.75,-56.97,53.86,89.78
17:01:58:77,43.33,-56.83,53.72,89.41
17:01:58:92,42.93,-57.38,53.98,89.72
17:01:58:108,42.33,-58.18,54.37,90.18
17:01:58:123,42.87,-57.85,54.90,90.55
17:01:58:137,43.17,-57.67,55.19,90.75
17:01:58:152,42.87,-58.27,54.03,90.29
17:01:58:182,42.86,-58.32,53.92,90.25
17:01:58:197,44.00,-57.51,55.03,90.94
17:01:58:212,44.05,-57.46,54.63,90.70
17:01:58:227,44.17,-57.34,53.56,90.04
17:01:58:242,43.91,-57.25,53.64,89.91
17:01:58:256,43.67,-57.17,53.72,89.78
17:01:58:272,44.04,-57.80,54.34,90.74
17:01:58:287,44.17,-58.01,54.53,91.05
17:01:58:302,44.33,-59.18,53.40,91.21
17:01:58:331,44.31,-58.93,53.60,91.15
17:01:58:346,44.17,-57.34,54.86,90.82
17:01:58:361,43.60,-58.04,55.05,91.10
17:01:58:376,42.67,-59.19,55.35,91.58
17:01:58:391,43.39,-58.67,54.64,91.16
17:01:58:406,43.83,-58.35,54.21,90.91
17:01:58:421,43.11,-57.91,54.63,90.54
17:01:58:451,43.00,-57.84,54.70,90.48
17:01:58:466,42.83,-58.01,54.53,90.41
17:01:58:481,43.04,-57.97,54.17,90.26
17:01:58:495,43.67,-57.84,53.06,89.82
17:01:58:511,43.50,-57.84,53.22,89.84
17:01:58:526,43.33,-57.84,53.39,89.86
17:01:58:541,42.36,-58.09,54.59,90.27
17:01:58:555,42.00,-58.18,55.03,90.42
17:01:58:571,43.13,-58.67,52.65,89.86
17:01:58:600,43.24,-58.57,52.73,89.89
17:01:58:615,43.83,-57.67,53.88,90.28
17:01:58:630,43.29,-57.73,54.53,90.45
17:01:58:645,42.33,-57.84,55.68,90.76
17:01:58:660,42.83,-58.15,55.19,90.89
17:01:58:675,43.17,-58.35,54.86,90.98
17:01:58:690,42.32,-57.50,55.14,90.21
17:01:58:705,42.16,-57.34,55.19,90.06
17:01:58:735,44.17,-57.00,54.86,90.61
17:01:58:750,43.83,-57.42,54.97,90.77
17:01:58:765,42.67,-58.85,55.35,91.37
17:01:58:780,43.52,-59.09,54.97,91.69
17:01:58:794,44.50,-59.36,54.53,92.07
17:01:58:810,43.67,-58.05,54.42,90.77
17:01:58:825,43.33,-57.51,54.37,90.23
17:01:58:840,42.22,-57.67,54.84,90.09
17:01:58:870,42.16,-57.71,54.99,90.17
17:01:58:886,42.16,-58.01,56.17,91.09
17:01:58:899,42.50,-58.12,56.06,91.26
17:01:58:914,43.17,-58.35,55.84,91.58
17:01:58:929,42.97,-57.96,55.09,90.78
17:01:58:944,42.83,-57.67,54.53,90.19
17:01:58:959,42.69,-58.09,55.20,90.80
17:01:58:974,42.67,-58.18,55.35,90.93
17:01:59:6,43.50,-57.00,55.52,90.68
17:01:59:19,43.50,-57.14,55.78,90.93
17:01:59:34,43.50,-57.67,56.82,91.91
17:01:59:50,43.94,-57.67,57.26,92.39
17:01:59:64,44.50,-57.67,57.80,93.00
17:01:59:79,42.67,-56.98,56.69,91.00
17:01:59:94,41.83,-56.67,56.17,90.09
17:01:59:118,42.91,-57.13,57.23,91.55
17:01:59:140,43.00,-57.22,57.25,91.65
17:01:59:153,43.00,-57.84,56.33,91.48
17:01:59:168,43.21,-57.74,57.15,92.01
17:01:59:183,43.67,-57.51,58.95,93.21
17:01:59:199,43.57,-56.12,58.14,91.80
17:01:59:213,43.50,-54.98,57.48,90.66
17:01:59:229,42.71,-55.78,58.52,91.43
17:01:59:244,42.50,-55.99,58.79,91.64
17:01:59:291,42.67,-55.49,57.97,90.88
17:01:59:295,42.67,-55.49,57.97,90.88
17:01:59:304,42.82,-56.88,58.12,91.91
17:01:59:323,42.88,-57.02,58.27,92.11
17:01:59:338,43.33,-57.17,59.60,93.27
17:01:59:359,43.28,-57.23,59.11,92.96
17:01:59:371,43.17,-57.34,58.13,92.36
17:01:59:386,43.45,-56.66,58.79,92.49
17:01:59:397,43.67,-56.16,59.28,92.60
17:01:59:413,43.80,-55.75,58.88,92.16
17:01:59:429,43.83,-55.66,58.79,92.06
17:01:59:457,43.33,-55.82,59.28,92.24
17:01:59:472,43.60,-55.96,59.21,92.40
17:01:59:487,44.67,-56.50,58.95,93.07
17:01:59:502,44.08,-56.20,59.24,92.79
17:01:59:517,43.33,-55.82,59.60,92.45
17:01:59:533,43.45,-56.17,60.61,93.36
17:01:59:547,43.50,-56.33,61.07,93.78
17:01:59:563,43.81,-54.47,60.77,92.62
17:01:59:592,43.89,-54.39,60.67,92.55
17:01:59:607,44.67,-55.49,59.60,92.88
17:01:59:622,44.36,-55.69,60.11,93.18
17:01:59:636,43.67,-56.16,61.24,93.87
17:01:59:652,43.85,-55.05,60.34,92.71
17:01:59:667,44.00,-54.14,59.60,91.76
17:01:59:683,44.40,-54.81,60.77,93.10
17:01:59:696,44.50,-54.98,61.07,93.45
17:01:59:728,44.00,-55.15,61.89,93.85
17:01:59:742,44.24,-55.33,61.49,93.80
17:01:59:756,45.34,-56.16,59.60,93.61
17:01:59:772,45.48,-56.02,59.60,93.59
17:01:59:786,45.67,-55.82,59.60,93.57
17:01:59:801,44.47,-55.49,58.64,92.17
17:01:59:816,43.83,-55.32,58.13,91.44
17:01:59:832,44.43,-56.53,57.84,92.28
17:01:59:861,44.52,-56.65,57.75,92.34
17:01:59:876,44.84,-56.33,56.50,91.52
17:01:59:891,44.22,-56.09,56.45,91.04
17:01:59:906,42.67,-55.49,56.33,89.85
17:01:59:921,43.19,-55.14,56.33,89.88
17:01:59:936,43.67,-54.82,56.33,89.92
17:01:59:951,43.03,-55.20,56.21,89.77
17:01:59:965,42.83,-55.32,56.17,89.72
17:01:59:995,43.67,-56.50,55.68,90.55
17:02:00:16,43.84,-56.42,55.56,90.51
17:02:00:25,44.84,-55.99,54.86,90.31
17:02:00:42,44.51,-56.32,54.93,90.39
17:02:00:55,44.00,-56.83,55.03,90.52
17:02:00:70,45.27,-55.77,55.23,90.61
17:02:00:85,46.01,-55.15,55.35,90.68
17:02:00:100,45.42,-56.62,53.93,90.43
17:02:00:130,45.34,-56.81,53.74,90.39
17:02:00:145,45.34,-55.49,55.03,90.34
17:02:00:160,45.12,-56.05,54.99,90.56
17:02:00:175,44.50,-57.67,54.86,91.20
17:02:00:190,44.84,-56.83,54.21,90.44
17:02:00:205,45.17,-55.99,53.56,89.69
17:02:00:220,45.54,-55.62,54.64,90.30
17:02:00:234,45.67,-55.49,55.03,90.51
17:02:00:250,44.85,-54.99,53.90,89.11
17:02:00:280,44.75,-54.82,54.01,89.02
17:02:00:294,44.17,-53.64,54.86,88.53
17:02:00:310,44.23,-54.56,54.44,88.87
17:02:00:325,44.33,-56.16,53.72,89.47
17:02:00:344,44.84,-55.65,54.41,89.83
17:02:00:354,45.17,-55.32,54.86,90.06
17:02:00:369,44.74,-56.32,55.55,90.88
17:02:00:384,44.67,-56.50,55.68,91.04
17:02:00:414,44.17,-53.97,53.88,88.13
17:02:00:429,44.36,-54.48,53.85,88.52
17:02:00:448,45.00,-56.16,53.72,89.80
17:02:00:466,44.76,-55.76,53.80,89.48
17:02:00:478,44.50,-55.32,53.88,89.13
17:02:00:489,44.74,-54.84,54.12,89.09
17:02:00:505,44.84,-54.65,54.21,89.08
17:02:00:522,45.31,-55.45,54.37,89.91
17:02:00:548,45.17,-55.49,54.34,89.84
