Time,aclx,acly,aclz,gyrx,gyry,gyrz,magr,magphi,magtheta,Is Positive Peak?
61322.300000,-0.553408,,,,,,,,,0
61323.500000,0.292658,,,,,,,,,1
61322.300000,,0.607618,,,,,,,,1
61322.500000,,-0.108252,,,,,,,,0
61323.500000,,-0.361167,,,,,,,,0
61323.600000,,0.117541,,,,,,,,1
61322.300000,,,-0.523617,,,,,,,0
61323.600000,,,0.285253,,,,,,,1
61322.300000,,,,0.077860,,,,,,0
61322.500000,,,,0.388220,,,,,,1
61323.600000,,,,-0.459020,,,,,,0
61322.300000,,,,,-0.357589,,,,,0
61322.500000,,,,,0.302743,,,,,1
61323.800000,,,,,-0.438211,,,,,0
61322.300000,,,,,,-0.102354,,,,1
61322.500000,,,,,,-0.336808,,,,0
61323.800000,,,,,,0.489949,,,,1
61322.500000,,,,,,,,0.350500,,1
61323.600000,,,,,,,,-0.392948,,0
61322.300000,,,,,,,,,-0.479354,0
61323.600000,,,,,,,,,0.324971,1
