Relative Time (to start of segment),aclx 1 - Value,aclx 1 - Is positive Peak,aclx 2 - Value,aclx 2 - Is positive Peak,acly 1 - Value,acly 1 - Is positive Peak,acly 2 - Value,acly 2 - Is positive Peak,aclz 1 - Value,aclz 1 - Is positive Peak,aclz 2 - Value,aclz 2 - Is positive Peak,gyrx 1 - Value,gyrx 1 - Is positive Peak,gyrx 2 - Value,gyrx 2 - Is positive Peak,gyry 1 - Value,gyry 1 - Is positive Peak,gyry 2 - Value,gyry 2 - Is positive Peak,gyrz 1 - Value,gyrz 1 - Is positive Peak,gyrz 2 - Value,gyrz 2 - Is positive Peak,magr 1 - Value,magr 1 - Is positive Peak,magr 2 - Value,magr 2 - Is positive Peak,magphi 1 - Value,magphi 1 - Is positive Peak,magphi 2 - Value,magphi 2 - Is positive Peak,magtheta 1 - Value,magtheta 1 - Is positive Peak,magtheta 2 - Value,magtheta 2 - Is positive Peak,
183976.100000,-0.035021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183974.300000,,,,,0.087324,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183976.100000,,,,,0.071417,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183974.900000,,,,,,,,,-0.010717,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
183975.800000,,,,,,,,,,,,,-0.173611,0,,,,,,,,,,,,,,,,,,,,,,,
183975.800000,,,,,,,,,,,,,,,,,0.161064,1,,,,,,,,,,,,,,,,,,,
183975.800000,,,,,,,,,,,,,,,,,,,,,-0.045533,1,,,,,,,,,,,,,,,
183975.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.082683,0,,,,,,,
183974.600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.017737,0,,,
58100.936842,,,0.181735,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58101.884211,,,0.012094,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58102.736842,,,0.006288,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58104.347368,,,0.131483,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58105.578947,,,0.044999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58106.336842,,,0.105880,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58107.568421,,,-0.101151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58101.221053,,,,,,,-0.122358,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58102.073684,,,,,,,-0.130933,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58102.831579,,,,,,,-0.069845,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58104.063158,,,,,,,-0.073180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58104.915789,,,,,,,-0.101275,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58105.578947,,,,,,,-0.041244,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58106.526316,,,,,,,-0.099856,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58107.568421,,,,,,,0.094873,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58100.747368,,,,,,,,,,,-0.129969,0,,,,,,,,,,,,,,,,,,,,,,,,,
58101.884211,,,,,,,,,,,0.010838,1,,,,,,,,,,,,,,,,,,,,,,,,,
58102.642105,,,,,,,,,,,-0.030139,0,,,,,,,,,,,,,,,,,,,,,,,,,
58104.347368,,,,,,,,,,,-0.123878,0,,,,,,,,,,,,,,,,,,,,,,,,,
58100.463158,,,,,,,,,,,,,,,-0.073562,0,,,,,,,,,,,,,,,,,,,,,
58100.842105,,,,,,,,,,,,,,,0.004125,1,,,,,,,,,,,,,,,,,,,,,
58101.884211,,,,,,,,,,,,,,,-0.230192,0,,,,,,,,,,,,,,,,,,,,,
58104.063158,,,,,,,,,,,,,,,0.138853,1,,,,,,,,,,,,,,,,,,,,,
58104.726316,,,,,,,,,,,,,,,0.081402,0,,,,,,,,,,,,,,,,,,,,,
58105.673684,,,,,,,,,,,,,,,0.147764,1,,,,,,,,,,,,,,,,,,,,,
58107.568421,,,,,,,,,,,,,,,-0.026471,0,,,,,,,,,,,,,,,,,,,,,
58101.978947,,,,,,,,,,,,,,,,,,,-0.148206,0,,,,,,,,,,,,,,,,,
58103.021053,,,,,,,,,,,,,,,,,,,-0.120348,1,,,,,,,,,,,,,,,,,
58103.494737,,,,,,,,,,,,,,,,,,,-0.128482,0,,,,,,,,,,,,,,,,,
58104.726316,,,,,,,,,,,,,,,,,,,-0.058107,1,,,,,,,,,,,,,,,,,
58105.484211,,,,,,,,,,,,,,,,,,,-0.059507,1,,,,,,,,,,,,,,,,,
58106.431579,,,,,,,,,,,,,,,,,,,-0.077712,0,,,,,,,,,,,,,,,,,
