Relative Time (to start of segment),aclx 1 - Value,aclx 1 - Is positive Peak,acly 1 - Value,acly 1 - Is positive Peak,aclz 1 - Value,aclz 1 - Is positive Peak,gyrx 1 - Value,gyrx 1 - Is positive Peak,gyry 1 - Value,gyry 1 - Is positive Peak,gyrz 1 - Value,gyrz 1 - Is positive Peak,magr 1 - Value,magr 1 - Is positive Peak,magphi 1 - Value,magphi 1 - Is positive Peak,magtheta 1 - Value,magtheta 1 - Is positive Peak,
1.200000,0.181735,1,,,,,,,,,,,,,,,,,
2.200000,0.012094,0,,,,,,,,,,,,,,,,,
1.500000,,,-0.122358,0,,,,,,,,,,,,,,,
2.400000,,,-0.130933,0,,,,,,,,,,,,,,,
1.000000,,,,,-0.129969,0,,,,,,,,,,,,,
2.200000,,,,,0.010838,1,,,,,,,,,,,,,
0.700000,,,,,,,-0.073562,0,,,,,,,,,,,
1.100000,,,,,,,0.004125,1,,,,,,,,,,,
2.200000,,,,,,,-0.230192,0,,,,,,,,,,,
2.300000,,,,,,,,,-0.148206,0,,,,,,,,,
1.200000,,,,,,,,,,,0.012565,1,,,,,,,
1.800000,,,,,,,,,,,-0.021988,0,,,,,,,
1.100000,,,,,,,,,,,,,,,-0.105545,0,,,
1.200000,,,,,,,,,,,,,,,,,-0.228169,0,
2.500000,,,,,,,,,,,,,,,,,0.059357,1,
