Clock Time (s),Elapsed Time (s),ar,atheta,aphi,gx,gy,gz,mx,my,mz,
54914.7,0.0,0.9270382947861432,3.6224799337851286,0.2836274904213967,-0.03,-0.01,0.01,-15.00,-38.52,5.18,
54914.8,0.10000000000582077,0.9349866309204641,3.6520809755065686,0.31146620381858087,-0.03,0.04,0.00,-15.29,-38.66,6.35,
54914.9,0.20000000000436557,0.9335416434203672,3.6211119455823892,0.3066219121203785,-0.05,-0.04,0.03,-15.80,-38.92,4.26,
54915.0,0.3000000000029104,0.9419129471453294,3.669667102016153,0.2994383634925941,-0.06,-0.10,0.03,-15.93,-38.52,4.68,
54915.1,0.4000000000014552,0.9529952780575569,3.7001919689333556,0.3015271900425098,-0.08,-0.16,0.04,-14.95,-39.35,5.01,
54915.2,0.5,0.970103087305674,3.671808426366423,0.35385276747665495,-0.02,-0.10,0.15,-17.27,-38.59,4.97,
54915.3,0.6000000000058208,0.9194019795497506,3.74001154706833,0.29382222779361206,-0.19,-0.20,0.22,-18.79,-39.33,3.26,
54915.4,0.7000000000043656,0.9403722667114338,3.6241059486122698,0.25484703556433747,-0.20,-0.35,0.27,-20.08,-35.93,5.35,
54915.5,0.8000000000029104,0.903603895520598,3.589112628746963,0.311925357275042,-0.19,-0.24,0.48,-22.30,-35.71,4.80,
54915.6,0.9000000000014552,0.9270382947861432,3.6224799337851286,0.2836274904213967,-0.22,-0.26,0.95,-23.02,-34.16,5.07,
54915.7,1.0,0.9646761114488117,3.8163335958133455,0.3382952908388184,-0.25,-0.25,1.31,-27.27,-31.82,4.34,
54915.8,1.1000000000058208,0.9181503144910423,3.86584265433794,0.387717741774116,-0.20,-0.47,1.68,-31.23,-29.39,5.38,
54915.9,1.2000000000043656,0.9121951545584969,4.234036549006031,0.3399218791024772,-0.32,-0.70,1.76,-36.51,-21.56,5.35,
54916.0,1.3000000000029104,1.0378824596263296,4.3536183101141175,0.33554728977388,-0.35,-0.43,1.73,-40.61,-15.74,5.35,
54916.1,1.4000000000014552,0.9476813810558905,4.272546397568953,0.4077129444092219,-0.03,-0.24,1.62,-39.41,-7.01,6.18,
54916.2,1.5,0.8466994744299775,4.307497194099606,0.3680389129960994,-0.07,-0.62,1.66,-38.04,-0.17,8.20,
54916.3,1.6000000000058208,0.9523654760647301,4.615915205202103,0.3331547687796245,-0.11,-0.62,1.68,-38.46,5.78,9.93,
54916.4,1.7000000000043656,0.9451454914456292,4.418154415273502,0.37345176098650484,-0.04,0.00,1.65,-35.75,10.16,11.03,
54916.5,1.8000000000029104,0.9394679345246435,4.3714100268883405,0.35771190333213937,0.04,-0.29,1.50,-30.52,14.20,11.55,
54916.6,1.9000000000014552,0.9498420921395303,4.411468746024265,0.3253906451746031,-0.00,-0.41,1.43,-25.06,18.95,10.77,
54916.7,2.0,0.9237423883312923,4.4674103172578254,0.271118032312811,-0.01,-0.18,1.45,-21.28,20.70,12.22,
54916.8,2.1000000000058208,0.9355746896961247,4.124386376837122,0.3134126844211059,-0.08,-0.03,1.45,-14.95,20.19,11.04,
54916.9,2.2000000000043656,0.9314504817756014,4.160733997856143,0.3339254231088878,-0.05,-0.14,1.44,-9.39,20.96,13.14,
54917.0,2.3000000000029104,0.9254728521139883,4.201900658467913,0.3147775400993087,-0.14,-0.10,1.42,-2.97,19.85,14.06,
54917.1,2.400000000001455,0.9577577981932593,4.166733925857698,0.3490595478070244,-0.16,-0.23,1.33,1.31,16.94,14.23,
54917.2,2.5,0.9053728513711905,4.153789665041127,0.31792883921183446,-0.12,-0.17,1.27,6.57,14.03,15.60,
54917.3,2.6000000000058208,0.8509406559801923,4.288194572480923,0.41122293574314683,-0.21,0.04,1.07,12.08,10.27,15.07,
54917.4,2.7000000000043656,0.9433981132056605,4.570491925780526,0.30449629074738105,-0.16,-0.27,0.78,12.43,7.87,16.41,
54917.5,2.8000000000029104,0.9888882646689665,4.529278163122205,0.28137419763656296,-0.03,0.13,0.40,13.61,5.28,16.63,
54917.6,2.900000000001455,0.9716995420396163,4.317597860684928,0.4129997167206941,0.13,-0.10,0.02,13.62,4.96,16.57,
54917.7,3.0,0.8112336284942828,3.850218925717463,0.22930102585424103,0.05,0.05,-0.10,13.86,3.70,15.71,
54917.8,3.1000000000058208,0.9198912979260103,3.618938035963465,0.3628386517523075,-0.14,-0.01,0.01,15.85,3.42,17.75,
54917.9,3.2000000000043656,0.9177145525706781,4.048342817558005,0.32388176434304056,0.06,-0.09,-0.04,13.97,5.31,16.24,
54918.0,3.3000000000029104,0.9269304181005174,4.434089321379578,0.31957165374112245,0.06,-0.31,-0.13,14.35,5.20,16.75,
54918.1,3.400000000001455,0.8725823743349391,3.832039110644485,0.3489291751345731,0.07,0.59,-0.24,13.11,3.77,16.74,
54918.2,3.5,0.9096153033013462,4.112338766982936,0.25587604152468363,0.21,-0.22,-0.14,13.62,4.28,17.24,
54918.3,3.6000000000058208,0.9343982020530648,3.9269908169872414,0.22902213702455368,0.07,0.13,-0.03,12.87,4.92,16.53,
54918.4,3.7000000000043656,0.9319871243745806,3.8098820724203772,0.26275298915912476,-0.03,-0.02,-0.00,12.94,5.65,16.24,
54918.5,3.8000000000029104,0.9316651759081693,3.985746639702964,0.26146515105942714,-0.06,-0.14,-0.02,13.75,4.07,15.88,
54918.6,3.900000000001455,0.9106591019695569,4.017650704187986,0.2602212954791185,-0.02,-0.05,0.01,11.91,4.89,16.02,
54918.7,4.0,0.9304837451562493,4.110101634249725,0.21021574236112545,-0.03,-0.14,-0.01,14.46,4.79,16.07,
54918.8,4.100000000005821,0.9304300081145277,4.077362244994376,0.2564572518822423,-0.04,0.04,-0.06,11.58,5.27,16.32,
54918.9,4.200000000004366,0.938669270829721,4.112338766982936,0.24778706515485302,-0.02,-0.01,-0.03,11.84,6.06,16.36,
54919.0,4.30000000000291,0.9421783270697751,4.101663015995481,0.2621042296091587,-0.03,-0.03,-0.00,12.08,4.79,16.74,
54919.1,4.400000000001455,0.9200543462209175,4.171969480114106,0.2563015663271812,-0.05,-0.00,0.04,11.91,4.96,16.91,
54919.2,4.5,0.9394147114027969,4.171969480114106,0.25090446321143306,0.00,0.02,0.01,12.26,5.31,17.24,
54919.3,4.600000000005821,0.9214119599831554,4.1360137597935065,0.2618648312799146,0.01,0.01,0.00,10.55,5.99,15.23,
54919.4,4.700000000004366,0.9276313923105449,4.149072718892722,0.24468797591241473,0.01,0.03,0.00,12.01,5.17,15.33,
54919.5,4.80000000000291,0.9284395510748129,4.051345811534002,0.24815008112789413,-0.01,0.01,0.03,11.57,4.96,15.90,
54919.6,4.900000000001455,0.9289779329994874,4.112338766982936,0.25042716554226924,-0.00,-0.04,0.00,10.90,5.96,15.59,
54919.7,5.0,0.9172785836374902,4.0869039401454605,0.24448795722459044,0.01,0.05,0.02,12.30,5.77,15.79,
54919.8,5.100000000005821,0.9192932067626738,4.112338766982936,0.25312291180687657,0.00,0.13,0.02,12.60,4.62,16.91,
54919.9,5.200000000004366,0.9289779329994874,4.112338766982936,0.25042716554226924,0.01,0.07,0.02,13.25,4.65,16.15,
54920.0,5.30000000000291,0.9316651759081693,3.985746639702964,0.26146515105942714,0.01,0.08,-0.00,12.23,4.06,16.87,
54920.1,5.400000000001455,0.9316651759081693,3.985746639702964,0.26146515105942714,0.01,0.03,0.00,13.97,4.28,16.24,
54920.2,5.5,0.9316651759081693,3.985746639702964,0.26146515105942714,-0.00,0.02,0.02,12.69,4.53,16.13,
54920.3,5.600000000005821,0.9316651759081693,3.985746639702964,0.26146515105942714,-0.02,0.02,0.02,13.28,4.28,15.57,
54920.4,5.700000000004366,0.9336487562247379,4.012496110665446,0.26929034472908286,-0.04,-0.03,0.00,13.91,4.32,15.29,
54920.5,5.80000000000291,0.9319871243745806,4.0440995615541055,0.26275298915912476,0.00,-0.03,-0.00,14.24,3.73,15.30,
54920.6,5.900000000001455,0.9316651759081693,3.985746639702964,0.26146515105942714,-0.02,0.04,0.01,12.43,3.42,15.74,
54920.7,6.0,0.9336487562247379,4.012496110665446,0.26929034472908286,-0.01,0.05,0.02,13.14,4.50,15.71,
54920.8,6.100000000005821,0.9316651759081693,3.985746639702964,0.26146515105942714,-0.00,0.03,0.02,12.77,5.48,16.41,
54920.9,6.200000000004366,0.9372833082905083,3.954011266174506,0.2830003733462562,-0.01,0.05,0.01,14.14,5.82,16.41,
54921.0,6.30000000000291,0.9353074360871938,3.9269908169872414,0.2756427992162654,-0.02,0.02,0.01,13.27,5.42,16.91,
54921.1,6.400000000001455,0.9354143466934853,3.9824893222329583,0.2760465951005288,-0.02,-0.01,0.01,12.94,4.28,15.57,
54921.2,6.5,0.9237965143904798,3.955554474826001,0.2713287397242449,-0.02,0.01,0.02,14.31,5.65,17.92,
54921.3,6.600000000005821,0.9256889326334198,3.9269908169872414,0.27858294368058595,-0.01,0.02,0.02,14.82,6.16,16.41,
54921.4,6.700000000004366,0.9334345183246654,3.955554474826001,0.26845749204148517,-0.02,-0.00,0.02,14.31,3.94,15.57,
54921.5,6.80000000000291,0.9316651759081693,3.985746639702964,0.26146515105942714,-0.02,0.04,0.02,14.65,5.99,16.57,
54921.6,6.900000000001455,0.9354143466934853,3.9824893222329583,0.2760465951005288,-0.09,0.05,0.04,13.95,5.17,16.17,
