time,ax,ay,az,gx,gy,gz,mx,my,mz,
71197.6,-0.10,-0.45,0.86,-0.00,-0.00,-0.01,25.78,19.46,-20.76,
71197.7,-0.14,-0.48,0.86,-0.00,0.01,-0.01,26.59,19.46,-20.49,
71197.8,-0.11,-0.48,0.84,0.00,0.01,-0.02,25.33,20.43,-20.40,
71197.9,-0.11,-0.46,0.86,-0.01,-0.01,0.00,26.45,19.17,-20.08,
71198.1,-0.11,-0.46,0.86,0.00,0.00,0.05,24.49,20.81,-19.18,
71198.2,-0.11,-0.45,0.85,-0.00,0.03,0.04,25.67,20.64,-19.35,
71198.3,-0.12,-0.46,0.84,-0.00,0.05,0.02,26.42,21.98,-20.99,
71198.4,-0.12,-0.46,0.85,0.01,0.00,0.05,25.82,20.72,-19.02,
71198.5,-0.19,-0.47,0.88,0.00,0.06,0.02,26.35,21.77,-20.78,
71198.6,-0.12,-0.47,0.87,-0.00,0.04,0.03,25.59,20.47,-19.19,
71198.7,-0.10,-0.41,0.90,-0.01,0.04,0.03,26.09,20.97,-20.00,
71198.8,-0.11,-0.46,0.85,-0.01,0.03,0.04,25.01,20.61,-19.93,
71198.9,-0.12,-0.47,0.86,-0.01,0.03,0.04,25.09,20.97,-20.00,
71199.1,-0.20,-0.45,0.76,0.01,-0.07,0.04,25.90,18.86,-20.13,
71199.2,-0.20,-0.46,0.77,-0.01,-0.09,0.04,25.76,17.61,-20.33,
71199.3,-0.14,-0.46,0.87,-0.01,-0.10,0.06,26.09,18.91,-22.20,
71199.4,-0.16,-0.44,0.85,-0.01,-0.11,0.10,25.65,17.85,-20.36,
71199.5,-0.18,-0.44,0.75,0.05,-0.06,0.06,26.76,18.28,-19.68,
71199.6,-0.18,-0.47,0.80,-0.03,-0.05,0.17,25.25,18.79,-20.49,
71199.7,-0.18,-0.47,0.80,-0.04,-0.02,0.20,25.33,18.71,-20.88,
71199.8,-0.19,-0.44,0.75,-0.03,0.01,0.22,25.42,18.62,-21.31,
71199.9,-0.15,-0.50,0.79,0.03,-0.06,0.04,25.90,19.38,-20.33,
71200.1,-0.15,-0.52,0.89,-0.02,0.18,0.06,25.42,20.64,-20.33,
71200.2,-0.15,-0.52,0.87,-0.02,0.14,0.07,26.26,18.79,-21.48,
71200.3,-0.13,-0.51,0.84,-0.01,0.03,0.11,26.16,20.15,-20.29,
71200.4,-0.11,-0.42,0.95,-0.02,-0.05,0.12,28.26,18.79,-20.17,
71200.5,-0.10,-0.38,0.82,-0.01,0.24,0.03,26.71,14.88,-22.11,
71200.6,-0.15,-0.53,0.90,-0.04,-0.21,0.14,28.09,19.46,-20.17,
71200.7,-0.06,-0.45,0.83,-0.05,-0.27,0.13,26.85,19.20,-20.18,
71200.8,-0.15,-0.53,0.89,-0.06,-0.29,0.12,27.93,20.13,-20.17,
71200.9,-0.06,-0.44,0.86,-0.02,0.21,0.04,26.22,20.13,-19.69,
71201.1,-0.02,-0.18,1.05,1.31,-0.31,-0.03,22.42,4.16,-29.81,
71201.2,-0.01,-0.17,1.04,1.32,-0.27,-0.04,21.58,0.83,-29.20,
71201.3,-0.02,-0.21,1.14,1.33,-0.24,-0.04,21.98,-0.46,-30.76,
71201.4,-0.02,-0.21,1.12,1.34,-0.17,-0.04,23.97,10.00,-28.10,
71201.5,-0.02,-0.20,1.11,1.30,-0.33,-0.03,22.07,7.51,-29.32,
71201.6,-0.02,-0.19,1.09,1.32,-0.11,-0.04,21.75,6.85,-29.49,
71201.7,-0.02,-0.19,1.08,1.30,-0.08,-0.04,18.75,-11.52,-31.58,
71201.8,-0.02,-0.19,1.08,1.28,-0.04,-0.05,24.59,10.71,-27.69,
71201.9,-0.02,-0.18,1.06,1.25,-0.01,-0.06,22.25,6.01,-29.98,
71202.1,0.10,0.48,0.69,0.27,0.08,-0.06,18.57,-15.41,-29.98,
71202.2,0.09,0.50,0.68,0.25,0.07,-0.06,18.91,-15.52,-29.65,
71202.3,0.10,0.48,0.68,0.16,-0.03,-0.04,17.12,-16.42,-32.59,
71202.4,0.09,0.52,0.68,0.23,0.06,-0.06,18.13,-16.30,-30.03,
71202.5,0.09,0.53,0.69,0.10,-0.19,-0.04,17.57,-16.86,-30.30,
