Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,
0.000000,-2.012468,,,,,,-0.954716,,,,,,-1.432305,,,,,,-0.107514,,,,,,0.445817,,,,,,0.520730,,,,,,0.000000,,,,,,-0.931477,,,,,,1.241510,,,,,,
0.025000,-1.825851,,,,,,-0.938772,,,,,,-1.191481,,,,,,-0.105937,,,,,,0.452957,,,,,,0.531022,,,,,,0.000000,,,,,,-0.932541,,,,,,0.991355,,,,,,
0.050000,-1.520840,,,,,,-0.877390,,,,,,-0.864758,,,,,,0.123224,,,,,,0.153101,,,,,,0.229135,,,,,,0.000000,,,,,,-0.936904,,,,,,0.774824,,,,,,
0.075000,-1.229086,,,,,,-0.841630,,,,,,-0.560410,,,,,,0.367101,,,,,,-0.189591,,,,,,0.037024,,,,,,0.000000,,,,,,-0.937582,,,,,,0.588617,,,,,,
0.100000,-0.900990,,,,,,-0.788399,,,,,,-0.275090,,,,,,0.613081,,,,,,-0.503726,,,,,,-0.155086,,,,,,0.000000,,,,,,-0.938815,,,,,,0.413962,,,,,,
0.150000,-0.611591,,,,,,-0.744411,,,,,,0.051343,,,,,,0.850651,,,,,,-0.775024,,,,,,-0.383788,,,,,,0.000000,,,,,,-0.941014,,,,,,0.206044,,,,,,
0.175000,-0.287121,,,,,,-0.631712,,,,,,0.453635,,,,,,1.077710,,,,,,-0.960649,,,,,,-0.658231,,,,,,0.000000,,,,,,-0.645010,,,,,,-0.083945,,,,,,
0.200000,-0.095842,,,,,,-0.492892,,,,,,0.656631,,,,,,1.304768,,,,,,-1.160553,,,,,,-0.950971,,,,,,0.000000,,,,,,-0.647824,,,,,,-0.299601,,,,,,
0.225000,0.218783,,,,,,-0.438149,,,,,,1.001037,,,,,,1.529724,,,,,,-1.374735,,,,,,-1.252858,,,,,,0.000000,,,,,,-0.651474,,,,,,-0.524893,,,,,,
0.250000,0.676451,,,,,,-0.221432,,,,,,1.456879,,,,,,1.985681,,,,,,-1.899483,,,,,,-1.825758,,,,,,0.000000,,,,,,-0.292236,,,,,,-0.757991,,,,,,
0.275000,0.687234,,,,,,-0.246387,,,,,,1.477443,,,,,,1.981739,,,,,,-1.903053,,,,,,-1.865781,,,,,,0.000000,,,,,,-0.366988,,,,,,-0.759162,,,,,,
0.300000,0.756675,,,,,,-0.005606,,,,,,1.397257,,,,,,1.779909,,,,,,-1.588918,,,,,,-1.838337,,,,,,0.000000,,,,,,-0.080075,,,,,,-0.837736,,,,,,
0.325000,0.749329,,,,,,0.220349,,,,,,1.333949,,,,,,1.575977,,,,,,-1.231947,,,,,,-1.801744,,,,,,0.000000,,,,,,0.207849,,,,,,-0.892263,,,,,,
0.350000,0.830535,,,,,,0.452359,,,,,,1.246279,,,,,,1.380454,,,,,,-0.917812,,,,,,-1.710263,,,,,,0.000000,,,,,,0.496840,,,,,,-0.944639,,,,,,
0.400000,0.871384,,,,,,0.619308,,,,,,1.045581,,,,,,1.195444,,,,,,-0.689351,,,,,,-1.563894,,,,,,0.000000,,,,,,0.485846,,,,,,-0.888037,,,,,,
