time,x,y,z,MF
19:46:31:856,26.92,16.09,-22.46,38.58
19:46:31:887,26.76,17.95,-20.99,38.45
19:46:31:918,27.13,17.80,-20.91,38.60
19:46:31:920,28.43,17.27,-20.66,39.16
19:46:31:934,27.38,16.97,-21.39,38.67
19:46:31:947,26.09,16.60,-22.29,38.12
19:46:31:962,27.13,17.65,-21.73,38.98
19:46:31:977,27.59,18.11,-21.48,39.38
19:46:31:992,26.30,17.79,-21.48,38.33
19:46:32:26,26.22,17.78,-21.45,38.26
19:46:32:38,25.42,17.95,-20.99,37.53
19:46:32:56,25.58,17.58,-21.44,37.72
19:46:32:72,25.92,16.77,-22.46,38.18
19:46:32:82,25.48,16.85,-22.88,38.17
19:46:32:97,25.09,16.94,-23.27,38.18
19:46:32:132,26.39,17.99,-22.51,39.07
19:46:32:135,26.76,18.28,-22.29,39.33
19:46:32:157,24.75,18.28,-21.97,37.81
19:46:32:172,24.82,18.35,-22.08,37.96
19:46:32:189,25.25,18.79,-22.78,38.86
19:46:32:206,25.32,18.21,-22.10,38.22
19:46:32:216,25.42,17.27,-20.99,37.22
19:46:32:236,25.62,17.88,-21.18,37.75
19:46:32:246,25.76,18.28,-21.31,38.10
19:46:32:262,26.74,17.86,-22.27,39.11
19:46:32:277,26.92,17.78,-22.46,39.31
19:46:32:320,27.26,18.45,-21.15,39.12
19:46:32:324,26.92,18.25,-21.41,38.94
19:46:32:336,25.59,17.44,-22.46,38.25
19:46:32:352,25.73,17.44,-21.90,38.02
19:46:32:367,25.92,17.44,-21.15,37.73
19:46:32:382,26.15,18.12,-20.49,37.84
19:46:32:397,26.26,18.45,-20.17,37.90
19:46:32:423,26.41,17.97,-22.17,38.89
19:46:32:444,26.39,17.94,-22.25,38.91
19:46:32:460,24.92,17.78,-20.49,36.84
19:46:32:472,25.25,17.78,-20.49,37.06
19:46:32:486,26.26,17.78,-20.49,37.75
19:46:32:508,26.51,18.20,-20.58,38.17
19:46:32:516,26.76,18.62,-20.66,38.59
19:46:32:533,26.88,18.49,-20.28,38.42
19:46:32:547,26.92,18.45,-20.17,38.37
19:46:32:562,26.43,19.28,-21.30,39.04
19:46:32:608,26.38,19.12,-21.27,38.91
19:46:32:609,26.09,17.95,-20.99,37.99
19:46:32:622,26.33,17.95,-20.63,37.96
19:46:32:636,26.76,17.95,-20.00,37.92
19:46:32:652,27.15,18.53,-20.19,38.58
19:46:32:667,27.42,18.95,-20.33,39.05
19:46:32:682,26.88,18.13,-20.06,38.12
19:46:32:697,26.76,17.95,-20.00,37.92
19:46:32:727,26.92,18.45,-19.19,37.86
19:46:32:757,26.80,18.69,-19.13,37.86
19:46:32:759,26.26,19.80,-18.86,37.91
19:46:32:772,26.53,19.66,-19.39,38.29
19:46:32:788,26.92,19.46,-20.17,38.86
19:46:32:824,27.90,19.35,-20.06,39.44
19:46:32:826,28.43,19.29,-20.00,39.75
19:46:32:835,27.42,19.15,-20.99,39.48
19:46:32:855,27.26,19.12,-21.15,39.45
19:46:32:877,26.76,19.29,-19.35,38.24
19:46:32:892,26.68,19.06,-19.42,38.11
19:46:32:923,26.42,18.28,-19.68,37.68
19:46:32:924,26.66,19.01,-19.44,38.08
19:46:32:949,26.92,19.80,-19.19,38.53
19:46:32:952,26.92,19.05,-19.67,38.40
19:46:32:969,26.92,18.79,-19.84,38.36
19:46:32:981,26.76,19.27,-19.36,38.24
19:46:33:18,26.84,19.20,-19.47,38.32
19:46:33:27,27.59,18.45,-20.49,39.01
19:46:33:42,27.53,18.73,-20.22,38.96
19:46:33:58,27.42,19.29,-19.68,38.88
19:46:33:73,27.33,19.38,-19.40,38.72
19:46:33:92,27.26,19.46,-19.19,38.60
19:46:33:114,27.39,18.00,-19.83,38.31
19:46:33:117,27.42,17.61,-20.00,38.24
19:46:33:148,27.09,18.62,-19.35,38.14
19:46:33:164,26.93,18.72,-19.30,38.06
19:46:33:182,26.09,19.29,-19.02,37.61
19:46:33:192,26.09,18.64,-18.90,37.22
19:46:33:228,26.09,17.61,-18.70,36.61
19:46:33:230,26.83,18.57,-19.21,37.86
19:46:33:237,27.26,19.12,-19.51,38.59
19:46:33:254,26.66,19.12,-18.92,37.87
19:46:33:267,26.59,19.12,-18.86,37.79
19:46:33:296,27.59,19.46,-19.84,39.16
19:46:33:312,27.18,19.32,-19.91,38.84
19:46:33:326,25.59,18.79,-20.17,37.61
19:46:33:342,26.52,18.16,-20.17,37.95
19:46:33:360,27.59,17.44,-20.17,38.37
19:46:33:372,26.03,18.77,-19.58,37.59
19:46:33:387,25.42,19.29,-19.35,37.32
19:46:33:402,26.21,18.49,-20.12,37.87
19:46:33:432,26.26,18.53,-20.17,37.94
19:46:33:447,26.26,19.46,-20.17,38.40
19:46:33:463,26.31,20.15,-20.12,38.77
19:46:33:480,26.42,21.64,-20.00,39.58
19:46:33:493,25.97,20.28,-19.38,38.23
19:46:33:510,25.59,19.12,-18.86,37.10
19:46:33:522,25.97,18.22,-19.24,37.10
19:46:33:541,26.09,17.95,-19.35,37.11
19:46:33:552,26.42,19.95,-18.70,38.02
19:46:33:582,26.65,20.05,-18.97,38.37
19:46:33:599,28.09,20.64,-20.66,40.52
19:46:33:615,27.79,20.45,-20.24,40.00
19:46:33:627,27.26,20.13,-19.51,39.10
19:46:33:642,26.64,19.51,-19.91,38.56
19:46:33:657,26.26,19.12,-20.17,38.23
19:46:33:672,26.84,19.12,-19.59,38.34
19:46:33:687,26.92,19.12,-19.51,38.36
19:46:33:717,27.26,19.46,-20.17,39.09
19:46:33:733,27.38,19.46,-20.17,39.18
19:46:33:747,27.93,19.46,-20.17,39.56
19:46:33:761,27.70,19.83,-19.95,39.48
19:46:33:777,27.42,20.30,-19.68,39.39
19:46:33:792,27.19,19.36,-20.13,38.98
19:46:33:806,27.09,18.95,-20.33,38.81
19:46:33:821,25.70,19.73,-19.88,38.01
19:46:33:852,25.59,19.73,-19.91,37.95
19:46:33:866,25.59,18.79,-20.82,37.96
19:46:33:881,25.83,19.13,-20.77,38.28
19:46:33:896,26.42,19.96,-20.66,39.03
19:46:33:912,26.60,19.09,-21.00,38.89
19:46:33:926,26.76,18.28,-21.31,38.79
19:46:33:942,26.50,19.56,-20.32,38.70
19:46:33:956,26.42,19.96,-20.00,38.69
19:46:33:972,25.61,18.82,-18.89,36.97
19:46:34:1,25.86,18.79,-19.01,37.19
19:46:34:16,27.93,18.79,-20.17,39.24
19:46:34:32,27.41,18.84,-19.89,38.76
19:46:34:46,26.42,18.95,-19.35,37.84
19:46:34:61,26.42,19.15,-19.93,38.24
19:46:34:76,26.42,19.29,-20.33,38.52
19:46:34:51,25.56,20.16,-20.05,38.23
19:46:34:53,25.42,20.30,-20.00,38.19
19:46:34:62,26.92,20.80,-19.51,39.22
19:46:34:69,26.81,20.58,-19.57,39.06
19:46:34:73,26.26,19.46,-19.84,38.23
19:46:34:88,26.26,19.89,-19.84,38.45
19:46:34:103,26.26,20.47,-19.84,38.76
19:46:34:119,25.92,19.90,-20.62,38.63
19:46:34:133,25.76,19.63,-20.99,38.59
19:46:34:148,25.76,19.63,-19.80,37.96
19:46:34:179,25.79,19.60,-19.65,37.89
19:46:34:193,26.59,19.12,-19.19,37.96
19:46:34:208,26.96,19.21,-19.45,38.40
19:46:34:223,27.93,19.46,-20.17,39.56
19:46:34:239,26.67,19.37,-19.43,38.27
19:46:34:253,25.42,19.29,-18.70,36.99
19:46:34:269,25.78,19.65,-19.29,37.72
19:46:34:283,25.92,19.80,-19.51,38.01
19:46:34:326,26.08,20.27,-19.36,38.29
19:46:34:328,26.15,20.17,-19.32,38.26
19:46:34:343,26.76,18.95,-19.02,37.91
19:46:34:359,26.76,19.49,-19.23,38.29
19:46:34:374,26.76,20.64,-19.68,39.10
19:46:34:389,26.57,19.86,-19.49,38.47
19:46:34:404,26.42,19.29,-19.35,38.01
19:46:34:419,26.70,19.29,-20.72,38.92
19:46:34:434,26.76,19.29,-20.99,39.10
19:46:34:463,25.59,20.13,-19.84,38.13
19:46:34:479,25.54,19.99,-19.93,38.07
19:46:34:494,25.25,19.12,-20.49,37.73
19:46:34:509,25.25,19.53,-20.49,37.94
19:46:34:541,25.25,20.13,-20.49,38.25
19:46:34:543,25.25,20.13,-20.49,38.25
19:46:34:559,26.92,19.12,-19.84,38.53
19:46:34:574,26.65,20.14,-20.11,38.99
19:46:34:589,26.42,20.97,-20.33,39.39
19:46:34:604,27.07,18.50,-21.47,39.19
19:46:34:619,27.26,17.78,-21.80,39.17
19:46:34:634,24.92,18.79,-20.17,37.16
19:46:34:664,25.26,18.79,-19.93,37.26
19:46:34:679,27.26,18.79,-18.53,37.94
19:46:34:694,26.82,18.60,-18.84,37.69
19:46:34:709,26.09,18.28,-19.35,37.27
19:46:34:728,26.92,20.16,-19.35,38.80
19:46:34:739,27.42,21.31,-19.35,39.76
19:46:34:754,28.02,20.11,-19.93,39.83
19:46:34:769,28.09,19.96,-20.00,39.85
19:46:34:799,25.76,19.63,-19.35,37.72
19:46:34:819,26.04,19.66,-19.26,37.89
19:46:34:832,27.26,19.80,-18.86,38.61
19:46:34:845,26.73,19.26,-19.38,38.22
19:46:34:860,26.09,18.62,-20.00,37.78
19:46:34:875,25.73,19.21,-20.12,37.90
19:46:34:910,25.59,19.46,-20.17,37.95
19:46:34:911,27.30,19.62,-18.18,38.22
19:46:34:944,27.40,19.65,-18.14,38.29
19:46:34:949,27.09,19.96,-19.35,38.82
19:46:34:968,26.85,19.91,-19.58,38.74
19:46:34:979,26.26,19.80,-20.17,38.57
19:46:34:994,26.17,19.71,-19.39,38.06
19:46:35:10,26.09,19.63,-18.70,37.62
19:46:35:25,26.47,20.26,-19.31,38.52
19:46:35:39,26.59,20.47,-19.51,38.82
19:46:35:54,27.08,19.64,-19.35,38.65
19:46:35:84,26.92,19.54,-19.39,38.51
19:46:35:100,25.76,18.95,-19.68,37.55
19:46:35:114,25.70,19.25,-19.85,37.75
19:46:35:129,25.59,19.80,-20.17,38.12
19:46:35:145,25.39,19.80,-19.58,37.68
19:46:35:159,25.25,19.80,-19.19,37.39
19:46:35:174,26.34,20.07,-19.72,38.54
19:46:35:189,26.59,20.13,-19.84,38.81
19:46:35:219,24.75,18.62,-20.33,37.05
19:46:35:234,25.12,18.70,-20.30,37.32
19:46:35:249,26.92,19.12,-20.17,38.69
19:46:35:264,26.42,19.78,-19.95,38.56
19:46:35:279,25.76,20.64,-19.68,38.42
19:46:35:294,26.33,20.29,-20.01,38.80
19:46:35:309,26.59,20.13,-20.17,38.97
19:46:35:324,26.13,20.28,-20.91,39.14
19:46:35:339,26.09,20.30,-20.99,39.15
19:46:35:369,27.26,20.13,-19.84,39.27
19:46:35:384,26.68,20.09,-20.23,39.05
19:46:35:399,25.09,19.96,-21.31,38.50
19:46:35:422,25.85,19.36,-21.06,38.56
19:46:35:432,26.59,18.79,-20.82,38.65
19:46:35:444,25.98,19.65,-21.18,38.85
19:46:35:459,25.76,19.96,-21.31,38.94
19:46:35:474,25.27,19.15,-20.21,37.61
19:46:35:504,25.36,19.16,-20.20,37.66
19:46:35:522,26.26,19.46,-20.49,38.57
19:46:35:534,25.60,19.57,-20.49,38.18
19:46:35:549,24.25,19.80,-20.49,37.42
19:46:35:564,24.44,19.24,-21.04,37.55
19:46:35:579,24.59,18.79,-21.48,37.66
19:46:35:594,25.78,18.92,-19.53,37.47
19:46:35:609,26.09,18.95,-19.02,37.44
19:46:35:639,26.76,18.28,-20.33,38.26
19:46:35:655,26.63,18.46,-20.21,38.19
19:46:35:670,25.92,19.46,-19.51,37.83
19:46:35:685,25.51,19.74,-19.78,37.84
19:46:35:700,24.92,20.13,-20.17,37.86
19:46:35:718,25.92,20.24,-20.28,38.64
19:46:35:729,26.42,20.30,-20.33,39.03
19:46:35:744,26.42,20.00,-20.04,38.73
19:46:35:762,26.42,19.96,-20.00,38.69
19:46:35:789,26.59,19.46,-20.17,38.63
19:46:35:805,26.30,19.33,-20.29,38.43
19:46:35:819,25.42,18.95,-20.66,37.85
19:46:35:842,25.83,19.69,-20.10,38.19
19:46:35:849,26.26,20.47,-19.51,38.59
19:46:35:864,26.73,19.51,-19.28,38.30
19:46:35:879,26.92,19.12,-19.19,38.19
19:46:35:894,26.29,19.76,-21.65,39.37
19:46:35:925,26.21,19.84,-21.65,39.36
19:46:35:939,25.76,20.30,-20.00,38.41
19:46:35:954,25.76,20.09,-19.60,38.09
19:46:35:969,25.76,19.63,-18.70,37.39
19:46:36:4,25.67,19.36,-18.96,37.32
19:46:36:6,25.59,19.12,-19.19,37.26
19:46:36:14,25.59,19.90,-19.94,38.06
19:46:36:29,25.59,20.13,-20.17,38.30
19:46:36:59,26.26,19.46,-20.82,38.75
19:46:36:74,26.08,19.50,-20.69,38.58
19:46:36:89,24.92,19.80,-19.84,37.50
19:46:36:105,25.18,20.06,-19.84,37.82
19:46:36:119,25.59,20.47,-19.84,38.31
19:46:36:135,25.48,19.71,-20.37,38.11
19:46:36:150,25.42,19.29,-20.66,38.01
19:46:36:165,25.13,19.88,-20.09,37.82
19:46:36:179,25.09,19.96,-20.00,37.79
19:46:36:209,25.25,20.80,-20.82,38.78
19:46:36:224,25.56,20.65,-20.75,38.86
19:46:36:239,26.59,20.13,-20.49,39.14
19:46:36:254,25.42,20.21,-20.72,38.52
19:46:36:270,24.09,20.30,-20.99,37.85
19:46:36:285,25.01,19.60,-20.99,38.08
19:46:36:299,25.42,19.29,-20.99,38.19
19:46:36:314,25.73,19.29,-20.99,38.40
19:46:36:344,25.72,19.34,-20.99,38.43
19:46:36:359,25.25,20.13,-21.15,38.60
19:46:36:374,25.21,20.08,-21.10,38.52
19:46:36:389,25.09,19.96,-20.99,38.32
19:46:36:404,25.17,19.70,-20.73,38.10
19:46:36:419,25.25,19.46,-20.49,37.90
19:46:36:434,26.01,19.46,-20.49,38.41
19:46:36:449,26.26,19.46,-20.49,38.57
19:46:36:479,24.59,19.46,-20.17,37.28
19:46:36:494,24.95,19.49,-20.13,37.52
19:46:36:509,27.93,19.80,-19.84,39.57
19:46:36:524,26.92,19.92,-19.84,38.93
19:46:36:539,25.25,20.13,-19.84,37.90
19:46:36:554,25.84,19.93,-20.61,38.60
19:46:36:569,26.26,19.80,-21.15,39.10
19:46:36:584,26.26,19.80,-19.76,38.36
19:46:36:599,26.26,19.80,-19.51,38.24
19:46:36:629,25.92,19.46,-19.19,37.67
19:46:36:644,25.75,19.28,-19.49,37.61
19:46:36:659,25.09,18.62,-20.66,37.45
19:46:36:675,25.68,19.52,-20.66,38.30
19:46:36:689,26.42,20.64,-20.66,39.38
19:46:36:704,26.09,20.52,-20.55,39.04
19:46:36:719,25.92,20.47,-20.49,38.87
19:46:36:736,27.28,20.92,-18.87,39.22
19:46:36:764,27.39,20.92,-18.78,39.25
19:46:36:779,26.59,19.80,-20.82,39.15
19:46:36:794,26.32,19.80,-20.56,38.83
19:46:36:810,25.59,19.80,-19.84,37.95
19:46:36:824,26.16,20.04,-20.08,38.59
19:46:36:850,26.76,20.30,-20.33,39.26
19:46:36:860,26.18,18.95,-20.33,38.18
19:46:36:869,25.76,17.95,-20.33,37.40
19:46:36:899,25.76,20.97,-19.35,38.44
19:46:36:915,25.77,20.78,-19.36,38.35
19:46:36:929,25.92,18.79,-19.51,37.49
19:46:36:944,25.86,18.85,-19.57,37.51
19:46:36:959,25.76,18.95,-19.68,37.55
19:46:36:975,25.28,19.24,-20.88,38.02
19:46:36:989,24.92,19.46,-21.80,38.41
19:46:37:4,25.47,20.57,-20.18,38.46
19:46:37:19,25.59,20.80,-19.84,38.49
19:46:37:51,25.59,19.46,-20.82,38.30
19:46:37:65,25.78,19.46,-20.76,38.39
