Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,
0.000000,-0.839870,,,,,,,-1.264955,,,,,,,-1.877800,,,,,,,-0.077673,,,,,,,0.206280,,,,,,,-0.761741,,,,,,,0.000000,,,,,,,-1.291124,,,,,,,1.315712,,,,,,,
0.019231,-0.932385,,,,,,,-1.233801,,,,,,,-1.715830,,,,,,,0.153416,,,,,,,-0.057036,,,,,,,-0.384803,,,,,,,0.000000,,,,,,,-1.293374,,,,,,,1.317890,,,,,,,
0.038462,-1.020256,,,,,,,-1.195663,,,,,,,-1.544347,,,,,,,0.388422,,,,,,,-0.329707,,,,,,,-0.013029,,,,,,,0.000000,,,,,,,-1.296290,,,,,,,1.314701,,,,,,,
0.057692,-1.109829,,,,,,,-1.151054,,,,,,,-1.363911,,,,,,,0.607761,,,,,,,-0.543568,,,,,,,0.363909,,,,,,,0.000000,,,,,,,-1.299945,,,,,,,1.296040,,,,,,,
0.096154,-1.195634,,,,,,,-1.091733,,,,,,,-1.182857,,,,,,,0.828406,,,,,,,-0.765447,,,,,,,0.740847,,,,,,,0.000000,,,,,,,-1.305219,,,,,,,1.277382,,,,,,,
0.115385,-1.276618,,,,,,,-1.028878,,,,,,,-0.983239,,,,,,,1.050356,,,,,,,-0.995347,,,,,,,1.120366,,,,,,,0.000000,,,,,,,-1.310699,,,,,,,1.236632,,,,,,,
0.134615,-1.348041,,,,,,,-0.940385,,,,,,,-0.727953,,,,,,,1.274917,,,,,,,-1.235940,,,,,,,1.497304,,,,,,,0.000000,,,,,,,-1.021239,,,,,,,1.133572,,,,,,,
0.153846,-1.330042,,,,,,,-0.753921,,,,,,,-0.409193,,,,,,,1.502090,,,,,,,-1.483215,,,,,,,1.874242,,,,,,,0.000000,,,,,,,-0.747487,,,,,,,0.916757,,,,,,,
0.173077,-1.439918,,,,,,,-0.609442,,,,,,,0.101954,,,,,,,1.693685,,,,,,,-1.656810,,,,,,,2.161463,,,,,,,0.000000,,,,,,,-0.350061,,,,,,,0.703433,,,,,,,
0.192308,-1.364950,,,,,,,-0.504823,,,,,,,0.293864,,,,,,,1.780180,,,,,,,-1.730491,,,,,,,2.129836,,,,,,,0.000000,,,,,,,0.123730,,,,,,,0.457796,,,,,,,
0.211538,-1.082358,,,,,,,-0.195819,,,,,,,0.417683,,,,,,,1.545174,,,,,,,-1.455146,,,,,,,1.729663,,,,,,,0.000000,,,,,,,0.401473,,,,,,,0.213637,,,,,,,
0.230769,-0.758231,,,,,,,0.109822,,,,,,,0.494961,,,,,,,1.310168,,,,,,,-1.282722,,,,,,,1.326907,,,,,,,0.000000,,,,,,,0.679606,,,,,,,-0.006467,,,,,,,
