Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,
0.000000,-0.027174,,,,,,,,-0.034828,,,,,,,,-0.037520,,,,,,,,0.002211,,,,,,,,-0.006309,,,,,,,,-0.005832,,,,,,,,0.000000,,,,,,,,-0.037387,,,,,,,,0.034738,,,,,,,,
0.026316,-0.030982,,,,,,,,-0.033648,,,,,,,,-0.031431,,,,,,,,0.017687,,,,,,,,-0.025593,,,,,,,,0.012678,,,,,,,,0.000000,,,,,,,,-0.037485,,,,,,,,0.034825,,,,,,,,
0.052632,-0.034598,,,,,,,,-0.032204,,,,,,,,-0.024984,,,,,,,,0.033425,,,,,,,,-0.045563,,,,,,,,0.030934,,,,,,,,0.000000,,,,,,,,-0.037611,,,,,,,,0.034697,,,,,,,,
0.078947,-0.038285,,,,,,,,-0.030515,,,,,,,,-0.018200,,,,,,,,0.048114,,,,,,,,-0.061225,,,,,,,,0.049443,,,,,,,,0.000000,,,,,,,,-0.037770,,,,,,,,0.033951,,,,,,,,
0.131579,-0.041817,,,,,,,,-0.028269,,,,,,,,-0.011393,,,,,,,,0.062891,,,,,,,,-0.077475,,,,,,,,0.067953,,,,,,,,0.000000,,,,,,,,-0.037999,,,,,,,,0.033205,,,,,,,,
0.157895,-0.045150,,,,,,,,-0.025889,,,,,,,,-0.003888,,,,,,,,0.077755,,,,,,,,-0.094312,,,,,,,,0.086589,,,,,,,,0.000000,,,,,,,,-0.038237,,,,,,,,0.031575,,,,,,,,
0.184211,-0.048089,,,,,,,,-0.022538,,,,,,,,0.005710,,,,,,,,0.092794,,,,,,,,-0.111932,,,,,,,,0.105099,,,,,,,,0.000000,,,,,,,,-0.025661,,,,,,,,0.027454,,,,,,,,
0.210526,-0.047349,,,,,,,,-0.015478,,,,,,,,0.017695,,,,,,,,0.108008,,,,,,,,-0.130041,,,,,,,,0.123609,,,,,,,,0.000000,,,,,,,,-0.013766,,,,,,,,0.018783,,,,,,,,
0.236842,-0.051871,,,,,,,,-0.010007,,,,,,,,0.036912,,,,,,,,0.120839,,,,,,,,-0.142755,,,,,,,,0.137713,,,,,,,,0.000000,,,,,,,,0.003502,,,,,,,,0.010252,,,,,,,,
0.263158,-0.048785,,,,,,,,-0.006046,,,,,,,,0.044128,,,,,,,,0.126632,,,,,,,,-0.148151,,,,,,,,0.136160,,,,,,,,0.000000,,,,,,,,0.024088,,,,,,,,0.000428,,,,,,,,
