Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,aclx 11,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,acly 11,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,aclz 11,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyrx 11,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyry 11,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,gyrz 11,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magr 11,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magphi 11,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,magtheta 11,
0.000000,-0.037455,,,,,,,,,,,-0.028001,,,,,,,,,,,-0.016606,,,,,,,,,,,0.000474,,,,,,,,,,,0.003625,,,,,,,,,,,0.002884,,,,,,,,,,,0.000000,,,,,,,,,,,-0.027931,,,,,,,,,,,0.043452,,,,,,,,,,,
0.200000,-0.038031,,,,,,,,,,,-0.027979,,,,,,,,,,,-0.017671,,,,,,,,,,,0.000431,,,,,,,,,,,0.003817,,,,,,,,,,,0.003866,,,,,,,,,,,0.000000,,,,,,,,,,,-0.027932,,,,,,,,,,,0.045950,,,,,,,,,,,
0.400000,-0.037975,,,,,,,,,,,-0.027894,,,,,,,,,,,-0.017091,,,,,,,,,,,0.000629,,,,,,,,,,,0.004037,,,,,,,,,,,0.004186,,,,,,,,,,,0.000000,,,,,,,,,,,-0.027933,,,,,,,,,,,0.045125,,,,,,,,,,,
0.600000,-0.038232,,,,,,,,,,,-0.027838,,,,,,,,,,,-0.017000,,,,,,,,,,,0.000583,,,,,,,,,,,0.004346,,,,,,,,,,,0.003936,,,,,,,,,,,0.000000,,,,,,,,,,,-0.027939,,,,,,,,,,,0.045077,,,,,,,,,,,
0.800000,-0.037921,,,,,,,,,,,-0.027758,,,,,,,,,,,-0.016512,,,,,,,,,,,0.000643,,,,,,,,,,,0.003732,,,,,,,,,,,0.003430,,,,,,,,,,,0.000000,,,,,,,,,,,-0.027947,,,,,,,,,,,0.044189,,,,,,,,,,,
1.000000,-0.038195,,,,,,,,,,,-0.027787,,,,,,,,,,,-0.016303,,,,,,,,,,,0.000547,,,,,,,,,,,0.003945,,,,,,,,,,,0.004364,,,,,,,,,,,0.000000,,,,,,,,,,,-0.027955,,,,,,,,,,,0.044471,,,,,,,,,,,
0.000000,,-0.031910,,,,,,,,,,,-0.027903,,,,,,,,,,,-0.009560,,,,,,,,,,,-0.000417,,,,,,,,,,,-0.008877,,,,,,,,,,,0.005299,,,,,,,,,,,0.000000,,,,,,,,,,,-0.027898,,,,,,,,,,,0.033551,,,,,,,,,,
0.019608,,-0.029795,,,,,,,,,,,-0.028002,,,,,,,,,,,-0.005298,,,,,,,,,,,0.005247,,,,,,,,,,,-0.020657,,,,,,,,,,,0.008141,,,,,,,,,,,0.000000,,,,,,,,,,,-0.027831,,,,,,,,,,,0.025364,,,,,,,,,,
0.039216,,-0.021963,,,,,,,,,,,-0.027641,,,,,,,,,,,0.021303,,,,,,,,,,,0.004018,,,,,,,,,,,-0.021485,,,,,,,,,,,0.007168,,,,,,,,,,,0.000000,,,,,,,,,,,-0.027855,,,,,,,,,,,0.012693,,,,,,,,,,
0.058824,,-0.014589,,,,,,,,,,,-0.024985,,,,,,,,,,,0.036865,,,,,,,,,,,0.019154,,,,,,,,,,,-0.026187,,,,,,,,,,,0.004676,,,,,,,,,,,0.000000,,,,,,,,,,,-0.028127,,,,,,,,,,,-0.003511,,,,,,,,,,
0.078431,,-0.007608,,,,,,,,,,,-0.023083,,,,,,,,,,,0.051690,,,,,,,,,,,0.034098,,,,,,,,,,,-0.041359,,,,,,,,,,,0.000003,,,,,,,,,,,0.000000,,,,,,,,,,,-0.028259,,,,,,,,,,,-0.016885,,,,,,,,,,
0.098039,,-0.001364,,,,,,,,,,,-0.020722,,,,,,,,,,,0.065766,,,,,,,,,,,0.049235,,,,,,,,,,,-0.050976,,,,,,,,,,,-0.004670,,,,,,,,,,,0.000000,,,,,,,,,,,-0.028410,,,,,,,,,,,-0.028951,,,,,,,,,,
