Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,acly 1,acly 2,acly 3,acly 4,aclz 1,aclz 2,aclz 3,aclz 4,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyry 1,gyry 2,gyry 3,gyry 4,gyrz 1,gyrz 2,gyrz 3,gyrz 4,magr 1,magr 2,magr 3,magr 4,magphi 1,magphi 2,magphi 3,magphi 4,magtheta 1,magtheta 2,magtheta 3,magtheta 4,
0.000000,-0.107793,,,,-0.394203,,,,-0.505359,,,,-0.232150,,,,0.366107,,,,-0.172874,,,,0.000000,,,,0.058221,,,,0.460180,,,,
0.041667,-0.162613,,,,-0.353520,,,,-0.410753,,,,-0.233165,,,,0.329730,,,,-0.172874,,,,0.000000,,,,-0.036660,,,,0.387960,,,,
0.083333,-0.194311,,,,-0.317068,,,,-0.338492,,,,-0.174427,,,,0.205914,,,,-0.116378,,,,0.000000,,,,-0.100005,,,,0.334879,,,,
0.125000,-0.203206,,,,-0.275706,,,,-0.276858,,,,-0.113120,,,,0.123816,,,,-0.063307,,,,0.000000,,,,-0.156094,,,,0.280523,,,,
0.166667,-0.219964,,,,-0.244145,,,,-0.219533,,,,-0.053605,,,,0.051729,,,,-0.015371,,,,0.000000,,,,-0.209205,,,,0.235661,,,,
0.208333,-0.221192,,,,-0.197986,,,,-0.157093,,,,0.004835,,,,-0.010346,,,,0.029141,,,,0.000000,,,,-0.174591,,,,0.178883,,,,
0.291667,-0.225638,,,,-0.149061,,,,-0.095223,,,,0.066860,,,,-0.104459,,,,0.083925,,,,0.000000,,,,-0.140290,,,,0.123353,,,,
0.333333,-0.229990,,,,-0.115760,,,,-0.041121,,,,0.123506,,,,-0.152517,,,,0.126725,,,,0.000000,,,,-0.229397,,,,0.065666,,,,
0.375000,-0.247218,,,,-0.079698,,,,0.019137,,,,0.179436,,,,-0.190563,,,,0.172949,,,,0.000000,,,,-0.283884,,,,0.015323,,,,
0.416667,-0.213000,,,,-0.018374,,,,0.086297,,,,0.240744,,,,-0.280671,,,,0.226020,,,,0.000000,,,,-0.249893,,,,-0.045701,,,,
0.458333,-0.140478,,,,0.026395,,,,0.106158,,,,0.297928,,,,-0.279670,,,,0.277523,,,,0.000000,,,,-0.276348,,,,-0.074498,,,,
0.500000,-0.046524,,,,0.080082,,,,0.124981,,,,0.344357,,,,-0.336738,,,,0.311620,,,,0.000000,,,,-0.168657,,,,-0.105831,,,,
0.541667,0.008684,,,,0.108864,,,,0.133751,,,,0.281615,,,,-0.262649,,,,0.253412,,,,0.000000,,,,-0.081226,,,,-0.123638,,,,
0.583333,0.059858,,,,0.127196,,,,0.138833,,,,0.219232,,,,-0.194567,,,,0.195205,,,,0.000000,,,,0.009403,,,,-0.132111,,,,
0.625000,0.112351,,,,0.155427,,,,0.148618,,,,0.158283,,,,-0.138500,,,,0.142133,,,,0.000000,,,,0.096927,,,,-0.149377,,,,
0.708333,0.153305,,,,0.168753,,,,0.152599,,,,0.098768,,,,-0.090442,,,,0.090773,,,,0.000000,,,,0.096795,,,,-0.154936,,,,
0.750000,0.190846,,,,0.179631,,,,0.156825,,,,0.036026,,,,-0.012348,,,,0.030853,,,,0.000000,,,,0.096933,,,,-0.159358,,,,
0.791667,0.239778,,,,0.205959,,,,0.163894,,,,-0.020979,,,,0.021693,,,,-0.015371,,,,0.000000,,,,0.184750,,,,-0.170787,,,,
0.833333,0.288915,,,,0.227701,,,,0.165519,,,,-0.077984,,,,0.049726,,,,-0.065019,,,,0.000000,,,,0.273576,,,,-0.181283,,,,
0.875000,0.291720,,,,0.224970,,,,0.158066,,,,-0.146403,,,,0.138834,,,,-0.124225,,,,0.000000,,,,0.288729,,,,-0.183121,,,,
0.916667,0.307907,,,,0.225107,,,,0.164842,,,,-0.289513,,,,0.209919,,,,-0.308122,,,,0.000000,,,,0.362560,,,,-0.202569,,,,
0.958333,0.291755,,,,0.214004,,,,0.163087,,,,-0.333612,,,,0.259979,,,,-0.400569,,,,0.000000,,,,0.364508,,,,-0.201654,,,,
1.000000,0.266808,,,,0.201435,,,,0.161827,,,,-0.376635,,,,0.296023,,,,-0.486169,,,,0.000000,,,,0.273850,,,,-0.197562,,,,
0.000000,,0.438174,,,,-0.307049,,,,-0.427257,,,,-0.365147,,,,0.336341,,,,-0.371528,,,,0.000000,,,,-0.131841,,,,0.360252,,,
0.062500,,0.298261,,,,-0.274132,,,,-0.363003,,,,-0.262607,,,,0.243097,,,,-0.267783,,,,0.000000,,,,-0.222938,,,,0.314800,,,
0.187500,,0.221042,,,,-0.274180,,,,-0.333943,,,,-0.155271,,,,0.146462,,,,-0.158902,,,,0.000000,,,,-0.313775,,,,0.324881,,,
0.250000,,0.080274,,,,-0.248625,,,,-0.266354,,,,-0.070121,,,,0.066781,,,,-0.069538,,,,0.000000,,,,-0.252771,,,,0.265334,,,
0.312500,,-0.058282,,,,-0.219731,,,,-0.197004,,,,0.045611,,,,-0.050198,,,,0.046533,,,,0.000000,,,,-0.193279,,,,0.205955,,,
0.375000,,-0.134263,,,,-0.220446,,,,-0.167232,,,,0.165540,,,,-0.173959,,,,0.166713,,,,0.000000,,,,-0.281929,,,,0.214688,,,
0.437500,,-0.270176,,,,-0.169032,,,,-0.065352,,,,0.324896,,,,-0.353383,,,,0.322331,,,,0.000000,,,,-0.164313,,,,0.107301,,,
0.500000,,-0.380497,,,,-0.080243,,,,0.048365,,,,0.416192,,,,-0.419784,,,,0.417345,,,,0.000000,,,,-0.109894,,,,0.025514,,,
0.555556,,-0.321275,,,,-0.003437,,,,0.097811,,,,0.337038,,,,-0.328235,,,,0.337225,,,,0.000000,,,,-0.056790,,,,-0.047228,,,
0.611111,,-0.265687,,,,0.071427,,,,0.146773,,,,0.245892,,,,-0.231600,,,,0.245806,,,,0.000000,,,,-0.004338,,,,-0.118763,,,
0.666667,,-0.213455,,,,0.147474,,,,0.198190,,,,0.149349,,,,-0.133270,,,,0.149251,,,,0.000000,,,,0.046438,,,,-0.189873,,,
0.777778,,-0.082608,,,,0.191055,,,,0.211695,,,,0.046810,,,,-0.034940,,,,0.047560,,,,0.000000,,,,0.193262,,,,-0.210936,,,
0.833333,,-0.023489,,,,0.264760,,,,0.258783,,,,-0.061726,,,,0.068476,,,,-0.060293,,,,0.000000,,,,0.341789,,,,-0.284994,,,
0.888889,,0.115501,,,,0.315679,,,,0.264916,,,,-0.143278,,,,0.161720,,,,-0.142467,,,,0.000000,,,,0.336597,,,,-0.291982,,,
0.944444,,0.240956,,,,0.362170,,,,0.271398,,,,-0.262607,,,,0.280395,,,,-0.259566,,,,0.000000,,,,0.333872,,,,-0.296468,,,
