Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,aclx 11,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,acly 11,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,aclz 11,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyrx 11,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyry 11,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,gyrz 11,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magr 11,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magphi 11,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,magtheta 11,
0.000000,-0.154724,,,,,,,,,,,0.041551,,,,,,,,,,,0.041659,,,,,,,,,,,-0.005723,,,,,,,,,,,-0.008416,,,,,,,,,,,-0.015019,,,,,,,,,,,0.000000,,,,,,,,,,,-0.119336,,,,,,,,,,,-0.015125,,,,,,,,,,,
0.050000,-0.147338,,,,,,,,,,,0.032641,,,,,,,,,,,0.035453,,,,,,,,,,,-0.012354,,,,,,,,,,,-0.014392,,,,,,,,,,,-0.019974,,,,,,,,,,,0.000000,,,,,,,,,,,-0.118210,,,,,,,,,,,-0.008287,,,,,,,,,,,
0.100000,-0.140693,,,,,,,,,,,0.024395,,,,,,,,,,,0.028366,,,,,,,,,,,-0.017701,,,,,,,,,,,-0.018538,,,,,,,,,,,-0.022910,,,,,,,,,,,0.000000,,,,,,,,,,,-0.105918,,,,,,,,,,,-0.000267,,,,,,,,,,,
0.150000,-0.132377,,,,,,,,,,,0.015985,,,,,,,,,,,0.019821,,,,,,,,,,,-0.022992,,,,,,,,,,,-0.021916,,,,,,,,,,,-0.024378,,,,,,,,,,,0.000000,,,,,,,,,,,-0.094498,,,,,,,,,,,0.006228,,,,,,,,,,,
0.200000,-0.125258,,,,,,,,,,,0.008210,,,,,,,,,,,0.013935,,,,,,,,,,,-0.028620,,,,,,,,,,,-0.026062,,,,,,,,,,,-0.029271,,,,,,,,,,,0.000000,,,,,,,,,,,-0.093667,,,,,,,,,,,0.013563,,,,,,,,,,,
0.300000,-0.117694,,,,,,,,,,,0.000760,,,,,,,,,,,0.008191,,,,,,,,,,,-0.033966,,,,,,,,,,,-0.026369,,,,,,,,,,,-0.026825,,,,,,,,,,,0.000000,,,,,,,,,,,-0.093605,,,,,,,,,,,0.021460,,,,,,,,,,,
0.350000,-0.106599,,,,,,,,,,,-0.007362,,,,,,,,,,,0.000394,,,,,,,,,,,-0.039257,,,,,,,,,,,-0.025140,,,,,,,,,,,-0.022788,,,,,,,,,,,0.000000,,,,,,,,,,,-0.082200,,,,,,,,,,,0.027739,,,,,,,,,,,
0.400000,-0.099753,,,,,,,,,,,-0.014019,,,,,,,,,,,-0.005321,,,,,,,,,,,-0.044491,,,,,,,,,,,-0.021916,,,,,,,,,,,-0.018506,,,,,,,,,,,0.000000,,,,,,,,,,,-0.063803,,,,,,,,,,,0.034562,,,,,,,,,,,
0.450000,-0.092378,,,,,,,,,,,-0.019851,,,,,,,,,,,-0.010508,,,,,,,,,,,-0.050344,,,,,,,,,,,-0.026215,,,,,,,,,,,-0.022421,,,,,,,,,,,0.000000,,,,,,,,,,,-0.047279,,,,,,,,,,,0.040573,,,,,,,,,,,
0.500000,-0.082812,,,,,,,,,,,-0.029607,,,,,,,,,,,-0.020572,,,,,,,,,,,-0.054012,,,,,,,,,,,-0.014468,,,,,,,,,,,-0.019841,,,,,,,,,,,0.000000,,,,,,,,,,,-0.032410,,,,,,,,,,,0.047243,,,,,,,,,,,
