Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,acly 1,acly 2,acly 3,acly 4,acly 5,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,magr 1,magr 2,magr 3,magr 4,magr 5,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,
0.000000,0.151575,,,,,-0.928565,,,,,-1.013627,,,,,0.284687,,,,,-0.353614,,,,,0.320504,,,,,0.000000,,,,,-0.749895,,,,,0.763801,,,,,
0.100000,0.017355,,,,,-0.718246,,,,,-0.780156,,,,,0.332309,,,,,-0.607369,,,,,0.482980,,,,,0.000000,,,,,-0.375681,,,,,0.407677,,,,,
0.200000,0.125454,,,,,-0.445363,,,,,-0.506642,,,,,0.352569,,,,,-0.772395,,,,,0.565421,,,,,0.000000,,,,,-0.181104,,,,,0.161770,,,,,
0.300000,0.314072,,,,,-0.195612,,,,,-0.262600,,,,,0.338361,,,,,-0.841909,,,,,0.576429,,,,,0.000000,,,,,0.007375,,,,,-0.101484,,,,,
0.400000,0.448314,,,,,0.049471,,,,,-0.013839,,,,,0.343097,,,,,-0.833431,,,,,0.566797,,,,,0.000000,,,,,0.195425,,,,,-0.339155,,,,,
0.500000,0.586914,,,,,0.295397,,,,,0.229689,,,,,0.245221,,,,,-0.655407,,,,,0.423699,,,,,0.000000,,,,,0.383611,,,,,-0.600907,,,,,
0.700000,0.707682,,,,,0.540295,,,,,0.476625,,,,,-0.043669,,,,,-0.473992,,,,,0.144383,,,,,0.000000,,,,,0.571779,,,,,-0.846847,,,,,
0.800000,0.828530,,,,,0.786791,,,,,0.724227,,,,,-0.057877,,,,,-0.523161,,,,,0.149887,,,,,0.000000,,,,,0.760186,,,,,-1.104978,,,,,
0.900000,1.261048,,,,,0.982982,,,,,0.887361,,,,,-0.075242,,,,,-0.574025,,,,,0.154015,,,,,0.000000,,,,,1.238867,,,,,-1.385239,,,,,
1.000000,1.439976,,,,,1.229932,,,,,1.132048,,,,,-0.092607,,,,,-0.667275,,,,,0.174654,,,,,0.000000,,,,,1.427587,,,,,-1.666735,,,,,
1.100000,1.588565,,,,,1.498620,,,,,1.411679,,,,,-0.126416,,,,,-0.775220,,,,,0.182795,,,,,0.000000,,,,,1.614900,,,,,-1.916946,,,,,
1.200000,1.993434,,,,,1.735512,,,,,1.620049,,,,,-0.244156,,,,,-0.526552,,,,,0.002662,,,,,0.000000,,,,,1.612490,,,,,-2.012674,,,,,
1.300000,1.942732,,,,,1.728018,,,,,1.621600,,,,,-0.252049,,,,,-0.409564,,,,,-0.015226,,,,,0.000000,,,,,1.618294,,,,,-2.012119,,,,,
1.400000,1.900585,,,,,1.727204,,,,,1.620870,,,,,-0.465165,,,,,-0.185762,,,,,-0.173459,,,,,0.000000,,,,,1.617910,,,,,-1.992853,,,,,
1.500000,1.796588,,,,,1.687914,,,,,1.604926,,,,,-0.722483,,,,,0.024476,,,,,-0.368843,,,,,0.000000,,,,,1.639133,,,,,-1.936136,,,,,
1.700000,1.829928,,,,,1.687634,,,,,1.594852,,,,,-0.766684,,,,,0.034649,,,,,-0.352331,,,,,0.000000,,,,,1.639723,,,,,-1.945788,,,,,
1.800000,1.711812,,,,,1.603836,,,,,1.535251,,,,,-0.814043,,,,,0.153331,,,,,-0.361963,,,,,0.000000,,,,,1.168005,,,,,-1.737848,,,,,
1.900000,1.747705,,,,,1.599785,,,,,1.527207,,,,,-0.867717,,,,,0.294055,,,,,-0.370219,,,,,0.000000,,,,,1.169399,,,,,-1.756900,,,,,
2.000000,1.583813,,,,,1.490139,,,,,1.411405,,,,,-0.926127,,,,,0.451734,,,,,-0.379850,,,,,0.000000,,,,,0.997880,,,,,-1.321216,,,,,
2.100000,1.601256,,,,,1.292209,,,,,1.189469,,,,,-0.985983,,,,,0.719901,,,,,-0.387303,,,,,0.000000,,,,,0.707030,,,,,-0.787953,,,,,
2.200000,1.404597,,,,,1.002950,,,,,0.892767,,,,,-1.071361,,,,,1.092621,,,,,-0.532580,,,,,0.000000,,,,,0.440604,,,,,-0.459117,,,,,
2.300000,1.204603,,,,,0.756675,,,,,0.663633,,,,,-1.087148,,,,,1.209609,,,,,-0.617888,,,,,0.000000,,,,,0.251850,,,,,-0.208364,,,,,
2.400000,1.051747,,,,,0.514150,,,,,0.431229,,,,,-1.110827,,,,,1.301164,,,,,-0.690813,,,,,0.000000,,,,,0.060890,,,,,0.019857,,,,,
2.500000,0.847030,,,,,0.262194,,,,,0.196476,,,,,-0.929284,,,,,1.241823,,,,,-0.605504,,,,,0.000000,,,,,-0.123901,,,,,0.264393,,,,,
2.700000,0.753347,,,,,0.054941,,,,,-0.035058,,,,,-0.670388,,,,,0.945115,,,,,-0.396361,,,,,0.000000,,,,,-0.331736,,,,,0.415476,,,,,
2.800000,0.548693,,,,,-0.197188,,,,,-0.271329,,,,,-0.634079,,,,,0.865428,,,,,-0.385354,,,,,0.000000,,,,,-0.516198,,,,,0.663457,,,,,
2.900000,0.569172,,,,,-0.361686,,,,,-0.465294,,,,,-0.575669,,,,,0.785741,,,,,-0.371594,,,,,0.000000,,,,,-0.230807,,,,,0.697049,,,,,
3.000000,0.381184,,,,,-0.610496,,,,,-0.704318,,,,,-0.553569,,,,,0.773873,,,,,-0.428008,,,,,0.000000,,,,,-0.416288,,,,,0.958646,,,,,
3.100000,0.172784,,,,,-0.766045,,,,,-0.847418,,,,,-0.544623,,,,,0.682600,,,,,-0.483160,,,,,0.000000,,,,,-0.434100,,,,,0.805772,,,,,
0.000000,,0.493981,,,,,-0.985002,,,,,-1.154809,,,,,-0.071427,,,,,0.028291,,,,,-0.083335,,,,,0.000000,,,,,-0.457220,,,,,0.614204,,,,
0.100000,,-0.017222,,,,,-0.922555,,,,,-1.000949,,,,,0.362040,,,,,-0.441778,,,,,0.313624,,,,,0.000000,,,,,-0.744132,,,,,0.663180,,,,
0.200000,,-0.461949,,,,,-0.796125,,,,,-0.800948,,,,,0.819845,,,,,-0.824954,,,,,0.731910,,,,,0.000000,,,,,-0.541894,,,,,0.532198,,,,
0.300000,,-0.933794,,,,,-0.723584,,,,,-0.647229,,,,,1.257127,,,,,-1.270862,,,,,1.129557,,,,,0.000000,,,,,-0.828135,,,,,0.591108,,,,
0.400000,,-1.214203,,,,,-0.566791,,,,,-0.433910,,,,,1.710196,,,,,-1.643866,,,,,1.538212,,,,,0.000000,,,,,-0.637857,,,,,0.376477,,,,
0.600000,,-1.620385,,,,,-0.479058,,,,,-0.276813,,,,,2.161686,,,,,-2.016869,,,,,1.942738,,,,,0.000000,,,,,-0.926811,,,,,0.380887,,,,
0.700000,,-1.973348,,,,,-0.336061,,,,,-0.041419,,,,,2.610018,,,,,-2.389872,,,,,2.334882,,,,,0.000000,,,,,-0.737755,,,,,0.141791,,,,
0.800000,,-2.154572,,,,,-0.160572,,,,,0.178381,,,,,3.055194,,,,,-2.752702,,,,,2.710513,,,,,0.000000,,,,,-0.548916,,,,,-0.102914,,,,
