Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,acly 1,acly 2,acly 3,acly 4,acly 5,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,magr 1,magr 2,magr 3,magr 4,magr 5,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,
0.000000,-1.401053,,,,,-1.738698,,,,,-1.752724,,,,,1.396364,,,,,-0.592467,,,,,1.073361,,,,,0.000000,,,,,-1.615622,,,,,1.364900,,,,,
0.041667,-1.609878,,,,,-1.504244,,,,,-1.490562,,,,,1.492897,,,,,-0.937636,,,,,1.478904,,,,,0.000000,,,,,-1.148200,,,,,1.022142,,,,,
0.083333,-1.441693,,,,,-1.200048,,,,,-1.183435,,,,,1.533964,,,,,-1.162111,,,,,1.684680,,,,,0.000000,,,,,-0.905159,,,,,0.785464,,,,,
0.125000,-1.148233,,,,,-0.921638,,,,,-0.909403,,,,,1.505164,,,,,-1.256667,,,,,1.712155,,,,,0.000000,,,,,-0.669735,,,,,0.532090,,,,,
0.166667,-0.939374,,,,,-0.648432,,,,,-0.630073,,,,,1.514764,,,,,-1.245136,,,,,1.688114,,,,,0.000000,,,,,-0.434846,,,,,0.303340,,,,,
0.208333,-0.723735,,,,,-0.374285,,,,,-0.356618,,,,,1.316363,,,,,-1.002980,,,,,1.330939,,,,,0.000000,,,,,-0.199788,,,,,0.051411,,,,,
0.291667,-0.535838,,,,,-0.101284,,,,,-0.079336,,,,,0.730761,,,,,-0.756211,,,,,0.633761,,,,,0.000000,,,,,0.035248,,,,,-0.185298,,,,,
0.333333,-0.347818,,,,,0.173497,,,,,0.198693,,,,,0.701961,,,,,-0.823092,,,,,0.647498,,,,,0.000000,,,,,0.270583,,,,,-0.433742,,,,,
0.375000,0.325111,,,,,0.392201,,,,,0.381875,,,,,0.666761,,,,,-0.892280,,,,,0.657802,,,,,0.000000,,,,,0.868491,,,,,-0.703484,,,,,
0.416667,0.603496,,,,,0.667490,,,,,0.656631,,,,,0.631561,,,,,-1.019123,,,,,0.709317,,,,,0.000000,,,,,1.104217,,,,,-0.974415,,,,,
0.458333,0.834677,,,,,0.967009,,,,,0.970625,,,,,0.563027,,,,,-1.165954,,,,,0.729637,,,,,0.000000,,,,,1.338185,,,,,-1.215236,,,,,
0.500000,1.464589,,,,,1.231085,,,,,1.204602,,,,,0.324360,,,,,-0.827705,,,,,0.280020,,,,,0.000000,,,,,1.335175,,,,,-1.307371,,,,,
0.526316,1.385705,,,,,1.222731,,,,,1.206343,,,,,0.308360,,,,,-0.668574,,,,,0.235373,,,,,0.000000,,,,,1.342424,,,,,-1.306837,,,,,
0.552632,1.320131,,,,,1.221824,,,,,1.205524,,,,,-0.123642,,,,,-0.364149,,,,,-0.159580,,,,,0.000000,,,,,1.341945,,,,,-1.288294,,,,,
0.578947,1.158328,,,,,1.178025,,,,,1.187621,,,,,-0.645244,,,,,-0.078174,,,,,-0.647262,,,,,0.000000,,,,,1.368453,,,,,-1.233706,,,,,
0.631579,1.210199,,,,,1.177713,,,,,1.176309,,,,,-0.734844,,,,,-0.064336,,,,,-0.606049,,,,,0.000000,,,,,1.369191,,,,,-1.242995,,,,,
0.657895,1.026430,,,,,1.084299,,,,,1.109383,,,,,-0.830844,,,,,0.097101,,,,,-0.630090,,,,,0.000000,,,,,0.779980,,,,,-1.042859,,,,,
0.684211,1.082273,,,,,1.079783,,,,,1.100351,,,,,-0.939645,,,,,0.288520,,,,,-0.650696,,,,,0.000000,,,,,0.781721,,,,,-1.061197,,,,,
0.710526,0.827283,,,,,0.957556,,,,,0.970318,,,,,-1.058045,,,,,0.503001,,,,,-0.674737,,,,,0.000000,,,,,0.567480,,,,,-0.641865,,,,,
0.736842,0.854422,,,,,0.736913,,,,,0.721108,,,,,-1.179379,,,,,0.867772,,,,,-0.693339,,,,,0.000000,,,,,0.204186,,,,,-0.128614,,,,,
0.763158,0.548451,,,,,0.414461,,,,,0.387945,,,,,-1.352446,,,,,1.374763,,,,,-1.055952,,,,,0.000000,,,,,-0.128599,,,,,0.187879,,,,,
0.789474,0.237292,,,,,0.139925,,,,,0.130653,,,,,-1.384446,,,,,1.533894,,,,,-1.268884,,,,,0.000000,,,,,-0.364367,,,,,0.429221,,,,,
0.815789,-0.000527,,,,,-0.130429,,,,,-0.130311,,,,,-1.432447,,,,,1.658431,,,,,-1.450906,,,,,0.000000,,,,,-0.602890,,,,,0.648877,,,,,
