Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,
0.000000,0.924553,,,,,,,,-1.520826,,,,,,,,-1.948861,,,,,,,,-0.245908,,,,,,,,0.399110,,,,,,,,-0.333621,,,,,,,,0.000000,,,,,,,,-0.181927,,,,,,,,1.648403,,,,,,,,
0.021739,0.904053,,,,,,,,-1.516861,,,,,,,,-1.955438,,,,,,,,0.026138,,,,,,,,0.140095,,,,,,,,0.029856,,,,,,,,0.000000,,,,,,,,-0.187102,,,,,,,,1.636493,,,,,,,,
0.043478,0.557672,,,,,,,,-1.417518,,,,,,,,-1.752120,,,,,,,,0.240544,,,,,,,,-0.023971,,,,,,,,0.293198,,,,,,,,0.000000,,,,,,,,-0.564745,,,,,,,,1.512063,,,,,,,,
0.065217,0.250623,,,,,,,,-1.377944,,,,,,,,-1.578968,,,,,,,,0.399401,,,,,,,,-0.304629,,,,,,,,0.419553,,,,,,,,0.000000,,,,,,,,-0.929295,,,,,,,,1.459351,,,,,,,,
0.086957,-0.058505,,,,,,,,-1.334596,,,,,,,,-1.417749,,,,,,,,0.588662,,,,,,,,-0.447053,,,,,,,,0.651204,,,,,,,,0.000000,,,,,,,,-1.292563,,,,,,,,1.427714,,,,,,,,
0.108696,-0.351129,,,,,,,,-1.185514,,,,,,,,-1.136720,,,,,,,,0.780963,,,,,,,,-0.597854,,,,,,,,0.875422,,,,,,,,0.000000,,,,,,,,-1.037532,,,,,,,,1.163632,,,,,,,,
0.152174,-0.685934,,,,,,,,-1.114437,,,,,,,,-0.941560,,,,,,,,0.971743,,,,,,,,-0.811489,,,,,,,,1.082297,,,,,,,,0.000000,,,,,,,,-1.405992,,,,,,,,1.112281,,,,,,,,
0.173913,-0.918669,,,,,,,,-0.946009,,,,,,,,-0.659211,,,,,,,,1.162524,,,,,,,,-1.046068,,,,,,,,1.278023,,,,,,,,0.000000,,,,,,,,-1.159581,,,,,,,,0.818117,,,,,,,,
0.195652,-1.250569,,,,,,,,-0.866660,,,,,,,,-0.459029,,,,,,,,1.352544,,,,,,,,-1.289026,,,,,,,,1.470033,,,,,,,,0.000000,,,,,,,,-1.531498,,,,,,,,0.710901,,,,,,,,
0.217391,-1.478650,,,,,,,,-0.694494,,,,,,,,-0.174986,,,,,,,,1.541805,,,,,,,,-1.536172,,,,,,,,1.654610,,,,,,,,0.000000,,,,,,,,-1.284321,,,,,,,,0.412806,,,,,,,,
