Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,aclx 11,aclx 12,aclx 13,aclx 14,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,acly 11,acly 12,acly 13,acly 14,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,aclz 11,aclz 12,aclz 13,aclz 14,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyrx 11,gyrx 12,gyrx 13,gyrx 14,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyry 11,gyry 12,gyry 13,gyry 14,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,gyrz 11,gyrz 12,gyrz 13,gyrz 14,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magr 11,magr 12,magr 13,magr 14,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magphi 11,magphi 12,magphi 13,magphi 14,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,magtheta 11,magtheta 12,magtheta 13,magtheta 14,
0.000000,-1.303549,,,,,,,,,,,,,,-1.419748,,,,,,,,,,,,,,0.985783,,,,,,,,,,,,,,-0.012417,,,,,,,,,,,,,,0.101968,,,,,,,,,,,,,,-0.111656,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.394613,,,,,,,,,,,,,,1.315276,,,,,,,,,,,,,,
0.020408,-1.270209,,,,,,,,,,,,,,-1.423846,,,,,,,,,,,,,,1.136616,,,,,,,,,,,,,,-0.101011,,,,,,,,,,,,,,0.026782,,,,,,,,,,,,,,0.020545,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.393373,,,,,,,,,,,,,,1.308089,,,,,,,,,,,,,,
0.040816,-1.175286,,,,,,,,,,,,,,-1.457218,,,,,,,,,,,,,,1.404257,,,,,,,,,,,,,,0.020395,,,,,,,,,,,,,,-0.092263,,,,,,,,,,,,,,0.324119,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.413715,,,,,,,,,,,,,,1.251710,,,,,,,,,,,,,,
0.061224,-1.136115,,,,,,,,,,,,,,-1.435112,,,,,,,,,,,,,,1.530408,,,,,,,,,,,,,,0.410864,,,,,,,,,,,,,,-0.261432,,,,,,,,,,,,,,0.519973,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.400366,,,,,,,,,,,,,,1.174940,,,,,,,,,,,,,,
0.081633,-1.038349,,,,,,,,,,,,,,-1.343493,,,,,,,,,,,,,,1.554423,,,,,,,,,,,,,,0.866958,,,,,,,,,,,,,,-0.571576,,,,,,,,,,,,,,0.779479,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.329650,,,,,,,,,,,,,,1.099274,,,,,,,,,,,,,,
0.102041,-0.926589,,,,,,,,,,,,,,-1.193042,,,,,,,,,,,,,,1.356153,,,,,,,,,,,,,,1.286958,,,,,,,,,,,,,,-0.721949,,,,,,,,,,,,,,0.970437,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.220002,,,,,,,,,,,,,,0.934209,,,,,,,,,,,,,,
0.122449,-0.755552,,,,,,,,,,,,,,-0.919523,,,,,,,,,,,,,,1.007762,,,,,,,,,,,,,,1.582271,,,,,,,,,,,,,,-0.909915,,,,,,,,,,,,,,1.234840,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.985081,,,,,,,,,,,,,,0.708033,,,,,,,,,,,,,,
0.142857,-0.474650,,,,,,,,,,,,,,-0.604788,,,,,,,,,,,,,,0.565195,,,,,,,,,,,,,,1.638052,,,,,,,,,,,,,,-1.163669,,,,,,,,,,,,,,1.562895,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.686723,,,,,,,,,,,,,,0.409259,,,,,,,,,,,,,,
0.166667,-0.048525,,,,,,,,,,,,,,-0.303078,,,,,,,,,,,,,,0.145669,,,,,,,,,,,,,,1.562583,,,,,,,,,,,,,,-1.263918,,,,,,,,,,,,,,1.851779,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.338081,,,,,,,,,,,,,,0.043725,,,,,,,,,,,,,,
0.190476,0.317040,,,,,,,,,,,,,,-0.041022,,,,,,,,,,,,,,-0.412237,,,,,,,,,,,,,,1.408364,,,,,,,,,,,,,,-1.752629,,,,,,,,,,,,,,1.876261,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.020924,,,,,,,,,,,,,,-0.317496,,,,,,,,,,,,,,
0.214286,0.720260,,,,,,,,,,,,,,0.188375,,,,,,,,,,,,,,-0.844754,,,,,,,,,,,,,,1.109770,,,,,,,,,,,,,,-1.470680,,,,,,,,,,,,,,1.592273,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.210236,,,,,,,,,,,,,,-0.764351,,,,,,,,,,,,,,
0.238095,1.047644,,,,,,,,,,,,,,0.332095,,,,,,,,,,,,,,-1.327526,,,,,,,,,,,,,,0.509302,,,,,,,,,,,,,,-1.166802,,,,,,,,,,,,,,1.499242,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.332297,,,,,,,,,,,,,,-1.112726,,,,,,,,,,,,,,
0.261905,1.303925,,,,,,,,,,,,,,0.338763,,,,,,,,,,,,,,-1.541442,,,,,,,,,,,,,,-0.219136,,,,,,,,,,,,,,-1.044624,,,,,,,,,,,,,,1.528620,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.315336,,,,,,,,,,,,,,-1.380052,,,,,,,,,,,,,,
0.285714,1.588982,,,,,,,,,,,,,,0.253022,,,,,,,,,,,,,,-1.483228,,,,,,,,,,,,,,-0.580074,,,,,,,,,,,,,,-0.512054,,,,,,,,,,,,,,1.440486,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.245565,,,,,,,,,,,,,,-1.583047,,,,,,,,,,,,,,
0.309524,1.656396,,,,,,,,,,,,,,0.095406,,,,,,,,,,,,,,-1.403616,,,,,,,,,,,,,,-0.448824,,,,,,,,,,,,,,-0.208175,,,,,,,,,,,,,,1.298492,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.086084,,,,,,,,,,,,,,-1.663735,,,,,,,,,,,,,,
0.333333,1.661139,,,,,,,,,,,,,,-0.011138,,,,,,,,,,,,,,-1.480303,,,,,,,,,,,,,,-0.032105,,,,,,,,,,,,,,0.183420,,,,,,,,,,,,,,0.696241,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.005352,,,,,,,,,,,,,,-1.645839,,,,,,,,,,,,,,
0.357143,1.326441,,,,,,,,,,,,,,0.054077,,,,,,,,,,,,,,-1.543878,,,,,,,,,,,,,,0.660239,,,,,,,,,,,,,,1.492917,,,,,,,,,,,,,,0.294741,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.071354,,,,,,,,,,,,,,-1.465573,,,,,,,,,,,,,,
