time,x,y,z,MF
14:27:33:9,8.32,-2.74,15.07,17.43
14:27:33:9,9.60,-2.31,13.25,16.53
14:27:33:9,9.86,-2.22,12.89,16.38
14:27:34:0,6.44,-2.56,14.56,16.13
14:27:34:0,6.76,-2.72,14.33,16.07
14:27:34:0,7.81,-3.25,13.56,15.98
14:27:34:0,8.66,-3.42,13.73,16.59
14:27:34:0,9.52,-3.59,13.89,17.22
14:27:34:0,8.21,-3.59,13.64,16.32
14:27:34:1,7.81,-3.59,13.56,16.05
14:27:34:1,8.66,-2.39,12.38,15.30
14:27:34:1,8.61,-2.34,12.61,15.44
14:27:34:1,8.32,-2.05,13.73,16.18
14:27:34:1,8.10,-2.42,13.36,15.81
14:27:34:2,7.81,-2.91,12.89,15.35
14:27:34:2,8.05,-1.71,14.29,16.49
14:27:34:2,8.15,-1.19,14.90,17.02
14:27:34:2,8.64,-2.35,14.74,17.25
14:27:34:2,8.58,-2.54,14.62,17.14
14:27:34:2,7.81,-3.93,13.56,16.13
14:27:34:3,7.50,-2.75,13.86,16.00
14:27:34:3,6.95,-0.68,14.40,16.00
14:27:34:3,8.24,-1.54,13.76,16.12
14:27:34:3,9.01,-2.05,13.39,16.27
14:27:34:3,8.85,-2.82,13.24,16.17
14:27:34:3,8.81,-2.88,13.28,16.19
14:27:34:4,7.98,-2.05,15.07,17.17
14:27:34:4,8.03,-2.10,14.42,16.64
14:27:34:4,8.15,-2.22,12.89,15.41
14:27:34:4,8.15,-2.22,12.51,15.10
14:27:34:4,8.15,-2.22,12.22,14.85
14:27:34:4,8.72,-2.51,12.77,15.67
14:27:34:4,8.83,-2.56,12.89,15.83
14:27:34:5,8.32,-2.05,13.73,16.18
14:27:34:5,8.20,-2.09,13.22,15.70
14:27:34:5,7.81,-2.22,11.55,14.11
14:27:34:5,7.64,-2.56,12.21,14.63
14:27:34:5,7.47,-2.91,12.89,15.18
14:27:34:6,7.86,-2.78,13.79,16.11
14:27:34:6,7.98,-2.74,14.06,16.40
14:27:34:6,7.64,-3.08,13.06,15.44
14:27:34:6,7.55,-2.99,13.25,15.54
14:27:34:6,7.12,-2.56,14.23,16.12
14:27:34:6,7.20,-1.75,13.87,15.72
14:27:34:7,7.30,-0.68,13.39,15.26
14:27:34:7,7.77,-1.40,14.09,16.16
14:27:34:7,7.98,-1.71,14.40,16.55
14:27:34:7,8.97,-2.37,11.81,15.02
14:27:34:7,8.99,-2.48,11.83,15.06
14:27:34:7,8.83,-3.25,12.89,15.96
14:27:34:8,8.58,-3.25,13.74,16.53
14:27:34:8,8.15,-3.25,15.23,17.58
14:27:34:8,8.26,-3.36,14.49,17.01
14:27:34:8,8.32,-3.42,14.06,16.69
14:27:34:8,8.78,-2.35,13.91,16.62
14:27:34:8,8.82,-2.26,13.90,16.61
14:27:34:9,8.32,-3.42,14.06,16.69
14:27:34:9,8.58,-2.86,13.91,16.59
14:27:34:9,9.18,-1.54,13.56,16.44
14:27:34:9,9.08,-2.41,13.46,16.42
14:27:34:9,9.01,-3.08,13.39,16.43
14:27:34:9,8.58,-1.80,13.53,16.12
14:27:35:0,8.49,-1.54,13.56,16.07
14:27:35:0,8.49,-4.28,14.90,17.67
14:27:35:0,8.37,-3.92,14.31,17.04
14:27:35:0,7.98,-2.74,12.38,14.98
14:27:35:0,8.66,-2.57,13.22,16.01
14:27:35:0,9.35,-2.39,14.06,17.05
14:27:35:1,7.90,-2.79,13.93,16.26
14:27:35:1,7.47,-2.91,13.89,16.04
14:27:35:1,9.18,-2.22,14.23,17.08
14:27:35:1,9.12,-1.94,13.95,16.78
14:27:35:1,8.83,-0.51,12.55,15.36
14:27:35:1,8.46,-1.33,12.77,15.38
14:27:35:2,7.98,-2.39,13.06,15.49
