Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,aclx 11,aclx 12,aclx 13,aclx 14,aclx 15,aclx 16,aclx 17,aclx 18,aclx 19,aclx 20,aclx 21,aclx 22,aclx 23,aclx 24,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,acly 11,acly 12,acly 13,acly 14,acly 15,acly 16,acly 17,acly 18,acly 19,acly 20,acly 21,acly 22,acly 23,acly 24,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,aclz 11,aclz 12,aclz 13,aclz 14,aclz 15,aclz 16,aclz 17,aclz 18,aclz 19,aclz 20,aclz 21,aclz 22,aclz 23,aclz 24,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyrx 11,gyrx 12,gyrx 13,gyrx 14,gyrx 15,gyrx 16,gyrx 17,gyrx 18,gyrx 19,gyrx 20,gyrx 21,gyrx 22,gyrx 23,gyrx 24,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyry 11,gyry 12,gyry 13,gyry 14,gyry 15,gyry 16,gyry 17,gyry 18,gyry 19,gyry 20,gyry 21,gyry 22,gyry 23,gyry 24,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,gyrz 11,gyrz 12,gyrz 13,gyrz 14,gyrz 15,gyrz 16,gyrz 17,gyrz 18,gyrz 19,gyrz 20,gyrz 21,gyrz 22,gyrz 23,gyrz 24,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magr 11,magr 12,magr 13,magr 14,magr 15,magr 16,magr 17,magr 18,magr 19,magr 20,magr 21,magr 22,magr 23,magr 24,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magphi 11,magphi 12,magphi 13,magphi 14,magphi 15,magphi 16,magphi 17,magphi 18,magphi 19,magphi 20,magphi 21,magphi 22,magphi 23,magphi 24,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,magtheta 11,magtheta 12,magtheta 13,magtheta 14,magtheta 15,magtheta 16,magtheta 17,magtheta 18,magtheta 19,magtheta 20,magtheta 21,magtheta 22,magtheta 23,magtheta 24,
0.000000,0.005518,,,,,,,,,,,,,,,,,,,,,,,,0.014445,,,,,,,,,,,,,,,,,,,,,,,,-0.007828,,,,,,,,,,,,,,,,,,,,,,,,-0.000261,,,,,,,,,,,,,,,,,,,,,,,,0.002300,,,,,,,,,,,,,,,,,,,,,,,,-0.008586,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,-0.012963,,,,,,,,,,,,,,,,,,,,,,,,-0.003789,,,,,,,,,,,,,,,,,,,,,,,,
0.008000,0.005784,,,,,,,,,,,,,,,,,,,,,,,,0.014217,,,,,,,,,,,,,,,,,,,,,,,,-0.010432,,,,,,,,,,,,,,,,,,,,,,,,0.002633,,,,,,,,,,,,,,,,,,,,,,,,0.004603,,,,,,,,,,,,,,,,,,,,,,,,-0.013308,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,-0.012921,,,,,,,,,,,,,,,,,,,,,,,,-0.003577,,,,,,,,,,,,,,,,,,,,,,,,
0.016000,0.005451,,,,,,,,,,,,,,,,,,,,,,,,0.013765,,,,,,,,,,,,,,,,,,,,,,,,-0.010447,,,,,,,,,,,,,,,,,,,,,,,,0.001466,,,,,,,,,,,,,,,,,,,,,,,,0.006139,,,,,,,,,,,,,,,,,,,,,,,,-0.021931,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,-0.012937,,,,,,,,,,,,,,,,,,,,,,,,-0.002954,,,,,,,,,,,,,,,,,,,,,,,,
0.024000,0.005445,,,,,,,,,,,,,,,,,,,,,,,,0.013414,,,,,,,,,,,,,,,,,,,,,,,,-0.012643,,,,,,,,,,,,,,,,,,,,,,,,-0.001511,,,,,,,,,,,,,,,,,,,,,,,,0.006777,,,,,,,,,,,,,,,,,,,,,,,,-0.029118,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,-0.012541,,,,,,,,,,,,,,,,,,,,,,,,-0.003590,,,,,,,,,,,,,,,,,,,,,,,,
0.032000,0.004110,,,,,,,,,,,,,,,,,,,,,,,,0.011831,,,,,,,,,,,,,,,,,,,,,,,,-0.011473,,,,,,,,,,,,,,,,,,,,,,,,-0.005799,,,,,,,,,,,,,,,,,,,,,,,,0.007657,,,,,,,,,,,,,,,,,,,,,,,,-0.035791,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,-0.011141,,,,,,,,,,,,,,,,,,,,,,,,-0.003045,,,,,,,,,,,,,,,,,,,,,,,,
0.040000,0.003285,,,,,,,,,,,,,,,,,,,,,,,,0.009600,,,,,,,,,,,,,,,,,,,,,,,,-0.010187,,,,,,,,,,,,,,,,,,,,,,,,-0.010176,,,,,,,,,,,,,,,,,,,,,,,,0.009867,,,,,,,,,,,,,,,,,,,,,,,,-0.049650,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,-0.008534,,,,,,,,,,,,,,,,,,,,,,,,-0.003061,,,,,,,,,,,,,,,,,,,,,,,,
0.048000,0.002311,,,,,,,,,,,,,,,,,,,,,,,,0.007017,,,,,,,,,,,,,,,,,,,,,,,,-0.008928,,,,,,,,,,,,,,,,,,,,,,,,-0.011069,,,,,,,,,,,,,,,,,,,,,,,,0.011875,,,,,,,,,,,,,,,,,,,,,,,,-0.060044,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,-0.004620,,,,,,,,,,,,,,,,,,,,,,,,-0.002675,,,,,,,,,,,,,,,,,,,,,,,,
0.056000,0.000647,,,,,,,,,,,,,,,,,,,,,,,,0.003373,,,,,,,,,,,,,,,,,,,,,,,,-0.006008,,,,,,,,,,,,,,,,,,,,,,,,-0.014284,,,,,,,,,,,,,,,,,,,,,,,,0.016027,,,,,,,,,,,,,,,,,,,,,,,,-0.070695,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,-0.000420,,,,,,,,,,,,,,,,,,,,,,,,-0.001003,,,,,,,,,,,,,,,,,,,,,,,,
0.064000,-0.000612,,,,,,,,,,,,,,,,,,,,,,,,-0.001958,,,,,,,,,,,,,,,,,,,,,,,,0.008078,,,,,,,,,,,,,,,,,,,,,,,,-0.025003,,,,,,,,,,,,,,,,,,,,,,,,0.010201,,,,,,,,,,,,,,,,,,,,,,,,-0.081603,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,0.004700,,,,,,,,,,,,,,,,,,,,,,,,0.000619,,,,,,,,,,,,,,,,,,,,,,,,
0.072000,0.001343,,,,,,,,,,,,,,,,,,,,,,,,-0.007369,,,,,,,,,,,,,,,,,,,,,,,,0.015155,,,,,,,,,,,,,,,,,,,,,,,,-0.029291,,,,,,,,,,,,,,,,,,,,,,,,0.010603,,,,,,,,,,,,,,,,,,,,,,,,-0.080704,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,0.011258,,,,,,,,,,,,,,,,,,,,,,,,0.002435,,,,,,,,,,,,,,,,,,,,,,,,
