time	x	y	z	gx	gy	gz	ax	ay	az
0.074	-29	-25.85	-21.02	0	0	0	0	0	0
0.075	-29.14	-25.83	-20.91	0	0	0	0	0	0
0.075	-28.97	-24.67	-22.05	0	0	0	0	0	0
0.076	-28.87	-24.78	-22.36	0	0	0	0	0	0
0.076	-28.63	-25.02	-23.05	0	0	0	0	0	0
0.086	-28.73	-24.92	-22.57	0	0	0	0	0	0
0.105	-28.8	-24.84	-22.22	0	0	0	0	0	0
0.118	-29.09	-23.39	-23.07	0	0	0	0	0	0
0.133	-29.15	-23.13	-23.22	0	0	0	0	0	0
0.16	-29.66	-22.62	-22.05	0	0	0	0	0	0
0.18	-29.7	-22.84	-22.26	0	0	0	0	0	0
0.191	-29.83	-23.48	-22.89	0	0	0	0	0	0
0.204	-29.12	-22.41	-23.93	0	0	0	0	0	0
0.22	-28.46	-21.42	-24.9	0	0	0	0	0	0
0.234	-28.19	-21.96	-23.58	0	0	0	0	0	0
0.25	-28.12	-22.11	-23.22	0	0	0	0	0	0
0.279	-29.49	-21.08	-24.23	0	0	0	0	0	0
0.293	-29.42	-20.95	-24.23	0	0	0	0	0	0
0.31	-29.15	-20.4	-24.23	0	0	0	0	0	0
0.33	-29.3	-19.93	-24.69	0	0	0	0	0	0
0.338	-29.49	-19.37	-25.23	0	0	0	0	0	0
0.354	-29.86	-19.74	-24.87	0	0	0	0	0	0
0.368	-30	-19.88	-24.73	0	0	0	0	0	0
0.385	-29.15	-20.73	-27.56	0	0	0	0	0	0
0.412	-28.97	-20.7	-27.45	0	0	0	0	0	0
0.427	-27.78	-20.4	-26.57	0	0	0	0	0	0
0.447	-27.85	-20.19	-26.37	0	0	0	0	0	0
0.465	-27.95	-19.88	-26.07	0	0	0	0	0	0
0.474	-26.82	-21.02	-26.51	0	0	0	0	0	0
0.49	-26.24	-21.59	-26.74	0	0	0	0	0	0
0.505	-25.44	-20.8	-26.58	0	0	0	0	0	0
0.531	-25.35	-21.02	-26.72	0	0	0	0	0	0
0.546	-24.87	-25.02	-28.75	0	0	0	0	0	0
0.56	-24.35	-24.96	-28.58	0	0	0	0	0	0
0.594	-23.33	-24.84	-28.25	0	0	0	0	0	0
0.596	-22.61	-27.01	-28.35	0	0	0	0	0	0
0.605	-22.13	-28.44	-28.42	0	0	0	0	0	0
0.62	-18.25	-31.12	-27.83	0	0	0	0	0	0
0.649	-17.68	-31.52	-27.74	0	0	0	0	0	0
0.664	-16.66	-32.54	-26.74	0	0	0	0	0	0
0.679	-16.05	-32.97	-26.79	0	0	0	0	0	0
0.693	-14.43	-34.08	-26.91	0	0	0	0	0	0
0.708	-13.23	-35.85	-27.73	0	0	0	0	0	0
0.732	-12.21	-37.34	-28.42	0	0	0	0	0	0
0.753	-7.63	-38.31	-27.74	0	0	0	0	0	0
0.754	-6.56	-38.53	-27.58	0	0	0	0	0	0
0.783	-3.99	-41.44	-27.08	0	0	0	0	0	0
0.797	-3.52	-42.35	-27.18	0	0	0	0	0	0
0.811	-1.77	-45.72	-27.58	0	0	0	0	0	0
0.827	-1.52	-46.63	-25.88	0	0	0	0	0	0
0.841	-1.26	-47.6	-24.06	0	0	0	0	0	0
0.874	0.28	-49.14	-22.3	0	0	0	0	0	0
0.875	0.79	-49.65	-21.71	0	0	0	0	0	0
0.901	1.82	-50.68	-21.04	0	0	0	0	0	0
0.916	1.9	-50.81	-20.81	0	0	0	0	0	0
0.93	2.33	-51.54	-19.54	0	0	0	0	0	0
0.945	1.83	-51.9	-19.75	0	0	0	0	0	0
0.96	1.14	-52.39	-20.04	0	0	0	0	0	0
0.975	0.08	-52.27	-18.08	0	0	0	0	0	0
0.989	-0.4	-52.22	-17.19	0	0	0	0	0	0
1.007	-0.73	-52.55	-18.15	0	0	0	0	0	0
1.035	-0.86	-52.64	-18.05	0	0	0	0	0	0
1.054	-1.94	-53.42	-16.69	0	0	0	0	0	0
1.063	-2.31	-53.67	-16.56	0	0	0	0	0	0
1.079	-2.97	-54.1	-16.35	0	0	0	0	0	0
1.093	-3.4	-54.1	-17.19	0	0	0	0	0	0
1.107	-3.65	-54.1	-17.69	0	0	0	0	0	0
1.125	-5.5	-53.8	-18.29	0	0	0	0	0	0
1.157	-5.71	-53.76	-18.42	0	0	0	0	0	0
1.168	-5.71	-53.76	-20.37	0	0	0	0	0	0
1.182	-6.07	-52.99	-20.32	0	0	0	0	0	0
1.197	-6.9	-51.19	-20.21	0	0	0	0	0	0
1.211	-8.07	-51.58	-20.21	0	0	0	0	0	0
1.227	-8.96	-51.88	-20.21	0	0	0	0	0	0
1.242	-9.81	-52.17	-21.6	0	0	0	0	0	0
1.255	-9.98	-52.22	-21.88	0	0	0	0	0	0
1.289	-12.72	-49.48	-20.54	0	0	0	0	0	0
1.3	-12.8	-49.4	-20.86	0	0	0	0	0	0
1.315	-13.06	-49.14	-21.88	0	0	0	0	0	0
1.33	-14.45	-48.45	-21.03	0	0	0	0	0	0
1.344	-15.8	-47.77	-20.21	0	0	0	0	0	0
1.359	-14.35	-46.06	-16.71	0	0	0	0	0	0
1.376	-13.92	-45.55	-15.68	0	0	0	0	0	0
1.403	-15.63	-44.18	-14.68	0	0	0	0	0	0
1.422	-15.57	-44	-13.72	0	0	0	0	0	0
1.444	-15.29	-43.15	-9.31	0	0	0	0	0	0
1.448	-15.52	-42.01	-7.89	0	0	0	0	0	0
1.462	-15.8	-40.59	-6.13	0	0	0	0	0	0
1.478	-15.68	-39.49	-4.34	0	0	0	0	0	0
1.494	-15.63	-39.05	-3.61	0	0	0	0	0	0
1.507	-16.13	-38.54	-0.82	0	0	0	0	0	0
1.546	-16.04	-38.43	-0.67	0	0	0	0	0	0
1.552	-15.29	-37.68	0.07	0	0	0	0	0	0
1.567	-15.94	-36.89	1.49	0	0	0	0	0	0
1.581	-17	-35.62	3.76	0	0	0	0	0	0
1.596	-18.11	-35.4	4.63	0	0	0	0	0	0
1.615	-18.71	-35.28	5.1	0	0	0	0	0	0
1.628	-18.24	-33.55	6.49	0	0	0	0	0	0
1.655	-18.27	-33.4	6.74	0	0	0	0	0	0
1.671	-19.56	-33.4	8.95	0	0	0	0	0	0
1.71	-19.73	-33.01	8.9	0	0	0	0	0	0
1.711	-20.08	-32.2	8.79	0	0	0	0	0	0
1.714	-21.09	-31.8	9.18	0	0	0	0	0	0
1.731	-21.79	-31.52	9.46	0	0	0	0	0	0
1.75	-21.5	-31.81	10.32	0	0	0	0	0	0
1.758	-21.45	-31.86	10.46	0	0	0	0	0	0
1.788	-22.47	-31.52	10.13	0	0	0	0	0	0
1.808	-22.61	-31.38	9.82	0	0	0	0	0	0
1.817	-22.99	-31	8.95	0	0	0	0	0	0
1.832	-23.17	-31.37	9.13	0	0	0	0	0	0
1.847	-23.33	-31.69	9.29	0	0	0	0	0	0
1.863	-23.33	-31.42	11.7	0	0	0	0	0	0
1.876	-23.33	-31.35	12.3	0	0	0	0	0	0
1.907	-21.62	-30.32	11.3	0	0	0	0	0	0
1.927	-21.76	-30.46	11.3	0	0	0	0	0	0
1.937	-22.3	-31	11.3	0	0	0	0	0	0
1.952	-22.71	-31.09	11.69	0	0	0	0	0	0
1.966	-23.16	-31.18	12.14	0	0	0	0	0	0
1.981	-23.03	-31.56	13.25	0	0	0	0	0	0
1.998	-22.99	-31.69	13.65	0	0	0	0	0	0
2.025	-22.99	-31.35	11.3	0	0	0	0	0	0
2.04	-22.91	-31.37	11.23	0	0	0	0	0	0
2.054	-22.47	-31.52	10.8	0	0	0	0	0	0
2.079	-22.2	-31.66	11.34	0	0	0	0	0	0
2.087	-21.79	-31.86	12.14	0	0	0	0	0	0
2.099	-21.33	-32.55	10.55	0	0	0	0	0	0
2.115	-21.1	-32.89	9.79	0	0	0	0	0	0
2.128	-19.97	-33.69	8.68	0	0	0	0	0	0
2.158	-19.78	-33.95	8.61	0	0	0	0	0	0
2.173	-18.37	-36.31	8.45	0	0	0	0	0	0
2.194	-17.95	-36.37	7.69	0	0	0	0	0	0
2.22	-17.17	-36.48	6.27	0	0	0	0	0	0
2.221	-16.75	-36.69	5.86	0	0	0	0	0	0
